question,answer,wrong1,wrong2,wrong3
Moving from top to bottom in periodic table,Basic nature of oxide increases,Basic nature of oxide decreases,Electronegativity increases,None of the above
The most homogeneous family in periodic table,Volatile metal,Alkali metals,Alkaline earth metals,Coinage metal
Which of the following is most electronegative,Fluorine,Oxygen,Nitrogen,Na
Which element forms diads,O,Si,Cl,B
Which of the following acts as bridge element,Mg,Li,Na,K
The ability of atom to attract shared electron pair towards itself,Electronegativity,Electron affinity,Ionization potential,Reducing power
The correct electronic configuration for Fe3+ ion,"1s2, 2s2, 2p6, 3s2, 3p6, 3d5","1s2, 2s2, 2p6, 3s2, 3p6, 3d4, 4s1","1s2, 2s2, 2p6, 3s2, 3p6, 3d3, 4s2","1s2, 2s2, 3p6, 3s2, 3p6, 4s2, 4p3"
Which of the following sequence is correct if given element are arranged according to ascending atomic number,"Fe, Co, Ni, Cu","Co, Fe, Ni, Cu","Fe, Ni, Co, Cu","Cu, Fe, Co, Ni"
Which of the following E.C given for some neutral atom would be expected to have highest IE2,1s2 2s2 2p4,1s2 2s2,1s2 2s2 2p1,1s2 2s2 2p3
"Nature of bone formed when two elements react, depend upon",Electronegativity,Ionization potential,E.A,Oxidation potential
Which of the following properties of element increases down the groups in periodic table,None of the above,Ionization energy,Electronegativity,Melting point
Electronic configuration of Cr3 plus is,[Ar] 3d3 4s1,[Ar] 3d1 4s2,[Ar] 3d2 4s1,[Ar] 4s2
Isotopes have,Equal number of p + but different number of neutrons,Equal number of p + but different number of electron,Equal number of electron but different number of proton,Equal number of protons and equal number of neutrons
If the nucleons are increased,Mass per nucleons decreases,Mass per nucleus increases,Mass per nucleons remains constant,Data is insufficient
Which is super conductor,Diamagnetic,Ferromagnetic,Ferrimagnetic,Paramagnetic
Which of the following is true for electropositive element,Has negative reduction potential,Tendency to gain electron,Has negative oxidation potential,High electron affinity
Which of the following is most electropositive element,Fe,Pb,Sn,Hg
Which atom has highest ratio of unpaired electrons to pair electrons in the ground state,Nitrogen,Boron,Carbon,Oxygen
Which statement about element in the periodic table is correct,"Sodium is a metal ,has a giant structure and is a great conductor of electricity","Magnesium is a metalloid, has a giant structure and is a good conductor of electricity","Silicon is a metalloid, has a simple molecular structure and is a semiconductor of electricity","Sulphur is a non metal, has a giant structure and is a poor conductor of electricity"
Reason for the failure of Bohr's theory is,Only applicable for H-atom,Wave nature only described,Energy radiated,None
