question,answer,wrong1,wrong2,wrong3
The first discovered virus was:,Tobacco mosaic virus,Pox virus,Tomato mosaic virus,Influenza virus
The virus to be first isolated and crystallized was:,TMV,Cauliflower mosaic virus,Influenza virus,Bacteriophage
Credit for crystallization (isolation) of virus TMV goes to:,Stanley,Ivanoski,Louis Pasteur,Smith
Largest animal virus is:,Pox virus,Penicillium virus,Wound tumor virus,Coliphage
The smallest virus is:,Coliphase F2-bacteriophage virus,Tobacco Mosaic virus,Myxovirus,Herpes virus
Longest known virus:,Citrus tristeza,TMV,Pox virus,T1 phage
The group of viruses which attack blue green algae are termed:,Cyanophages,Bacteriophage,Phycophages,Phages only
Viruses are:,Non-celluar organism,Cellular organism,Unicellular organism,Cellular without  wall
Zymophages attack:,Yeasts,Zygote,Animals,E.coli
Viruses are believed to be:,A transitional group between living and non-living world,Living organism,Non-living organisms,Living organism which have lost the power of multiplication
The virus parasite E.coli bacteria is:,Coliphage,Cyanophage,Bacteriophage,Mycophage
Interferons are:,Proteins,Lipids,Glycolipids,Sugars
Viruses are living because they:,Can reproduce (in host),Can respire,Can die,Can cause disease
Viruses have or are made up of:,Nucleic acids,Chromosomes,Ribosomes,Carbohydrates
Viruses can multiply in:,Only within the host cytoplasm,Air,Water,Soil
Viruses have or are made up of:,Nucleic acids,Chromosomes,Ribosomes,Carbohydrates
All viruses are entirely:,Parasitic,Epiphytic,Symbiotic,Saprobiotic
"In a virus, nucleic acids is complexed with:",Capsid,Envelope,Glycolipid,Cytoplasm
The main non-living property of virus is that:,Can be crystallized,Has no metabolism,Has no enzymes system,Has no enzyme system
The protein coat of virus is made up of:,Capsomeres,Schizomeres,Capsid,Peplomers
A bacteriophage is:,A virus attacking a bacterium,A bacteria attacking a virus,A stage of the life cycle of a bacterium,A virus attacking another virus
A natural stage of virus which is capable of infection is:,Virion,Virioid,Virusoid,Virus particle
Virion refers to:,Complete form of virus,Capsid of virus,Dead virus,Nucleic acid of virus
One of the following is an example DNA containing plant virus:,Cauliflower mosaic virus,Tobacco mosaic virus,Potato mosaic virus,Tomato mosaic virus
Which of the following is none pathogenic?,Virusoids,Virions,Viroids,Prions
The virus with nucelic acid but without protein coat are known as:,Viroids,Virions,Capsomeres,Prions
Caulimovirus are a group of viruses which have:,Double stranded DNA,Double stranded RNA,Single stranded RNA,Single stranded DNA
The smallest known agent of a plant disease is:,Viroid,Virus,Bacteria,Mycoplasma
Influenza virus has:,ss RNA,ds RNA,ds DNA,ss DNA
Viroids contain:,RNA only,Protein only,DNA only,RNA and protein
Viruses containing ss RNA and attack animals is/are:,AIDS virus,Bacteriophage,Mycophage,Reo virus
Mad Cow Disease (MCD) and Parkinsonism is caused by:,Prions,Bacteria,Virion,Mycoplasma
"Prions, which are the smallest disease causing agents is made up of:",Proteins only,Nucleic acid only,Lipids only,All
Persistent infections are caused by:,Viriods,Bacteria,Viruses,All
The genetic material in viruses is:,Either DNA or RNA,Only DNA,Only RNA,DNA and RNA
Mycophages contains:,ds RNA,Ss RNA,ss DNA,ds DNA
Plant viruses have:,RNA only,DNA only,Both DNA and RNA,Coiled nucleus
Double stranded RNA is the genetic material of:,All,Reo virus,Rice dwarf virus,Penicillium virus
Small pox virus has:,ds DNA,ss DNA,ss RNA,ds RNA
A stage following infection of a cel by a virus during which the presence of virus particle cannot be made out is:,Eclipse phase,Infection phase,Maturation phase,Lysogenic phase
A disease caused by a virus containing ds DNA is:,Encephalitis,Hepatitis,AIDS,Influenza
Purity of Holy Ganga is due to:,Bacteriophage,Algae,Antibiotics,Cyanophage
Viral genome incorporated and integrated with host DNA is called:,Prophage,Bacteriophage,Macrophage,Transduction
Retro virus have:,Only RNA as genetic material,Only DNA as genetic material,DNA and RNA as genetic material,Genes on nuceloprotein complexes as genetic material
The infection by virus results in the destruction of host is called:,Lyric infection,Lysogeny,Temperate phage,All
Virus ar commonly transmitted in plants through:,Sucking insects,Wind,Water,Animals
A phage which invades a host but does not destroy it is called:,Temperate phage,Phycophage,Virulent phage,Mycophage
"Viruses usually infect, plant except:",Apical meristems,Root,Stem,Leaves
Viruses cannot be synthesized artificially because:,They do not have their own metabolism,They have closed system,They do not show sexual reproduction,All
Genetic material of TMV is:,RNA,DNA,Capsid,Both DNA and RNA
Antibodies does not act on virus due to:,Virus does not take part in metabolism,Smaller size,Virus get encysted to prevent from antibiotic,All
The DNA of virus multiplying inside the host cell is called:,Provirus,Vegetative phage,Virulent phage,Viroid
A phage which invades a host but does not destroy it is called:,Temperate phage,Phycophage,Virulent stage,Mycophage
The shape of TMV is:,Rod shape,Brick shape,Tadpoles shaped,Spherical shaped
The genetic material of bacteriophage is:,DNA,RNA,Both,Ribonucelotide
Which of the following diseases is caused by a virus ?,Influenza,Malaria,Diphtheria,Syphilis
"In which one, both diseases are caused by:",Measles and Rabies,Tetanus and Typhoid,Syphilis and AIDS,Leprosy and Dengue
The shape of bacteriophage is:,Tadpole shape,Brick shape,Spherical shape,Bullet shape
Which is the cause of anthrax disease?,Bacteria,Virus,Mycoplasma,Fungi
How many genes are present in a simplest virus:,Five,One,Eight,Nine
The disease 'Pneumonia' is caused by:,Bacteria,Virus,Cyanobacteria,Cold
The number of tail fibers in bacteriophage is:,6,2,4,5
Pleuro-pneumonia of human being is caused by:,Mycoplasma,Virus,Bacteria,None
Pleuro-pneumonia of human being is caused by:,Mycoplasma,Virus,Bacteria,None
The bacteriophage contains an enzyme known as:,Lysozyme,Dehydrogenase,Protease,Urease
Head of virus possesses:,DNA,RNA,Protein,Lipid
Neuramindase enzyme is present in which virus?,Influenza virus,Retro virus,Rous sarcoma virus,TMV
Potato spindle tuber disease is caused by:,Viroid,Bacteria,Virus,Mycoplasma
Virions is:,Completely assembled virus outside host,Nucleic acid of virus,Anti viral agent,Protein of virus
Banana bunchy top  is caused by:,Bacteriophage,Mycoplasma,Xanthomonas,Deuteromycetes
Which virus is 'Bullet' shaped ?,Rabies Virus,Varicella,Variola,Polio virus
Mosaic of sugar cane is caused by:,Virus,Bacteria,Fungi,Algae
Coliphage Ø x 174 contains,ss DNA,ss RNA,ds RNA,ds DNA
In cyanophage the genetic material is,DNA,RNA,Both DNA and RNA,Proteins
A single stranded DNA molecule is the genetic material of bacteriophage,Ø x 174,T2,M13,Both b and c
Bunchy top of papaya is caused by,Mycoplasma,Virus,Bacteria,Viroid
