question,answer,wrong1,wrong2,wrong3
This is the difference between a nerve and a neuron,consists of different number of cells,one has motor and other has sensory function,nerves are made of grey matter while neurons of white matter,nerves are present in central nervous system only
Which of the following is not an animal tissue?,Xylem,Connective,Muscular,Epithelial
Which tissue among the following is a protective tissue in the animal body?,Epithelial tissue,Muscular tissue,Nervous tissue,Connective tissue
A/An _______ tissue is formed beneath the skin and between internal organs.,Adipose,Epithelial,Nervous,Muscular
What connects Muscle to Bone?,Tendon,Ligaments,Cartilage,Adipose tissue
Which epithelium covers the dry surface of the skin and inner lining of pancreatic ducts?,Compound epithellium,Simple Epithellium,Muscular epithellium,Connective tissue
Which tissue acts as first line of protection for body from any physical or chemical damage?,Epithelial Tissue,Adipose tissue,Muscular tissue,Areolar Tissue
Which among the following is NOT the characteristic feature of Smooth Muscle Fibres?,these fibres are cylindrical in shape,they bear a central single nucleus,they are present in internal organs,they are involuntary in nature
Two bones can be connected to each other by another type of connective tissue called the ___________.,Ligament,Tendons,Cartilage,Matrix
The storage of fats in animals occurs in which tissue?,Adipocyte,Reticulocyte,Osteocyte,Chondrocyte
Which among the following is NOT a classification of Animal Tissue?,Areolar,Epithelial,Muscular,Connective
Which of the following is not an animal tissue?,Parenchyma,Epithelial tissue,Muscle tissue,Connective tissue
“Graveyard of RBCs” is,Speen,Liver,Kidney,All of the above
The word epithelium was coined by,Ryusch,Malphighii,Bichat,None
Which type of neurons are found in the retina,Bipolar,Uni-Polar,Pseudo-Unipolar,Multipolar
Which among the following is the strongest cartilage?,White fibro cartilage,Hyaline cartilage,Elastic cartilage,Violet fibro cartilage
Epithelial tissue performs the following functions,"Protection, secretion, sensation, absorption","Protection, secretion, absorption, respiration","Protection, secretion, absorption, digestion",None of these
Average life span of human R.B.C. is,120 days,100 days,90 days,None
The muscles involved in the movement of the arm are,striped,Unstriped,Cardiac,Alar
Bone marrow is made up of,"Fatty tissue, areolar tissue and blood vessel",Muscular fibre and fatty tissue,Fatty tissue and areolar tissue,Fatty tissue and cartilage
Pavement epithelium is another name for,Simple squamous epithelium,Cuboidal epithelium,Ciliated epithelium,Stratified epithelium
"The chemical which causes damage of WBC, bone marrow, spleen, lymph nodes and lungs is",Strontium –90,Iodine –131,Calcium,Iodine –127
"Inner surface of fallopian tubes, bronchi and bronchioles are lined by",Ciliated epithelium,Squamous epithelium,Columnar epithelium,Cubical epithelium
Myoglobin is found in,Muscles,Blood,Liver,Spleen
The tissue having similar properties as of protoplasm is,Nervous tissue,Epithelial tissue,Connective tissue,Muscular tissue
Glisson’s capsule is a delicate connective tissue capsule covering the,Liver,Spleen,Kidney,Gall bladder
Healing process is helped by,None,Heparin,Histamine,Serotonin
Myelin sheath is a layer covering,A nerve fibre in a vertebrate,A nerve fibre in an insect,A chick embryo,A muscle fibre in a vertebrate
The life span of human WBC is approximately,Less than 10 days,Between 20 to 30 days,Between 2 to 3 months,More than 4 months
Brush bordered epithelium is found in,Small intestine,Fallopian tube,Stomach,Trachea
Serum is,Plasma-clotting factors,Blood-Plasma,Plasma-blood cells,Plasma-WBC
Granules conatin histamine in,Basophils,Neutrophils,Eosinophils,Acidophils
The most abudant tissue in the body is,Muscular,Nervous,Vascular,Epithelial
Immunological functions of blood is due to,Lymphocytes,Monocytes,Acidophils,Neutrophils
Which of the following increases during allergy?,IgE,IgA,IgM,IgD
The type of connective tissue that is associated with the umbilical cord is,Jelly-like connective tissue,Areolar connective tissue,Adipose connective tissue,Reticular connective tissues
Which of the following muscles gets fatigued very soon?,Skeletal muscle,Smooth muscle,Cardiac muscle,All of the above
Intercalated disc is found in,Muscle of heart,muslce of arms,muslce of leg,muscle of thorax
Sprain is caused due to stretching of,Ligament,Muscle,Tendon,Nerve
Skeletal and muscle originate from,Mesoderm,Ectoderm and mesoderm,Ectoderm,Endoderm
"In which animal tissue,lacunae is not present",Areolar cartilage,Elastic cartilage,Hyaline cartilage,Fibro cartilage
Myology is the study of,Muscles,Bones,Cartilages,None
The gap between two myliean sheath is known as,Nodes of Ranvier,Synaptic cleft,Schwann cells,Synaptic Knob
Connective tissue is,Mesodermal in origin with intercellular spaces,Ectodermal in origin with intercellular spaces,Mesodermal in origin without intercellular spaces,Ectodermal in origin without intercellular spaces
Which of the following is not a true cell?,Platelets,Monocytes,Eosinophils,Neutrophils
Fibrinogen is absent in,Serum,Blood,Plasma,Both B and C
Which is the correct match?,Dendrite-Accepts signal/stimulus,Dendrite-Sends signal/stimulus,Axon-Smallest part of neutron,Synaptic Knob-Present at the end of dendron
Blood cells which show pahgocytisis are,Monocytes,Platelets,Eosinophils,Basophils
The myliean sheath provides ........................to the axon.,Both A and B,Mechanical support,Electrical insulation,None of the above
"Santosh was infested with germs and was taken to the hospital.On pathological tests,it was found that he had

a. A low number of RBC

b .A high number of WBC and a low number of RBC

c. A low number of WBC

d. A high number of  platelets",b only,a and d,c only,d only
Epithelial cells get nutrients material from:,Underlying tissue,Neighbouring cells,Blood vessels,Lymph vessels
Glands are generally lined by:,Cuboidal epithelium,Squamous epithelium,Columnar epithelium,Transitional epithelium
"Oviduct, bronchiole and fallopian tube contains:",Simple columanr (ciliated) epithelium,Stratified columnar epithelium,Simple cuboidal epithelium,None
Basement membrane is formed of:,None of the above but present below epithelial cells,Epidermal cells,Endodermal cells,Both a and b
Basement membrane is formed of:,None of the above but present below epithelial cells,Epidermal cells,Endodermal cells,Both a and b
Oil glands in mammals (rabbit) are found in:,Dermis of skin,Epidermis of skin,Mucuous epithelium of stomach,Mucous epithelium of skin
Which cells do not form any layer but remain structurally separate ?,Nerve cells,Gland cells,Muscle cells,Epithelial cells
Nerve cells do not divide because they do not have:,Centrosome,Nucleus,Golgi body,Mitochondria
"The term ""blubber"" refers to:",A subcutaneous deposition of fat in whales,The irregular heartbeat sound,A substitute for natural rubber,None
Epithelial tissue performs which of the following function?,"Protection, Secretion, Sensation, Absorption","Protection, Secretion, Absorption, Digestion","Protection, Secretion, Absorption, Respiration",None
Squeezing of leukocytes out from the capillary wall to fight foreign agents is known as:,Diapedesis,Diapause,Diaphysis,Diakinesis
Basophils of blood are modified to form:,Mast cells,Fibroblast cells,Macrophages,Adipocytes
Areolar tissue has abundant:,White collagen fibers,Yellow elastic fibres,Reticular fibres,None
Structure which joins two bones at the joints is formed by:,Elastin fibers,Collagen fibers,Chondrocytes,Fibroblasts
Which one acts as shock absorber when tibia and femur come together?,Cartilage,Ligament,Tendon,Disc
The biceps muscle is attached to humerus by means of:,Tendon,Ligament,Fibrous connective tissue,Muscle fiber
Which of the following cartilage does not posses perichondrium?,White fibrous,Hyaline,Yellow elastic,Calcified
The epithelial lining of the respiratory system of frog is derived from:,Endoderm,Ectoderm,Mesoderm,Endoderm and mesoderm
Bone marrow is absent in:,Birds,Reptilia,Amphibia,Fishes
Elastic cartilage is found in:,All,Epiglottis,Eustachian tube,Ear pinna
