question,answer,wrong1,wrong2,wrong3
Value of magnetic permeability is highest for,Ferromagnetic,Paramagnetic,Diamagnetic,Semiconductor
Which is correct for soft iron?,"high retentivity, low coercivity","high retentivity, high coercivity","low retentivity, low coercivity","high coercivity, low retentivity"
The length of bar magnet having magnetic strength 5Am² and pole strength 25Am is,20cm,10cm,30cm,40cm
The tangent galvanometer constant depends upon.,Horizontal magnetic field of earth,magnetic field of Earth,Current in coil,Earth's vertical magnetic field
When dip circle is placed perpendicular to magnetic meridian then apparent angle of dip is,-3,-1/3,-1,-2/3
Which of the following substance is paramagnetic,Chromium,Bismuth,Antimony,Water
Curie temperature is the temperature at which,a ferromagnet becomes a paramagnet,a diamagnet substance becomes paramagnet,magnetism is completely destroyed in a paramagnet,a ferromagnet becomes a diamagnet
A coil having N number of turns whose plane area is A carries a current I. The quantity NIA is,Magnetic moment,Magnetic flux,Magnetizing field,Magnetic susceptibility
When a thin bar magnet is cut in length into two equal halves and joined one above another facing same pole together the final time period of magnet is equal to :(initial time period of magnet=T),T/2,T,T/4,2T
Magnetic moment is,a vector quantity,a sacalar quantity,universal constant,tensor
What happens to the susceptibility of a ferromagnetic substance when the temperature is increased?,decreases,increases,remain constant,can increase or decrease
Space around magnet up to which its influence is felt is:,Magnetic field,Magnetic intensity,Magnetic lines of force,Magnetic permeability
The magnetic material which remains perpendicular to the non-uniform magnetic field is,Diamagnetic,Paramagnetic,Ferromagnetic,Non-magnetism
The magnetic susceptibility for diamagnetic substance is,negative,Positive and small,Zero,Positive and large
Imaginary lines having constant value of dip angle are called.......lines.,Isoclinic,Isobaric,Isogonic,Isodynamic
The magnetic moment is a:,Vector,Scalar,Henry,None
"Earth's magnetic field always has a horizontal
component except",at a magnetic pole,at the equator,at a latitude,at a longitude of 60°
A magnetic needle is kept in a non-uniform magnetic field. It experiences,a force and a torque,a force not a torque,a torque not a force,"no torque, no force"
A magnetic material aligns perpendicular to uniform magnetic field then the substance is,diamagnetic,paramagnetic,ferromagnetic,antiferromagnetic
Material A is used as a permanent magnet. It means,A has high coercivity,A has high retentivity,A has low coercivity,A has low retentivity
A unit magnetic pole placed at a point on the perpendicular bisector line of a bar magnet placed in magnetic meridian experiences a force due to the magnet. The direction of the force experienced by it will be,parallel to the magnetic axis,45° to the magnetic axis,90° to the magnetic axis,60° to the magnetic axis
Susceptibility above Curie's temperature is valid for,diamagnetic,Ferromagnetic,paramagnetic,ferrimagnetic
The value of magnetizing field (H) when magnetic,Coercivity,Retentivity,Curie's temperature,Curie's temperature
The angle of dip is maximum at,pole,equator,41° north,23°south
A long magnet of magnetic moment M and pole strength m is broken into two at the middle. The magnetic moment and the pole strength of the each piece will be,M/2;m,M/2;m/2,M;m/2,M;m
The susceptibility of the diamagnetic substance is,negative,Zero,Positive,Infinite
A magnetic needle is kept in a non-uniform magnetic field. It experiences,A force and a torque,A force but not a torque,A torque but not a force,Neither a force nor a torque
"The ratio of the magnetic moment of two short magnets, which give null deflection in tan B position at 12cm and 18 cm from the centre of a deflection magnetometer is",8:27,27:8,2:3,4:9
What is the unit of magnetic permeability?,H/m,Am²,H/A,H/m²
Critical temperature is that temperature,above which substance exists only in gaseous state,Above which ferromagnetic substance becomes paramagnetic,above which protein denaturates and becomes unfunctional,above which base sequence of DNA changes and mutation occurs
The temperature above which ferromagnetic substance becomes paramagnetic is known as,Curie temperature,Neel's temperature,Inversion temperature,Boyle's temperature
What happens when bar magnet is dropped  in copper tube.,falls with less g,falls with more than g,falls with equal to g,none
"At above curies temperature, ferromagnetic behaves as",paramagnetic,diamagnetic substance,superconductor,None
"The magnetic lines of force inside the bar magnet is form,",south to north,do not exist,north to south,None
A bar magnet of length l is bent in the form of semicircle. Then the new magnetic moment is (Initial magnetic moment is P),2P/π,P,P/π,P/2π
Angle of dip where earth's magnetic field is vertical is,90°,0°,45°,60°
The magnetic susceptibility is negative for,Diamagnetic,Paramagnetic,Ferromagnetic,Ferri magnetic substance
Magnetic moment of a magnet decreases by 19% then time is,increases by 10%,decrease by 10%,increase by 20%,decrease by 20%
Magnetic susceptibility is negative for,Diamagnetic,Paramagnetic,Ferromagnetic,All
Find the value of torque when the value of magnetic field is 0.2 tesla and magnetic moment is 2amp m² acting perpendicular to each other,0.4,4,40,400
A charge moves horizontally near to surface of earth then,Magnetic force is perpendicular to it's motion,Only electric force is parallel to it's motion,Magnetic force is parallel to it's motion,Both electric and magnetic force are perpendicular to it's motion
Permanent magnets are made up of,Steel,Soft Iron,Copper,Tungsten
When a magnet is broken into two equal pieces then the pole strength will be,Same,Halved,Doubled,One Fourth
"A metallic wire is folded to form a square loop of side ""a"". It carries a current 'i' and is kept perpendicular to a uniform magnetic field. If the shape of the loop is changed from square to a circle without changing the length of the wire and current the amount of work done in doing so is",iBa²(1-4/π),iBa²(π+2),iBa²(π-2),iBa²(4/π-1)
Line of force is due to earth's horizontal magnetic field are,Parallel and straight,Concentric circles,Curved lines,Elliptical
Cobalt is an example of substance,Ferromagnetic,Non magnetic,Diamagnetic,Paramagnetic
Above Curie temperature,Ferromagnetic substance becomes paramagnetic,Paramagnetic substance becomes ferromagnetic,Paramagnetic substance becomes diamagnetic,Diamagnetic substance becomes paramagnetic
The time period of magnet is 2sec. It is cut into two equal parts by cutting it parallel to it's length. What is the new time period of each part when vibrated in the same magnetic field?,2 sec,4 sec,6 sec,8 sec
The major contribution of magnetism in substance is due to:,Spin motion of electron,Orbital motion of electron,Equally due to both,Hidden magnets
The magnetic field strength at a distance d from a short bar magnet in longitudinal and transverse position are in ration of :,2:1,1:1,1:2,4:1
True about mangets,As electricity has point charge magnet has dipole,Bar magnet can not induce magnetism in nickel rod,The poles are at the exact ends,Like poles attract
Where in the world are we most likely to find horizontal magnetic component?,Indian Ocean,North Pole,South Pole,In a spacecraft
"A magnet of magnetic moment M is oscillating in a magnetic field with time period T. Now if the mass of the magnet quadruples, new time period will be",2T,T,T/2,3T/2
In case of bar magnet,It form closed curves passing through the magnet,Magnetic field originates from N to S,Field originates from middle of bar magnet in circular path,It's field originates like that of monopole
A magnet is placed in equilibrium in magnetic field B then calculate the work done in rotating through 180°,2MB,MB,MB/√2,√2MB
Which of the following is true for electromagnet?,High permeability and high retentivity,Low permeability and high retentivity,High suceptibility and low retentivity,low suceptibility and low retentivity
A compass needle is allowed to move in horizontal plane is taken to a geomagnetic pole. It,Will stay in any position,Will stay in north-south direction only,Will stay in east-west direction only,Will become rigid showing no movement
The substance which when placed in external magnetic field are feebly magnetized in opposite direction to that of the magnetizing field are,Diamagnetic substance,Paramagnetic substance,Ferromagnetic substance,Both (a) and (c)
Horizontal component of earth is equal to it's vertical component when angle of dip is,45°,60°,0°,90°
At a place the vertical and horizontal component of earth's magnetic field are equal . The angle of dip at that place is,45°,30°,60°,90°
Area of Hysteresis curve indicate,Loss of energy per cycle,Retentivity,Coercivity,All of the above
Value of magnetic permeability is highest for,Ferromagnetic,Paramagnetic,Diamagnetic,Semiconductor
Which is correct for soft iron,"High retentivity, low coercivity","High retentivity, high coercivity","Low retentivity, low coercivity","High coercivity, low retentivity"
The length of a bar magnet having magnetic strength 5Am^2 and pole strength 25 Am is,10cm,10cm,30 cm,40cm
The tangent galvanometer constant depends upon,Horizontal magnetic field of earth,Magnetic field of earth,Current on oil,Earth's vertical magnetic field
