question,answer,wrong1,wrong2,wrong3
Benzene reacts with mixture of conc. H2SO4 + HNO3 to form,Nitribenzene,Phenol,Benzene sulphuric acid,Sulphonitro benzene
"Nitrobenzene can be prepared from benzene by using a mixture of conc. HNO3 and conc.H2SO4. In the mixture, nitric acid acts as a/an",base,acid,catalyst,reducing agent
Nitrobenzene on reaction with conc. HNO3/H2SO4 at 80-100C forms which one of the following products?,"1,3-Dinitobenzene","1,4=Dimethylbenzene","1,2,4-Trinitrobenzene","1,2-Dinitrobenzene"
Nitri-benzene forms aniline by,Reduction reaction,Addition reaction,Substitution reaction,All
"When nitrobenzene is reacted with NH4Cl and water, the product formed is",Phenylhydroxyl amine,Nitrobenzene,Aniline,Azoxy benzene
When nitrobenzene is treated with zinc dust and aqueous ammonium chloride we get,Phenyl hydroxyl amine,Aniline,Azoxybenzene,Hydrazobenzene
"When reduced in alkaline medium in presence of sodium arsenite, nitrobenzene is reduced to",Azoxybenzene,Azobenzene,Aniline,Hydroazobenzene
The electrolytic reduction of nitrobenzene in strongly acidic medium produces,p-Aminophenol,Azobenzene,Aniline,Azoybenzene
What is formed when nitrobenzene is freduced in strongly acidic medium?,P-amino phenol,Aniline,Azobenzene,Azoxybenzene
Benzene is treated with conc.HNO3 and conc.H2SO4 to produce compound A. The compound A is then reduced by Fe/HCl in cold condition which forms compound C.C is now heated with Zn dust to form compound D. Then compound D is,Aniline,Benzene diazonium chloride,Toluene,Nitrobenzene
The reaction C6H5NO2 + KOH = o- and p-Nitrophenol is an example of,Nucleophilic substution,Electrophilic substution,Free radical substution,Electrophilic addition
Nitration of toluene using fuming bitric and sulphuric acids gives,Trinitrotoluene,o-nitotoluene,m-nitotoluene,p-nitrotoluene
"For blasting purpose, T.N.T. is mixed with",Ammonium nitrate,Ammonium chloride,Ammonium nitrite,Ammonium sulphate
The process in which amides are changed into amines is called,Hoffmann's reaction,Friedel craft's reaction,Wurtz reaction,Williamson's reaction
Acetamide reacts with NaOBr in alkaline medium to form,CH3NH2,NH3,CH3CN,CH2OHCH3
The sequence of reagents in Hoffman's Bromamide rxn is,"Br2,KOH,H2O","KOH,Br2,H2H2O","Br2,H2O,KOH",Any of these
Ethyl chloride on heating with silver cyanide forms a compound 'X' the compound 'X' is,C2H5NC,C2H5OH,C2H2CN,C2H5NH2
Gabriel's phathalimide synthesis is used for the preparation of,Primary aliphatic amines,Primary aromatic amines,Secondary amines,Tertiary amines
An isonitrile on reduction gives,2 amine,3 amine,1 amine,quaternary ammonium salts
Ethyl isocyanide on hydrolysis in acidic medium generates,ethylamine salt and methanoic acid,propanic acid and ammonium salt,ethanoic acid and ammnium salt,methylamine salt and ethanic acid
Hoffmann's reagent is,Diethyl oxalate,Dimethyl oxalate,Benzene sulphonyl chloride None of the above,None of the above
Hinsberg's reagent is,Benzene sulphonyl chloride,Diethyl oxalate,Benzoyl chloride,None of the above
The action of nitrous acid on an aliphatic primary amine gives,alcohol,Secondary,Nitro alkane,alkyl nitrite
Bromination of aniline gives,"2,4,6-tribromoaniline",m-bromoaniline,o-bromoaniline,"o,p-dibromoaniline"
Aniline is coverted into benzanilide by reacting with,Benzoyl chloride,Chloro benzene,Benzyl chloride,Phenyl chloride
C2H5NH2 +CHCl3 + 3KOH = X + Y + 3H2O compounds X and Y are,C2H5NC and KCl,CH3CN and KCl,CH3CONH2 and KCl,CH3NC and K2CO3
"For carbylamine reaction, we need hot alcoholic KOH and",any primary amine and chloroform,Chloroform and silver powder,Aprimary amine and an alkyl halide,a monoalkylamine and trichoromethane
Phenyl isocyanides are prepared from which of the following reactions?,Carbylamine reaction,Rosenmund;s reaction,Reimer-Tiemann reaction,Wurtz reaction
Carbylamine reaction is given by,RNH2,C6H5NHCH3,(CH3)2NH,(CH3)3N
