question,answer,wrong1,wrong2,wrong3
"For what minimum height h, a body is released on a smooth inclined plane so that it revolves in vertical circle of radius R after reaching the ground.",5/2 R,5/4 R,3/5 R,2R
Two bodies are projected at angles 45° and 60° respectively with horizontal. If both bodies attain same vertical height then ratio of their range will be?,√3 : 1,√3 : 2,3 : 1,1 : 1
"Escape velocity for earth is 11 km/s. If satellite is launched at 45° with horizontal, then escape velocity would be:",11 km/s,11√3 km/s,11/√2 km/s,11.2 km/s
A body of mass 'm' moving with velocity 'u' collide with another body of same mass at rest then get embedded in it. The loss of kinetic energy is equal to:,E/2,E,E/3,E/4
A body is moving in circular path with uniform motion then which is correct?,Is periodic but not SHM,Path is periodic & SHM,Neither periodic nor SHM,Is SHM but not periodic
"A train of mass ""m"" is moving with velocity ""v"" making an angle θ with horizontal straight line then power delivered is?",mgv sinθ,mgv cosθ,2 mg cosθ,mv cosθ
A body does not wet glass if it makes,Greater than 90°,acute angle,right angle,0°
A boat having length of 4 m and breath 2 m is floating on a lake. The boat sinks by 1 cm when a man gets on it. The mass of the man is:,80 kg,60 kg,120 kg,100 kg
When a mercury is kept in a glass then meniscus is,Convex upward,Concave upward,Concave downward,Convex downward
"If the change in K.E. is 4%, then momentum changes by:",2%,8%,6%,1%
When refrigerator works between 0 degree Celsius and room temperature of 27 degree Celsius then coefficient of performance of refrigerator is:,10,9,17,12
If 420 J is lost by 20 g of water. What is the change in temperature?,5°C,10°C,20°C,25°C
"If pressure of closed container is ""p"" then translational kinetic energy per unit volume (KE) is given by:",KE = 3/2 p,KE = 2/3 p,P = 2KE,P = 3/2 KE
"At absolute zero temperature, the black body.....",doesn't radiates,maximally radiates,radiation is quadrupled,radiation doubles
Equal masses of two liquid having specific heat capacity s1 at 20°C and other s2 at 40°C are mixed to have resulting solution having temperature 32°C. Then the ratio of their specific heat capacity S1: S2 is:,3:2,4:1,3:1,2:3
Which is incorrect?,Adiabatic = Heat and temperature constant,Isothermal = Temperature constant,Isochoric = Volume constant,Isobaric = Pressure constant
The maximum voltage is obtained when two capacitor having capacitance 3uF and 8uF are connected in:,Series,Parallel,Parallel with resistance,Series with resistance
Soft iron is used to make the core of the transformer because of its,Low coercivity & low retentively,Low coercivity & high retentively,High coercivity & low retentively,High coercivity & high retentively
If wire is stretched to double its length then change in their resistance will be,3 times,2 times,4 times,16 times
If the change in current per second is 1 A/sec then Emf induced in a coil will be equal to:,Self inductance,Magnetic field,Flux,Permittivity
If 10 m long potentiometer wire has resistance 20 ohm. It is connected with 10 ohm external resistance in series & battery of emf 3 volt. The potential gradient across the wire will be,0.2 v/m,0.02 v/m,0.10 v/m,0.5v/m
"Through two parallel wires A and B, 10 A and 2A of current are passed respectively in opposite direction. If the wire A is infinitely long and the length of the wire B is 2 m, then force on the conductor B which is situated at 10 cm distance from A will be:",8 x 10^(–5) N,8 x 10^(–3) N,4π x 10^(–3) N,9×10^(–5) N
The work done in carrying an electron from points A to B in an electric field is 1600 J. The potential difference between A & B will be:,10^22 volt,10^(–19) volt,10^(-23) volt,10^24 volt
A person cannot see an object beyond 100 cm. The lens to be used to remove this defect will be the power of:,1D,-1 D,2 D,-2 D
Critical angle of diamond is,24°,41°,49°,39°
A old man cannot read newspaper near than 100 cm from his eyes. He is suffering from,Presbyopia corrected by bifocal lens,"Hypermetropia, corrected by biconcave lens","Myopia, corrected by biconvex lens",Astigmatism corrected by cylindrical lens
When a slab having thickness 4 cm and refractive index 1.5 is placed in path of one interfering light. Then path difference will be:,2 cm,4 cm,8 cm,5 cm
Threshold wavelength of photoelectric emission from a metal surface is 5500Å. Photoelectrons will be emitted when this surface is illuminated with monochromatic radiation from,25 W violet light,50W infrared light,50 W red light,25W infrared light
Super conductor have:,infinite conductance,Large conductance,Small conductance,No conductance
Holes are found in,Semiconductor,Metal,Non-metal,Superconductor
"The ionization energy of the hydrogen atom is 13.6 eV. Following Bohr's theory, the energy corresponding to a transition between second & third orbit is:",1.9eV,2.5 eV,10.2 eV,0.9 eV
Radioactivity 1 disintegration per second is equivalent to:,1 Becquerel,3 x 10^20 curie,10^6 rutherford,10^6 Becquerel
"In NPN transitior the collector current is 18mA.If 90% of electrons emitted reach the collector, then base current will be:",2mA,5mA,8mA,20mA
