question,answer,wrong1,wrong2,wrong3
Mycology (Mycetology) is a branch which deals with the study of,Fungi,Viruses,Algae,Bacteria
Which type of tissue is found in the fungi,Plectenchyma,Parenchyma,Chlorenchyma,Collenchyma
Which one is a laboratory weed,Aspergillus,Penicillium,Neurospora,Saccharomyces
A group of fungi with septate mycelium in which sexual reproduction is either unknown or lacking are classified under,Deuteromycetes,Phycomycetes,Ascomycetes,Basidiomycetes
All fungi can be called as,Heterotrophs,Autotrophs,Saprophytes,Parasites
Thread like filaments of fungi are known as,Hyphae,Conidia,Mycorrhiza,Sporangium
Which of the following is not a fungal disease,Red rust of tea,White rust of crucifers,Black rust of wheat,Red rot of sugarcane
The cell wall of fungi is made up of,Chitin,Cellulose,Pectin,Suberin
Cell wall may be absent in some,Slime moulds,Algal fungi,Fungi imperfecti,None
"To digest food,the saprophytic fungi secrete",Enzymes,Hormones,Sugars,Lipid
Which of the following is predatory fungus?,Arthrobotrys,Fusarium,Puccunia,Ternaria
The fungi growing on dung is called,Coprophilous,Saxicolous,Terricolous,Corticolous
Yeast cells are important sources of,Riboflavin,Sugars,Vitamin C,Protein
In yeast meiosis occurs in,Ascus mother cell,Ascus,Ascospore,Zoospores
A thick strand of underground hypae which resembles a root is called,Rhizomorph,Rhizoid,Rhizophore,Radicle
Absorptive nutrition or extracelllular digestion is observed in,Fungi,Algae,Bryophytes,Gymnosperms
'Doliopore septum'is charactersitics of,Basidiomycetes,Myxomycetes,Phycomycetes,Deuteromycetes
Which of the following is called pin mould?,Mucor,Penicillium,Aspergillius,yeast
A dark brown compact mass od mycelium acting as a resting body is called,Sclerotium,Chlamydospore,Rhizomorph,None
Common yeast generally reproduces by,Budding,Akinetes,Ascopores,Aplanospores
Cup like fruting body of ascomycetes is called,Apothecium,Perithecium,Cleisothecium,None
'Clamp connection'are found in,Perithecium,Pycomycetes,Ascomycetes,Basidiomycetes
'Fairy Rings' are associated with,Mushroom,Rusts,Smuts,Yeast
Life cycle pattern of Saccharomyces cerevisiae is,Haplo-Diplobiontic,Haplobiontic,Diplobiontic,Haplontic
White rust of crucifers is caused by,Albugo,Phytopthora,Ustilago,Puccinia
Yeast like budding stage of oidia in mucor is called,Torula,Sporangia,Chlamydospore,Palmella
Antibiotic flavicin is obtained from,Aspergillus,Agaricus,Streptomyces,Mucor
Which of the folowing is an edible fungus?,Both a and b,Agaricus,Morchella,None
Aspergillosis is caused by aspergilus.Which of hte following part is involved in this diseases?,Lungs,Heart,Brain,Skin
Mucor shows,Isogamy,Anisogamy,Oogamy,None of these
Deuteromycetes is known as fungi imperfecti because,lack sexual reproduction,Lack asexual reproduction,Presence of both sexual and asexual reproduction,All of the above
'Invertase'enzyme is prepared from,Saccharmyces cerevisiae,Aspergillus flavus,Penicilum camemberti,None
This fungi division includes ‘Club fungi’,Basidiomycota,Zygomycota,Deuteromycota,Ascomycota
This group is used to represent pathological fungi,"Smuts, rusts and moulds",Penicillium,"Truffles, mushrooms and morels",All of the above
The fungi which derive their food directly from dead organic matter are known as,Decomposers,Predators,Mutualists,Parasitic fungi
What is the name of the special hyphal tips through which parasitic fungi absorb nutrients directly from the cytoplasm of the living host?,Haustoria,Mildew,Constricting ring,All of the above
. What does ‘Perfect stage’ of a fungus indicate?,indicates that it is able to form perfect sexual spores,indicates that it can reproduce asexually,indicates that it is perfectly healthy,All of the above
Oyster mushroom is an example of predator fungi that attacks,Roundworms,Tapeworms,Pinworms,Platyhelminthes
Who gave the parasitic nature of fungus in plants,Robert Koch,Pasteur,Anton De Bary,J.F. Kuhn
Fungus/Lichens which grow on wood is,Lignocolous,Terricolous,Saxicolous,Corticolous
What is true,In mushroom gills produce basidia,Toadstool is an edible fungus,Rust fungi are homoecious,Parathecium is fruiting body
What is true,In mushroom gills produce basidia,Toadstool is an edible fungus,Rust fungi are homoecious,Parathecium is fruiting body
Hypa in Mucor is,Coenocytic,Multicellular,Ribbon-Shaped,Unicellular
Fungi differs alage in that,Cell wall of chitin and cellulose,Cell wall made up of cellulose,Chlorophyll,Starch as reserve food
Which one has haplontic life cycle,Ustilago,Wheat,Funaria,Polytrichum
Pseudomycelium is chracteristics found in,Yeast,Mushroom,Mucor,bread mould
'Invertase'enzyme is prepared from,Saccharomyces cerevisiae,Aspergillus flavus,Penicilium camemeberti,None
An edible part of mushroom is,Basidiocarp,Tertiary mycellium,primary mycellium,Secondary mycellium
Sporangiospores of mucors are,Haploid,Diploid,Triploid,Polypoidy
Blue mould is,Penicillium,Mucor,Yeast,Asparagus
