question,answer,wrong1,wrong2,wrong3
NH4CNO → NH2CONH2. This reaction is an example of,Rearrangement reaction,Elimination reaction,Sublimation reaction,Condensation reaction
Resonance (mesomeric effect) occurs due to,Delocalization of π electrons,Delocalization of σ electrons,Migration of H-atoms,Migration of Protons
Which of the following groups exert +I effect?,-CH3,-Cl,-COOH,-NO2
An alkyl halide can be converted into alcohol by,Substitution,Addition,Elimination,Dehydrogenation
Nitration in benzene is,Electrophilic substitution,Nucleophilic substitution,Displacement reaction,Electrophilic addtion
Which of the following is the strongest acid?,FCH2COOH,CICH2COOH,BrCH2COOH,ICH2COOH
The temporary effect in which bond pair of electrons and double bonds are shifted completely is called,Electromeric effect,Mesomeric effect,Inductive effect,Hyperconjugation
Delocalization of electrons in σ and π bond is,Hyperconjugation,Resonance,Electrometric effect,Inductive effect
Nitrobenzene forms aniline by,Reduction reaction,Addition reaction,Substitution reaction,All
Covalent bond undergoes homolysis resulting in formation of,Odd electron molecule,Carbonium ion,Carbanion,Charged species
The shortest bond length is in,Acetylene,Ethylene,Ethane,Benzene
Which of the following is electrophile?,SO3,NH3,H2O,\(CN^{-}\)
"The reaction 

CH2=CH–CH3 + HBr → CH3CH(Br).CH3 

is",Electrophilic addition,Nucleophilic addition,Electrophilic substitution,Free radical addition
Electrophiles are,Electron loving species,Electron hating species,Nucleus loving reagents,Nucleus hating reagents
Homolytic fission leads to formation of,Free radical,Carbocation,Carbanion,Carbene
Which of the following statements regarding carbocation is not true?,It is very stable,It is an organic species which has positively charged carbon,It's very reactive,\(CH3^{+}\) is an example of carbocation
Sulphur trioxide is,An electrophile,A nucleophile,A homolytic reagent,A base
The non reactivity of chlorine atom in CH2=CH-Cl is due to,Resonance stabilization,Inductive effect,Electromeric effect,Dipole moment
The weakest acid among the following is,CH3COOH,CH₂CICOOH,CHCI2COOH,CCI3COOH
Resonance in most of the organic molecules,increases stability,increases reactivity,decreases stability,None of these
All bonds in benzene are equal due to,sp²-hybridisation,tautomerism,I-effect,isomerism
"In which of the following, homolytic bond fission takes place",Photochlorination of methane,Alkaline hydrolysis of ethyl chloride,Addition of HBr to double bond,Nitration of benzene
Heterolysis of carbon-chlorine bond produces,One cation and one anion,Two free radicals,Two carbonium ions,Two carbanions
Which of the following free radicals is most stable ?,Tertiary,Primary,Methyl,Secondary
Which of the following ions is most stable?,\(C6H5.C^{+}H2\),\(CH3       .C^{+}H2\),\((CH3)2.C^{+}H\),\((CH3)3C^{+}\)
Which of the following has the highest nucleophilicity?,\(CH3^{–}\),\(F^{–}\),\(OH^{–}\),\(NH2^{-}\)
Nucleophilicity order is correctly represented by,\(CH3^{-}> NH2^{-}> HO^{-}> F^{-}\),\(CH3^{-}< NH2^{-}< OH^{-}< F^{-}\),\(CH3^{-}≈ NH2^{-}> HO^{-}≈ F^{-}\),\(NH2^{-}> F^{-}> HO^{-}> CH3^{-}\)
Which of the following is not a nucleophile?,H₂,H₂O,CH3OH,NH3
"For the reaction of phenol with CHCl3 in presence of KOH, the electrophile is",:CCl₂,\(^{+}CHCI₂\),CHCl3,CCl4
Which behaves both as a nucleophile as well as electrophile?,CH3CN,CH3NH2,CH3Cl,CH3OH
Which of the following is an example of elimination reaction?,Dehydration of ethanol,Chlorination of methane,Nitration of benzene,Hydroxylation of ethylene
,electrophilic addition,nucleophilic addition,electrophilic substitution,free radical addition
The addition of HCN to a carbonyl compound is an example of,nucleophilic addition,nucleophilic substitution,electrophilic addition,electrophilic substitution
The reaction C2H5I + KOH → C₂H₂OH + KI is called,nucleophilic substitution,hydroxylation substitution,electrophilic substitution,dehydroiodination
The nature of intermolecular forces among benzene molecules is,dispersion forces,dipole-dipole attraction,ion-dipole attraction,hydrogen bonding
Which of the following has high b.p.?,Butan-2-ol,Ethane,Butane,Pentane
Which order is correct regarding the –I effect of the substituents?,-NR₂ < -OR < -F,-NR₂ < -OR > -F,-NR₂ > -OR > -F,-NR₂ > OR < -F
The state of hybridisation of carbon atom of carbene is,sp²,sp,sp³,None of these
"The number of 3°, 2° and 1° carbon atoms present in isopentane are respectively","1, 1, 3","1,2,2","2,2,1","3, 1, 1"
Removal of hydrogen atom as proton is easier when it is attached to,1° carbon,2° carbon,3° carbon,no difference
Which of the following possesses higher melting point?,p-Dichlorobenzene,Chlorobenzene,o-Dichlorobenzene,m-Dichlorobenzene
Which of the following has the most acidic hydrogen?,"2, 4-Hexanedione",3-Hexanone,"2, 5-Hexanedione","2, 3-Hexanedione"
"Among the following, the most acidic is",Cl₂CHCOOH,CICH₂COOH,CH3COOH,Cl2CHCH2COOH
Inductive effect involves,displacement of σ-electrons,delocalisation of π-electrons,delocalisation of σ-electrons,displacement of π-electrons
,III>IV>I>II,II>I>III>IV,I>IV> III > II,IV>III>I>II
"Which of the following orders, regarding relative stability of free radicals is correct?",3°> 2° > 1°.,3°< 2°< 1°,1°< 2° >3°,3° > 2° <1°
Which of the following is nucleophile?,Carbanion,Carbonium ion,CH3,All of these
Which of the following is electron-deficient molecule?,B2H6,C2H6,SiH4,PH3
Which of the following compounds reacts slower than benzene in electrophilic bromination?,C6H5NO2,C6H5CH3,C6H5OH,C6H5NH2
+I effect is shown by,-CH3,-Br,-NO2,-Cl
,Substitution reaction,Elimination reaction,Free radical reaction,Addition reaction
Electrophiles are,Electron loving species,Electron hating species,Nucleus loving species,Nucleus hating species
Nucleophiles are,Nucleus loving species,Electron loving species,Nucleus hating species,Electron hating species
A nucleophilic reagent must necessarily have,A species with complet octet and lone pair of electrons,An overall position charge,An overall negative charge,An unpaired electron
Which of the following statements is false about an electrophile?,A reagent which attacks an electron-deficient site in a molecule,Electron-deficient species,An acidic reagent,A species which seeks a pair of electrons
Which of the following species is an electrophile?,SO3,H₂O,NH3,C₂H₂OH
Which of the following species is a nucleophile?,\(NH₂^{-}\),\(N^{+}O₂\),:CX2,⁰CH3
Which one of the following series contain electrophiles only?,"AICI3 , SO3 , \(^{+}NO3\)","H2O , SO3 , \(H3O^{+}\)","NH3 , H2O , AICI3","H₂O ,\(^{+}Cl\) , NH3"
The order of stability of free radical is,Benzyl > Allyl > Tertiary,Tertiary > Allyl > Benzyl,Allyl > Benzyl > Tertiary,Tertiary > Benzyl > Allyl
Dehydration of ethyl alcohol proceeds via,Carbonium ion,Carbanion,Ethylium,Free radicals
Inductive effect involves,σ-electrons,π-electrons,Both,None
Which of the following is active species in sulphonation of benzene?,SO3,H2SO4,\(HSO3^{+}\),\(SO3^{+}\)
Which of the following substituents has +M/+R effect?,-NH2,-CHO,-C≡N,-NO₂
"Out of the following, the one containing only nucleophiles is","NH3, \(CN^{-}\), CH3OH","AICI3, BF3, NH3","AICI3 , \(NH2^{-}\), H₂O","RNH2 , :CX2 , \(H^{-}\)"
Inductive effect involves,Displacement of σ-electrons,Delocalization of σ-electrons,Delocalization of π-electrons,Displacement of π-electrons
Which of the following alkyl groups has the maximum +I effect?,(CH3)3C-,(CH3)2CH-,CH3CH2-,CH3-
The central C atom of an alkyl free radical possesses,7 electrons,6 electrons,8 electrons,None of the above
State of hybridization of carbon atom of carbene in the singlet state is,sp²,sp,sp³,None of these
Which of the following is an electrophile?,:CH2,RNH2,H₂O,\(CN^{-}\)
Which of the following correctly represents the + I-effect of the substituents?,\(O^{-}> COO^{-}> CR3\),\(COO^{-}> O^{-}> CR3\),\(O^{-}< COO^{-}< CR3\),\(COO^{-}< O^{-}< CR3\)
Which of the following does not show electromeric effect?,Ethers,Alkenes,Aldehydes,Ketones
Which is least stable?,⁰CH3,⁰CH2CH3,,
Resonance effect involves,All are correct,Delocalization of π-electrons along a conjugated system,Delocalization of π-electrons along a conjugated system,Delocalization of σ-electrons into an adjacent π-bond
Which of the following series contains atoms/groups having only -M(mesomeric) effect?,"NO2, CN, SO3H","COR, OR, COOR","Cl, CHO, NH2","OH, NR2, SR"
Hyperconjugation involves,Delocalization of σ-electrons into an adjacent π-bond,Delocalization of n-electrons into an adjacent double bond,Delocalization of π-electrons into an adjacent π-bond,All are true
"Which of the following group has the 

maximum hyperconjugation effect?",CH3-,CH3CH2-,(CH3)2CH-,(CH3)3C-
Which of the following carbocations is most stable?,\(CH3.C^{+}H2\),\(CH2=C^{+}H\),\(CH≡C^{+}\),\(C6H5^{+}\)
Which of the following alkenes is the most stable?,(CH3)2C=C(CH3)2,CH3CH=CHCH3,(CH3)2C=CH2,(CH3)2C=CHCH3
The dipole moment of vinyl chloride is lower than that of methyl chloride. This is due to,Resonance effect,Inductive effect,Electromeric effect,Hyperconjugation effect
p-Chlorophenol is stronger acid than phenol because,of the -I effect of a halogen which is greater than its +R effect,Cl is less electronegative than oxygen atom,of + R effect of Cl which is stronger than its -I effect,of +R effect of Cl
Which of the following species is paramagnetic in nature?,Free radical,Carbonium ion,Both,None
"In the carbonium ion, the carbon atom bearing positive charge is",sp²-hybridized,sp-hybridized,sp³-hybridized,Unhybridized
The shape of carbanion is,Pyramidal,Linear,Planar,None of these
State of hybridization of carbon atom of carbene in the triplet state is,sp,sp²,sp³,None of these
The bond that undergoes heterolytic cleavage most readily is,O-H,C-C,C-O,C-H
The shape of the carbonium ion is,Triangular planar,V-Shaped,Pyramidal,None of these
Carbanion is iso-structural with,Ammonia,Free radical,Carbonium ion,Carbene
"Hybridization of carbon in \(CH3^{+}, CH3^{-}, and CH2=CH-^{-}CH2\) carbons are","sp², sp³, sp² respectively","sp², sp³, sp respectively","sp, sp², sp³ respectively","sp², sp², sp³ respectively"
Which of the following carbocations is most stable?,(3o)carbocation(CH3​)3​C+​,(1o)carbocation(CH3​)3​C−C+H2​,(1o)carbocationCH3​CH2​C+H2​​,(2o)carbocationCH3​C+HCH2​CH3​​
Removal of a hydride ion from methane molecule gives,Carbocation,Methyl radical,Carbanion,Methyl group
Which of the following statements is correct?,+I group stabilizes a carbocation,+I group stabilizes a carbanion,-I group stabilizes a carbocation,-I group destabilizes a carbanion
No bond resonance explains the stability of the following,Free radicals,Benzyne,Carbanions,Carbenes
The non-reactivity of chlorine atom in CH2=CH-CI is due to,Resonance effect,Inductive effect,Electromeric effect,Dipole moment
Of the following groups which has an electron repelling inductive effect,C2H5-,-OCH3,-NO₂,C6H5-
The C-C bond length in propene is little shorter 149 pm than the C-C bond length 154 pm in ethane. This is due to,Hyperconjugation effect,+1 effect of CH3 group,Mesomeric effect,Electromeric effect
In hyperconjugation of an alkene there is overlap between,σ-and π-orbitals,p-and π-orbitals,2π-orbitals,d-and π-orbitals
,IV> III > II>I,I > II > III > IV,IV > I > III > II,I>II>IV> III
Heterolytic cleavage of a covalent bond gives only,Both of the above,Cationic species,Anionic species,Free radicals
,Nucleophilic substitution,Electrophilic addition,Electrophilic substitution,Nucleophilic addition
Which of the following contains three pairs of electrons in the valence shell?,Carbocations,Carbanions,Free radicals,None
Heterolysis of carbon-chlorine bond produces,One cation and one anion,Two free radicals,Two carbonium ions,Two carbanions
Which of the following is an electrophilic reagent?,BF3,\(RO^{-}\),NH3,ROH
Homolytic fission of C-C bond in ethane gives an intermediate in which carbon is,sp²-hybridized,sp³-hybridized,sp-hybridized,sp²d hybridized
The typical reaction of olefinic bond is,Electrophilic addition reactions,Electrophilic substitution reactions,Nucleophilic substitution reactions,Nuclephilic addition reactions
The homolytic fission of a hydrocarbon results in the formation of,Free radicals,Carbonium ion,Carbanions,Carbenes
Which of the following is an example of elimination reaction?,Dehydration of ethanol,Chlorination of methane,Nitration of benzene,Hydroxylation of ethylene
Which of the following is not a nucelophile?,BF3,\(CN^{-}\),\(OH^{-}\),NH3
Which of the following is least stable?,\(CH3–CH2–^{+}CH2\),\(CH3-^{+}CH-CH2-CH3\),,
Which of the following statement is false about resonance contribution structures?,Equivalent contributing structures make the resonance very important,Contribution structures contribute to the resonance hybrid in proportion of their relative energies,Contributing structures represent molecules having no real existence,Contributing structures are less stable than the resonance hybrid
"The reaction

CH2=CH-CH3 + HBr→ CH3CH(Br)CH3 is",Electrophilic addition,Nucleophilic addition,Electrophilic substitution,Free radical addition
Electrophile in the case of chlorination of benzene in presence of FeCl3 is,\(Cl^{+}\),\(Cl^{-}\),Cl,FeCl3
In which of the following resonance will be possible?,CH2=CH-CH=O,CH2 = CH – CH2– CHO,CH3COCH3,CH2=CH-CH2-CH=CH2
Point out the incorrect statement about resonance?,"In resonance structures, there should not be same number of electron pairs",Resonance structures should have equal energy,"In resonance structures, the constituent atoms must be in the same position",Resonance structures should differ only in the location of electrons around the constituent atoms
