question,answer,wrong1,wrong2,wrong3
Which method is used to measure the speed of light accurately?,Michelson's method,Fizeau's method,Focault's method,None of these
Time taken by light to cross a glass slab of thickness 5cm and refractive index 1.5 will be,2.5* 10^-10s,2* 10^-10s,3* 10^-10s,3.5* 10^-10s
For which colour the velocity of light is maximum in diamond?,red,yellow,violet,blue
"The index of reflection of diamond is 2.4, velocity of light in diamond is",1.25* 10^-10m/s,2.5* 10^-10m/s,1.5* 10^-10m/s,2* 10^-10m/s
The correct sequence of electromagnetic wave is decreasing order of frequency:,"X-ray, visible ray , microwave","Infra-red, visible ray, UV-ray","X-ray, visible ray,UV-rays","Microwave , UV-ray, X-ray"
The velocity of light in a glass of refractive index 1.5 is (2)*10^-8 m/s. The refractive index of liquid is,1.2,1.44,0.64,0.8
Which of the following correctly shows regions of the electromagnetic spectrum in order of increasing wavelength?,ultraviolet→visible→infra-red→microwave,gamma→infra-red→visible→radio,microwave→ultraviolet→visible→infra-red,radio→microwave→infra-red→visible
Which of these parts of the electromagnetic spectrum has both frequency greater than infra-red and wavelength smaller than X-ray?,Gamma rays,micro-waves,Radio waves,Ultraviolet
A light wave has a frequency of 100Hz. The wavelength of the wave is :,3*10^6m,2*10^6m,2*10^5m,3*10^5m
Which of hte following has lower energy than infrared waves,microwaves,visible,amplitude,none
The velocity of light in vacuum depends upon,none,frequency,wavelength,amplitude
"In Fizeau's experiment, a wheel having 720 teeth was used and distance between the wheel and reflecting mirror was 9.633km. Calculate the speed of light if the first extinction light occured at a speed of 750 revolutions per minute of the wheel",3.10*10^8 m/s,2.10*10^8 m/s,4.10*10^8 m/s,2.9*10^8 m/s
"In Foucault's experiment , radius of curvature of hte mirror is 20m and the plane mirror is rotating at 20rps . The angle of rotation of plane mirror in the mean time is",5.33¶ *10^-6 rad,3*10^-5 rad,6.22¶ *10^6 rad,3.33¶ *10^-6 rad
"In Michelson's experiment, distance between two fixed mirrors is increased to twice.How will the speed of octagonal mirror be adjusted for continuous image of the source?",half,same,twice,four times
A bulb is lowered from 4m to 3m above table the what is change in illuminance?,increases by 77.33%,increases by 25%,decreases by 25%,decreases by 77.33%
The correct exposure time for photographic print is 10sec at a distance of 2m from 40 cd lamp. The time required for exposing the same print at a distance of 4m from 20cd lamp is,80s,10s,40s,160s
"The luminous efficiency of a lamp is 50 lumen/watt and its power is 40 Watt, its luminous flux in lumen is",2000,5/4,4/5,1000
Lumen is an unit representing,Luminous flux,Luminous intensity,Illuminance,Luminance
The  illuninance at 10m directly below a 40cd lamp is,0.4 lux,4 lux,40 lux,0.04 lux
Luminous intensity of light source of Illuminance 50 lux at distance of 2m is?`,200,400,300,100
Two bulbs A and B are placed respectively at 20cm and 30 cm on opposite sides of an oily paper screen. The two sides of the screen are equally intense.The ratio of powerr of the bulb A to that of B will be,4:9,9:4,2:3,3:2
The shutter of camera is opened for 20s at a distance of 2m from the lamp of illuminance of 20cd. If the distance is made 4m from the lamp of illuminance 40cd .What is the time of shutter opening?,40s,20s,60s,80s
Illuminance at a point 2m from a source of light of luminous intensity 100 candela is,25 lux,50 lux,50 cd/m^2,25/2¶
The time exposure of camera is 4 sec. What will be the time of exposure if its aperture is doubled?,1 sec,2 sec,3 sec,8 sec
