question,answer,wrong1,wrong2,wrong3
On reacting sodium iodate and sodium bisulphate gives ;,Iodine,Sulphur dioxide,Sulphur,Sodium sulphate
WOF not used as bleaching in pulp,Na,K,Li,He
When person goes to clean sewage after some time he found dead.... What causes his death ?,CO,CO2,HCN,NO2
Antipyretic,decreases body temperature,kills organism,relieves pain,None
Which one of the following have correct order,I>I¯>I+,I¯>I>I+,I+>I¯>I,I>I+>I¯
Calomel molecular formula is,Hg2Cl2,Hg2Cl,NaOH,H2SO4
Maximum catenation property is of,Na,si,C,B
Which of the following is heaviest liquid ?,Glycerine,Hg,H₂O,NH₃
Superconductivity is shown as,Graphite,Diamond,Fullerecence,All
Which of the following is obtained from calcinated ore of Iron ?,Wrought iron,Cast iron,Pig iron,Steel
Which of the following is obtained when Sodiumiodate is treated with Sodiumbisulphite ?,S,Sodium oxide,SO₂,Iodine
Which of the following shows flourescene ?,White / Yellow Phosphorus,Red phosphorus,Black Phosphorus,Violet Phosphorus
Which of the following has minimum dipole moment ?,CH₃Cl,CH₂Cl₂,CHCl₃,CCl₄
Which of the following is not used in Bleaching of Pulp ?,Cl₂,CaOCl₂,NaOH,NH₃
Oxidation of Sulphur in H₂SO₄,+2,+4,+6,+8
The number of surrounding atom present in compound containing sp² hybridization ?,3 atoms,1 atom,2 atoms,4 atoms
"Identify the following with given conditions : 

1. rotten egg smell

2. make salt with NaOH 

3. makes phosphide with CuSO₄ & AgNO₃",NH3,PH3,CO2,N2
Na2S2O3 and NaIO3 gives which gas,O2,S2,O2,Hl
K+ is isotonic with,Na+,ar,Ne,Cr
Major air pollutant is,SO2,NO2,CO,CO2
Which of the following alkali metal makes nitrates,Na,Li,K,Rb
Which of the following burns at room temperature?,S,O,H,He
Which of the following has minimum dipole moment,CH3Cl,CH2CI2,CHCl3,CCl4
