question,answer,wrong1,wrong2,wrong3
Movement of minerals through semipermeable membrane is,Diffusion,Osmosis,Plasmolysis,Imbibition
A semipermeable membrane allows the diffusion of,Solvents,Solutes,Both solvents and solutes,None of the above
"When diffusion of two or more substances take place simultaneously at the same time, it is called",Independent diffusion,Diffusion,Facilitated diffusion,Osmosis
A solution which can cause osmotic entry of water into it is known as,Hypertonic solution,Semiosmotic solution,Osmotically active solution,Osmotic solution
The water potential and osmotic potential of pure water are,Zero and zero,100 and zero,100 and 100,Zero and 100
Osmosis involves movement of water from,Low DPD to high DPD,Lower water potential to higher water potential,Concentrated solution to dilute solution,Flaccid cell to turgid cell
Osmosis is possible in,Only living tissue,Only dead tissue,Both living and dead tissue,All the tissues
"Rate of diffusion of solids, liquids and gases in the increasing order is","Solids, liquids and gases","Liquids, solids and gases","Gases, liqids and solids","Solids, gases and liquids"
Movement of minerals through semipermeable membrane is,Diffusion,Osmosis,Plasmolysis,Imbibition
Thistle funnel using egg membrane is used to demonstrate,Osmosis,Diffusion,Imbibition,Transpiration
The pressure exerted by the wall of the cell on the protoplast is,Wall pressure,Turgor pressure,Diffusion pressure,Osmotic pressure
Turgidity of cell is maintained by,Osmotic pressure,Wall pressure,Turgor pressure,Diffusion pressure
"With rise in turgidity, wall pressure will",Increase,Decrease,Fluctuate,Remain unchanged
DPD is equal to,OP - TP,OP x TP,OP + TP,TP - OP
Water absorption through roots is,Passive absorption,Active absorption,Both of these,None of these
Root hairs absorbs water from soil through,Osmosis,Turgor pressure,Ion exchange,DPD
No energy is required and roots play only the role of absorbing organs in,Passive absorption,Active absorption,Both passive and active absorption,Nnoe of these
The following percentage of water absorbed by herbaceous plants is lost in transpiration,99,80,60,40
Swelling of wooden frames during rains is caused by,Imbibition,Endosmosis,Capillarity,Osmosis
"In seed germination, the first process to occur is",Imbibition,Diffusion,Osmosis,All of these
Seed germination is accompanied by,Evolution of heat,Absorption of heat,Starch synthesis,Fat synthesis
An  antitranspirant is,Phenyl mercuric acetate,Cobalt chloride,Mercury,Potassium
Shrinking of protoplasm from cell wall under the influence of hypertonic solution is,Plasmolysis,Deplasmolysis,Turgidity,Flaccidity
Dry seeds when placed in water swell up due to,Imbibition,Absrption,Diffusion,Adsorption
Transpiration from the two leaf surfaces are compared by dry paper strips previously soaked in solution of,Cobalt chloride,Sodium chloride,Calcium chloride,Cbalt nitrate
Stomatal opening is under the control of,Guard cells,Epidermal cells,Palisade cells,Parenchyma cells
Kidney shaped guard cells are found in,Dicots,Monocots,Both of these,None of these
Transpiration rate of a dorsiventral leaf is,Higher on the lower surface,Higher on the upper surface,Equal on both the surface,Dependent upon species
"In soil, the water available for root absorption is",Capillary water,Gravitational water,Hygroscopic water,Combined water
Root pressure is maximum at the time of,Absorption is high and transpiration is low,Water absorption as well as traspiration are low,Both water absorption and transpiration are high,Absorption is low and transpiration is high
Root pressure is due to,Active absorption,Passive absorption,Increased transpiration,Increased photosynthesis
"Water drops present on leaf margins of Trapaeolum, balsam and grasses in early morning are due to",Guttation,Dew,Osmosis,Transpiration
Which one gives the most valid explanatoin for guard cell movements?,Potassium influx and efflux,Guard cell photosynthesis,Starch hydrolysis theory,Transpiration
In bacterial photosynthesis the hydrogen donor is,H2S,H2O,H2SO4,NH3
Which is produced during water stress that brings stomatal closure?,Abscisic acid,Ethylene,Ferulic acid,Coumarin
Stomata open and close due to,Turgor pressure of guard cells,Circardian rhythm,Genetic clock,Pressure of gases inside the leaves
Stomata open when guard cells are,Turgid,Flaccid,Large,Small
Photosynthesis a process of manufacture of organic compounds is,"Anabolic, endothermic, oxidative reductive process","Catabolic exothermic, reductive process",Both anabolic and catabolic process,A chemical process
Stomata open during,Day time for exchange of gases,Day time for no gaseous exchange,Night for exchange of gases,Night for no gaseous exchange
The oxygen produced during photosynthesis comes from water was proved by,Ruben and Kamen,M. Calvin,Robert Mayer,Blackman
The algae used by Ruben and Kamen is,Chlorella,Hydrilla,Chlamydomonas,Spinach
Stomata open and close due to,Turgor pressure of guard cells,Circadian rhythm,Genetic clock,Pressure o gases inside the leaves
Stomata open when guard cells are,Turgid,Flaccid,Large,Small
Sunken stomta are found in,Xerophytes,Mesophytes,Hydrophytes,Epiphytes
Photosynthesis is fastest in,Sunlight,Blue light,Red light,Green light
Photosyntesis is fastest in,Red light,Green light,Blue light,Ultra violet light
Photosynthesis is fastest in,Intermittet light,Green light,Blue light,Red light
A specialized multicellular structure which excretes water droplets is,Hydrathode,Lenticel,Stomata,Bordered pit
Wilting occurs when,Rate of transpiration is higher than absorption,Rate of absorption is higher than transpiration,Excess root pressure,High relative humidityof air
The energy change in photosynthesis is from,Light energy to chemical energy,Light energy to electrical energy,Light energy to molecular energy,Light energy to activation energy
Loosely arragend mass of parenchyma in hydathode is called,Epithem,Spongy parenchyma,Aerenchyma,Prosenchyma
"In a chlorophyll molecule, magnesium is present",Center of porphyrin,At one end of porphyrin,Phytol tail,Between porphyrin hea and phytol tail
The empirical formula for chlorophyll 'a' is,C55H72O5N4Mg,C35H72O5N4Mg,C65H70O6N4Mg,C45H70O6N4Mg
Which one of the following is the common storage product of photosynthesis?,Starch,Protein,Fat,Sucrose/glucose
Translocation of carbohydrate nutrients usually occurs in the form of,Sucrose,Glucose,Maltose,Starch
The process in which water is split during photosynthesis is,Photolysis,Hydrolysis,Plasmolysis,Hemolysis
The energy contained in plant carbohydrates comes from,Sunlight,Mineral,CO2,Water
The pigment present universally in all green oxygenic plants is,Chlorophyll a,Chlorophyll b,Chlorophyll c,Chlorophyll d
Osmotic pressure is maximum in,Halophytes,Hydrophytes,Xerophytes,Mesophytes
Wich photosynthetic bacteria posses both PS I and PS II,Cyanobacteria,Purple sulphur bacteria,Purple nonsulphur bacteria,Green sulphur bacteria
The number of chlorophyll molecule in each quantosome is,230,250,130,300
Which products of hill reaction are used in Blackman's reaction?,"ATP, NADPH","ATP,NADH","ADP, NAD","ATP,NAD"
Thylakoids posses photosynthetic units called,Quantasomes,Glyoxysomes,Polysomes,Ribosomes
Noncyclic photophosphorylation is performed by,Both b and c,Dark reaction,PS I,PS II
Which one is te common product of both respiratino and photosynthesis?,ATP,Quinine,Cytochrome,Chlorophyll
Dark reaction of photosynthesis occur in,Stroma outside photosynthesis lamellae,Granal thylakoid membranes,Stromal lamella membranes,Periplastidial space
The site for light reaction is,Grana,Stroma,ER,Cytoplasm
Light reaction of photosynthesis is also called,Hill reaction,Calvin cycle,TCA cycle,All the above
Which one occurs both during cyclic and noncyclic modes of photophosphorylation,Formation of ATP,Involvement of both PS I and PS II,Release of O2,Fomation of NADPH
Special feature of C4 plants is,Kranz anatomy,Thin cuticle,Multilayered epidermis,Both a and b
Anatomy of C4 plant leaf shows,presence of bundle sheath cells,Presence of peroxisomes,Absence of mitochondria,Absence of bundle sheath cells
The carbon dioxide acceptors in C3 plants is,"Ribulose 1,5-biphosphate",Phosphoenol pyruvate (PEP),Phosphoglyceric acid (PGA),Ribulose monophosphate (RMP)
Photolysis of water occurs in association of,PS II,Cytochrome B6,Plastocyanin,PS I
Photolysis of water occurs in association of,PS II,Cytochrom B6,Plastocyanin,PS I
