question,answer,wrong1,wrong2,wrong3
Glycerin is obtained from,Fat,Soap,Acid,Amine
85% ethanol is present in,Methylated spirit,Absolute alcohol,Wash,Rectified spirit
What happens when benzene diazonium chloride reacts with phenol?,Azo dye,Aniline,Alcohol,Benzoic acid
"Which of the following on mixing with rectified spirit, make unfit for drinking:",Methanol,Acetic acid,Benzene,Formic acid
"A compound 'Y' is treated with acidified K2Cr2O7 doesn't affect the solution and they do not react with 2,4 DNP.",2 methyl -2- propanol,Ethanol,Propane -2 ol,Propanol
Tertiary alcohol in 1st oxidation gives,Alkene,Carboxylic acid,Ketone,Aldehyde
In Phenol,"pKa decreases, lyphophilicity decreases","pKa increases, lyphophilicity increases","pKa increases, lyphophilicity decreases","pKa decreases, lyphophilicity increases"
Vapour of alcohol can be easily dehydrogenated by using,Cu,Proton,Anhydrous CaCl2,Heated Al2O3
Glucose is converted into ethyl alcohol in presence of,Enzyme,Acid,Catalyst,Hormone
Lucas test is done for,Alcohol,Alkyl halides,Aldehydes,Esters
Dehydration of ethyl alcohol gives an intermediate is,Ethylium ion,Carbonium ion,Free radical,Carbonium
Saccharization is a process of,Starch into sugar,Alcohol into sugar,Sugar into starch,Starch into alcohol
Dehydration is most easily possible in case of,3° alcohol,1° alcohol,2° alcohol,CH3OH
Which of the following alcohol is formed from water gas,Methanol,Propanol,Ethanol,Isopropyu alcohol
"When Ethyl alcohol is heated with excess of concentrated sulphuric acid at about 160 - 170°C, it produces:",Ethene,Ethane,Ethyne,Ethyl ether
Liquor poisoning is due to the presence of,Ethyl alcohol,Carbonic acid,Methyl alcohol,Bad compound
Dehydration of ethanol yields:,Mixture of ethylene and ethoxyethane,Ethylene,Ethoxy ethane,Ethyne
"Identification of 1°, 2° and 3° alcohol can be done by",Lucas reagent,Hinsberg reagent,Hoffmann's reagent,Nessler's reagent
Intoxication of polar solvent for using in laboratory is done by,None,Ethanol,Methanol,Acetone
Glucose on fermentation gives,Ethanol + CO2,Ethanol + CO2 + H2O,H2O,CO2
Alcohol poisoning occurs due to the presence of....... in alcohol that is used for drinking purposes:,Methyl alcohol,Carbonic acid,Ethyl alcohol,impurities ( HCN + HCOOH )
An alkyl halide can be converted to alcohol by:,Substitution,Addition,Elimination,Dehydrogenation
The enzyme used during the formation of carbohydrate to CO2 and alcohol is:,zymase,diastase,invertase,maltase
Methnol and ethanol react with water due to the formation of,Hydrogen bond,Covalent bond,Van der Waal's force,dipole-dipole interaction
Rectified alcohol is converted to absolute alcohol by the addition of,Benzene,ZnCL2,Dibenzene,H2SO4
Fermentation is a:,Exothermic process,Reversible process,Endothermic process,Poikilothermic process
An alkyl halide can be converted into alcohol by:,Substitution reaction,Addition reaction,Elimination reaction,Dehydrogenation reaction
Which of the following is most acidic?,Primary alcohol,Secondary alcohol,Tertiary alcohol,All have equal acidity
"In the following reaction:

2ROH + 2Na → 2RONa + H2, it shows",Acidic nature of alcohol,Reducing property of sodium,Basic nature of sodium,Both b and c
"Primary, secondary and tertiary alcohols are distinguised by:",Victor Meyer's Test,Fehling's solution,Hoffmann's Test,Beilstein's Test
CH3CH2OH + excess conc H2SO4 → the product of reaction is:,Ethylene,Ethane,Diethyl ether,Ethyl acetate
"In the Victor Meyer's test of distinction between   1°,2° and 3° alcohol, the 1° alcohol gives which colour",Red,Blue,Green,Yellow
