question,answer,wrong1,wrong2,wrong3
"When air resistance is taken into account while dealing with the motion of the projectile. Of the following properties of the projectile, the one which shows an increase is",The angle at which the projectile strikes the ground.,Range,Maxm height,Speed at which it strikes the ground.
A body is thrown with velocity 50 m/s. The maximum horizontal distance it can cover is,250 m,200 m,300 m,400 m
"The range of a projectile fired at an angle of 15° is 50 m. If it is fired with the same speed at an angle of 45°, its range will be",100m,25 m,50m,37m
In a projectile throw at the same angles the velocity of A is two times of velocity of B their ranges are related as,Ra = 4Rb,Ra= 2Rb,Rb = 2Ra,Rb = 4Ra
A body is projected at an angle 45° with a velocity 200 m/s. The maximum height attained by the projectile is,1000 m,200 m,400 m,800 m
"A body projected at angle of 60° attains ""the same height at two points a and b at two different times. If air resistance is neglected the ratio of mechanical energies at with respect to that at b will be",Equal to one.,More than one,Less than one.,Dependent on their directions of velocity.
A fielder can throw a cricket ball to a   maximum horizontal distance of 100 m How high the fielder can throw the same ball?,50m,25m,40m,100m
"A stone is projected horizontally at 30m/s from the top of a tower 45m high. At what angle with horizontal, the stone strikes the horizontal ground at the same level of the foot of the tower?",45°,30°,60°,90°
"If maximum height of a projectile is increased by 10% keeping e same, then the time of flight increases by",5%,10%,15%,20%
A stone is thrown horizontally forward at 30m/s from the top of a tower 45m high. Then displacement of the stone from the foot of the tower after one second is,50m,10m,20m,40m
A projectile is thrown at angle θ with vertical with initial kinetic energy Eo. If air resistance is neglected the K.E. at highest point will be,\(Eosin^2θ\),\(EoCos^2θ\),EoCosθ,Zero
It is possible to project a particle with a given velocity in two possible ways so as to make it pass through a point at a distance r from the point of projection The product of times taken to reach this point in the two possible ways is then proportional to,\(1/r^2\),r,\(r^2\),1/r
From the top of a tower of height 40m a ball is projected upwards with a speed of 20m/sec at an angle of elevation of 30°. Then the ratio of the total time taken by the ball to hit the ground to its time of flight is (g = 10m/s2),2:1,3:1,3:2,4:1
A gun fires two bullets at 60° and 30°  with horizontal. The bullets strike at some horizontal distance. The ratio of maximum height for the two bullets is in the ratio,3:1,2:1,4:1,1:1
"The maximum of range a gun on horizontal train is 16km. If g is 10m/s2, the muzzle velocity of the shell will be",400m/s,200m/s,800m/s,256m/s2
"A javelin thrown into air at an angle with the horizontal has a range of 200m. If the time of flight is 5 second, then the horizontal component of velocity of the projectile at the highest point of the trajectory is",40m/s,0m/s,98m/s,Infinite
A ball as projected upwards from the top of tower with vertical velocity 50m/s making an angle 30° with the horizontal. The height of the tower is 70m. After how many seconds from the instant of throwing will the ball reach the ground?,7s,2s,5s,9s
The equation of trajectory from a projectile thrown horizontally from certain height above earth is y = 45- \(x^2/20\) where x and y are in metre. Then initi horizontal velocity is,10m/s,20m/s,30m/s,15m/s
"From the above question, find horizontal range?",30m,20m,45m,60m
A projectile thrown with speed u at angle θ with horizontal is moving right angle to its initial direction when its velocity is,ucotθ,utanθ,usinθ,usecθ
"For what angle of projection with horizontal, the horizontal range of a projectile is equal to its maximum vertical height?",\(tan {-1}(4)\),\(tan {-1}(1)\),\(tan {-1}(2)\),\(tan {-1}(3)\)
A projectile thrown at certain angle with horizontal from horizontal ground is moving horizontally after 2 seconds and is moving at 45° after one second Then the angle of projection for the projectile is,\(tan^{-1}(2)\),\(tan^{-1}(1)\),\(tan^{-1}(3)\),\(tan^{-1}(4)\)
A ball is thrown vertically upward initial velocity 20m/s from roof of a bus travelling along constant velocity 30m along a straight road. The ball returns to thrower's hand after the bus has travelled,120 cm,90 cm,150 cm,180 cm
The equation of the trajectory of an oblique projectile is y = √3x -1/2 gx^2 Here x and y are in meter and g is in m/s2. The angle of projectile is,\(tan^{-1}√3\),0°,90°,45°
A projectile is fired with velocity u making angle with the horizontal. What is the angular momentum of the projectile at the highest point about the starting point? Given the mass of the projectile is m,\(\frac{mu^2sin^2θcosθ}{2g}\),\(\frac{mcosθ}{2g}\),\(\frac{mu^3cos^2θ}{2g}\),\(\frac{mu^3sinθcosθ}{2g}\)
Two projectile are fixed from the same point with the same speed at angles of projection 60°and 30° respectively. Which one of the following is true?,their range will be same,their maximum height will be the same,their landing velocity will be the same,their time of flight will be same
"The range of a projectile when projected at an angle 0 degree is R. If the angle of projection is 20 degree but the range remains the same the angle, will be",30°,10°,20°,40°
A projectile's time of flight 'T' is related to horizontal range by equation gT^2 = 2R. The angle of projection in degrees is,45°,90°,30°,60°
A ball is thrown horizontally from the top of a tower. Horizontal component of 8:4: img its velocity will,remain unchanged,increase,decrease,first increase and then decrease
"Two bullets A and B are fired horizontally at the same instant of time with velocities Va and Vb from the same height. If Va, is greater than Vb which will reach the ground first?",Both simultaneously,A,B,Depends upon their masses
A cricket ball is struck with a K.E of 'K' at an angle of 45° with the horizontal. The K.E at the maximum height will be,k/2,0,k,2k
R is the horizontal range of projectile for an angle of projection of 15°. For the same range another angle of projection  will be,75°,30°,60°,45°
"For a projectile fired at equal inclination to horizontal and vertical line with velocity u, the horizontal travelled is:",\(u^2/g\),\(u^2/2g\),\(u^2sinθ/g\),None of the following
"Two projectile A & B are thrown at a same angle with velocity up= 2u, then what is the relation between their range",RB = 4RA,RA =RB,2RA = RB,2RB = RA
If mass & velocity of a body in a projectile motion is doubled then linear momentum becomes,4 times,2 times,1/2 times,constant
"Ball A is dropped vertically B is thrown horizontally from the same height and at the same moment, then:",Ball B reaches the ground with more velocity,Ball A reaches the ground first,Ball B reaches the ground first,Ball A reaches the ground with more velocity
The greatest height to which man can throw a stone is h. The greatest distance to which he can throw it will be,2h,h/2,h,4h
"If the maximum range of a projectile is four times of its maximum height, then the angle of projection is equal to",45°,30°,60°,75°
A plane is moving with 300ms-1 when it is just above the observer at a height of 2km. At what angle with the vertical must he fire the gun with velocity Hm/sec directly to hit the aero plane?,60°,30°,90°,45°
A man in a train moving with a constant velocity drops a ball on the platform. The path of the ball as seen observer standing on the platform is,a parabola,straight line,a circle,helix
"The range of projectile fired at an angle of 15° is 50 m. If it is fired with same speed at an angle of 45° then, range will be",100m,15m,50m,37m
"A stone is released from a top of tower. When a constant force is applied by high speed wind on that stone, then the path it follows is",Straight,Parabolic,Hyperbolic,circular
If a person can throw a ball to the maximum height of 10m. How far he can throw that ball:,20m,10 m,10√2 m,20√2m
