question,answer,wrong1,wrong2,wrong3
The branch of biology deals with heredity and variations is,Genetics,Ecology,Evolution,Eugenics
The Father of Genetics is,Mendel,Bateson,T.H. Morgan,H.J. Muller
The Father of Modern genetics is,T.H. Morgan,Mendel,Bateson,H.J. Muller
The term 'Genetics' was coined by,Bateson,Mendel,T.H. Morgan,H.J. Muller
The favorite and ideal material for research in genetics is,Fruitfly,Housefly,Mosquito,Frog
Johansen coined the term,All of these,Gene,Genotype,Pure line
Genotype is,Genetic composition of an organism,Genetic composition of a tissue,Genetic composition of plastids,Genetic composition of germ cell
The external Morphological expression of an individual is,Phenotype,Genotype,Gene pool,Allele
The character-influenced environment as well as age is,Phenotype,Genotype,Gene pool,Allele
Gene is,Both 1 and 2,DNA,RNA,Protein
A haploid cell of all the genes present in a gamete is called,Genome,Genotype,Phenotype,Gene pool
Sum total of all genetic information is the breeding of a population at a given time is known as,Gene pool,Genetic clone,Genome,Genetic drift
The contrasting pair of a factor present in a gene is,Allelomorphs,Multiple alleles,Alloloci,Paramorphs
An organism with two identical alleles is,Homozygous,Dominant,Hybrid,Heterozygous
Organisms phenotypically but genetically different are,Heterozygous,Homozygous,Monozygous,Multizygous
Heterozygous organisms for two genes shall be,RrYy,RRYY,RrYY,RRRy
Monohybrid cross involves,Individuals different in one trait,Individuals of two different parents,Individuals different in two trait,Individual with parent
The allele which is unable to express effect in the presence of another is called,Recessive,Codominant,Supplementary,Complementary
A cross involving two pairs of alleles is,Dihybrid cross,Crossing over,Genetics,Monohybrid cross
A cross between a hybrid test and its parent is,Back cross,Reciprocal cross,Monohybrid cross,Dihybrid cross
A test cross is a crossing between,Hybrid * Recessive parent,Hybrid * Dominant parent,Hybrid * Hybrid,All of the above
Mendel conducted hybridization experiments on,Garden pea,Pigeon pea,Wild pea,Sweet pea
Mendel enunciated how many principles of inheritance,Three,Two,Four,Five
Mendel choose how many contrasting traits in pea,7,3,2,1
Which contributed to the success of Mendel,Consideration of one character at a time,Qualitative analysis of data,Observation of distinct inherited traits,His knowledge of biology
Mendel did not propose,Incomplete dominance,Dominance,segregation,Independent assortment
A recessive trait in Garden pea,All Of the above,Wrinkled seeds,Green Seed Color,Yellow Pod Color
Which one is a dominant trait out of the character chosen by Mendel,Flower position-Axillary,Pord color-Yellow,Seed color-white,Plant height-Dwarf
"In mendelian crosses, the genes responsible for different characters separate through",Segregation,Fusion,Aggregation,Distribution
"""Gametes are never hybrid,"" It is a statement of the law of",segregation,Dominance,Independent assortment,Random fertilization
Mendel's law of heredity can be explained with the help of,Meiosis,Mitosis,Cloning,Both a and b
Dihybrid cross is related to,Principle of Independent Assortment,Principle of dominance,Principle of Segregation,Principle of purity of gametes
Mendel's principle of segregation is based on the separation of alleles during,Gamete formation,Seed formation,Pollination,Embryonic development
Mendel formulated the law of purity of gametes on the basis of,Monohybrid cross,Test cross,Back cross,Dihybrid cross
Mendel's second law of independent assortment can be demonstrated by,Dihybrid cross,Test cross,Back cross,Monohybrid cross
Mendel's second law is,Independent assortment,Segregation,Dominance,Polygenic inheritance
The Monohybrid cross ratio is,3:1,9:7,1:2,9:3
Mendel's law of independent assortment is based on F2 ratio of,9:3:3:1,1:2:1,1:2,3:1
The genotypic ratio of a dihybrid cross is,1:2;2:4:1:2:1:2:1,12:3:1,15:1,1:2:1
Number of genotypes found in F2 progeny of a hybrid cross is,9,6,3,12
"For the dihybrid cross, there are",2 allele and 4 character,1 allele and 2 character,2 allele and 1 character,4 allele and 2 character
The number of genotypes in a monohybrid cross is,3,1,2,4
