question,answer,wrong1,wrong2,wrong3
1. WHO IS THE FOUNDER OF RASASHASTRA?,A. NAGRAJUNA,B. DEVDAS,C. BHAVA PRAKASH,D. NONE
2. MUSA IS IMPORTANT INSTRUMENT USED TO,A. RASASHASTRA,B. SURGERY,C. BOTH,D. NONE
3. THE FOUR MAIN IMPORTANT FACTORS DURING PREPRATION OF MEDICINE ARE,"C. MUSA, AGNI, PUTA, YANTRAS","A. MUSA, AGNI, VAYU, YANTRAS",B. AGNI ANTRAS,D. ALL
"4. RASARAJA, MAHARAASA, RASEDNRA,, SUTA ARE THE SYNONYMS OF.........",A. PARADA (MERCURY),B. RAJATA,C. GOLD,D. SILAJEET
5. THE PREPRATION OF MERCURY IS,D. ALL,A. RASA SINDUR,B. MAKARDHAWJA,C. PARPATI RASA
6. THE NATURAL REJUVINATING ELEMENT IS,A. VANGA,B. SILAJEET,C. PARADE,D. ALL
7. A KIND OF GELATINOUS SUBSTANCE SECRETED FROM INSIDE OF MOUNTAIN IS,B. SILAJEET,A. PARAD,C. RATNA,D. BOTH A AND B
8. PUNARNAVADHI MANDUR IS USED IN,B. ANNAEMIA,A. JAUNDICE,C. ASTHMA,D. BOTH A AND B
9. THE PREPARED KWATH CAN BE USED UPTO...........,B. 12 hours,A. 10 hours,C. 24  hours,D. 48  hours
10 THE BEST LOHA IS,C. KANTA LOHA,A. KRISHNA LOHA,B. TIKSHNA LOHA,D. NONE
11. THE DOSE OF SILAJEET,B. 2-8 RATI,A. 1-2  RATI,C. 1/2 RATI,D. 10 RATI
12. THE OXIDE OF MICA WHICH IS USEFUL IN OXIDATION OF METALS IN AYURVEDIC PHARMACEUTICAL PROCESS IS,C. ABHRAKA VASMA,A. SILAJEET,B. GOLD,D. ALL
"13. THE LEAD, COPPER, SILVER, GOLD AND IRON ARE INCLUDE IN",C. DHATUS,A. BHASMA,B. RATNA,D. ALL
"14. A KIND OF POISONOUS PLANT USED IN AYURVEDA IS,",D. VATSANAVA (AMRITA),A. AMALA,B. HARRO,C. BARRO
"15. AVIPATTIKAR PREPRATION PREPARED BY GRINDING THE FRESH VEGETABLE AND EXPRESSING THE JUICE BY A TLOTH IS,",B. SWORASHA,A. CHURNA,C. AVALEXA,D. ALL
17. SUGAR IS AS A MEDIUM IN PREPRATION OF,A. AVALEHA,B. KSHIRAPAKA,C. KALKA,D. ALL
18. MEDICINE PREPARED BY SUBLIMATION IS............,D. KUPIPAKWA RASAYANA,A. PARPATI,B. BHASMA,C. ARISTA
"19. FOR HOMEOSTASIS, THE USEFUL DRUG IN AYURVEDA IS",C. PURE ALUM (FITKARI),A. AMALA,B. SILAJEET,D. NONE
"20. 1 PART OF DRUG, 8 PART OF MILK AND 32 PART OF WATER ARE MIXED, BOILED AND REDUCED TO 8 PARTS, THE PREPARATION IS",A. AVALEHA,B. GHRITA,C. VATI,D. KSHIRA PAKA
