question,answer,wrong1,wrong2,wrong3
What is the angle of incident of prism of angle 60° and which has refractive index (2)^1/2 for which it gives minimum deviation?,45°,60°,90°,30°
A small angle prism deviates a narrow beam of light by 1.3°. The refractive index is 1.62 and the angle of prism in degree is,2,1.7,1.8,1.9
Light passing from air to glas at an angle of incidence 60° is deviated to 15. What is the refractive index?,1.22,1.33,1.5,1.47
An equilateral prism having angle 60° has refractive index (2)^1/2 . What at is the angle of incident for minimum angle of deviation?,45°,75°,0°,60°
The angle of deviation produced by a small angle prism of angle A and refractive index µ is equal to,A(µ-1),µ(A-1),A(µ+1),µ(A+1)
"An achromatic doublet is constructed by lenses of crown glass and flint glass of depersive powers 0.02 and 0.03. If the focal length of the crown glass is 20cm, the focal length of the doublet becomes",-60cm,-30cm,12cm,-12cm
"In a right angled isosceles prism when the light falls from flat surface and for total internal reflection to takes place in the second face, the minimum refractive index of the prism is",1.41 (2^1/2),1.34,1.55,1.66
The principle of which of the following is based on deviation without dispersion?,Achromatic doublet,Chromatic doublet,Spectrometer,Direct vision spectroscope
"For a minimum deviation inside the prism, the angle of emergence should be equal to",angle of incidence,angle of prism,angle of refraction,angle of deviation
The power produced by a prism of small angle A,depends on material of pirsm only,depends on A only,depends both on material and A,Depends neither on material nor on A
"A impure spectrum of Green , Blue, Orange and yellow is observed on a screen when light passes through a transparent prism. The  refractive index of the prism with respect to the colours will be maximum for",blue,green,yellow,orange
To make an achromatic combination a convex lens of focal length 42cm having dispersive power 0.14 is placed in contact with a concave lens of dispersive power 0.21. The length of the concave lens should be,63cm,14cm,21cm,42cm
"In the sun's spectrum, there are several visible & invisible spectrum. If blue & green lights are passed through a transparent prism, then deviation of green light will be",smaller than that of blue light,equal so that they will from achromatic condition,greater than that of blue light,can't be predicted
"In a right angled glass prism , light is normally incident through smaller face , then deviation is",90°,45°,30°,60°
Chromatic aberration is due to,dispersion,deviation,interference,diffraction
Angle of deviation when passing through a prism is greatest for light :,violet,red,blue,yellow
"In an equilateral prism, if angle of incidence equals to angle of emergence and the angle of incidence is 3/4th of the angle of prism ,Then find the angle of deviation produced",30°,60°,90°,120°
An achromatic lens forms an image of white objecct. The colour of image seen will be,white,black,green,yellow
A yellow object under a blue light appears as,Black,White,Green,Red
A prism of refracting angle 60° produces an minimum deviation of 30°. Then the angle of incidence is,45°,30°,60°,90°
A prism can produce a minimum deviation of § in a light beam . If three such prisms are combined the minimum deviation that can be produced in this beam is,§,0,2§,3§
"The cover of a book appears black when seen through a piece of red glass, then the cover may be of",green color,red color,white color,red or white
A red postage stamp is viewed in yellow light . It appears,black,light grey,orange,green
A blue object on a white background when seen through a blue filter wil,becomes invisible,appear blue on white background,appear black on a blue background,appear blue on a red background
A piece of red glass is heated till it glows in dark. The color of the glowing piece will be,orange,red,green,violet
"From two projectors, beams of red light and green light are sent on the same spot of the screen . The screen will look",yellow,white,red,green
For which of the following the dispersive power is zero?,none of the above,lens,prism,glass slab
Dispersion for a medium of wavelength λ is D. Then the dispersion for the wavelength 2λ will be,D/4,D/8,D/2,D
"White light is passed through a prism of angle 5°.If the refractive indices for the red and blue colours are 1.641 and 1.659 respectively, what is the angle of dispersion between them?",0.09°,2°,5°,0.9°
A thin prism P1 with angle 4° and made from glass of refractive index 1.54 is combined with another prism P2 made from glass of refractive index 1.72 to produce dispersion without deviation. The angle of prism P2 is,3°,5.33°,4°,2.6
"The difference in deviation produced by violet and red rays is 2°. The deviation produced by the mean ray is 48°, Then dispersive power and deviation produced by violet and red rays are","1/24, 43 , 47","1/24 , 48 , 46","1/24 , 50 ,54","1/24 , 52 , 50"
White light is passing through a prism of angle 5°. The refractive index of red and blue rays are 1.64 and 1.66 respectively . then the angle of dispersion in between red and blue rays is,0.10°,0.20°,0.30°,0.40°
A glass prism deviates red  and blue rays through 10° and 12° respectively. A second prism of equal angle deviates them through 8° and 10° respectively. Then the ratio of their dispersive power,9:11,11:9,3:2,1:1
Find the angle of prism of dispersive power 0.021 and refractive index 1.52 to form an achromatic combination of a prism of 4.2° dispersive power 0.045 and refractive index 1.65,11.25°,10.25°,13.25°,14.25°
"A prism of angle 11.25°, dispersive power 0.21 and refractive index 1.52 to form an achromatic combination of a prism of angle 4.2°, dispersive power 0.045 and refractive index 1.265. Then the resultant deviation is",3.12,1.62,5.85,8.58
"The difference between angle of minimum deviation for violet and red rays in the spectrum of white light from a prism is 2°. If the angle of minimum deviation of the mean ray is 48°, the dispersive power of the material of the prism is",0.0416,24°,48°,0.0832
"A source emits light of wavelengths 4700Å, 5400Å, and 6500Å. The light passes through red glass before being tested by a spectrometer. Which wavelength is seen in the septrum ?",6500Å,5400Å,4700Å,All of the above
"If angle of prism is 60° and angle of minimum deviation is 40°, then angle of refraction will be",30°,60°,100°,120°
The angle of prism is A and the minimum deviation is (180° -2A).Then the refractive index of the material of the prism is :,cot(A/2),sin(A/2),cos(A/2),tan(A/2)
"The angle of prism is 6° and its refractive index for green light is 1.5. If a green ray passes through it, the deviation will be",3°,30°,15°,9°
The ray of light suffers minimum deviation through an equilateral prism of refractive index (2)^1/2. The minimum deviation will be :,30°,45°,60°,90°
An equilateral prism has refractive index (2)^1/2. The angle of incidence which gives minimum deviation is,45°,60°,90°,30°
A ray of light is incident at an angle of 60° on one face of a prism which has an angle of 30°. The ray emerging out of the prism makes an angle of 30° with incident ray. The refractive index of the material of prism is,(3)^1/2,(2)^1/2,1.5,1.6
A ray of light is incident at an angle of 60° on one face of a prism which has an angle of 30°. The ray emerging out of the prism makes an angle of 30° with incident ray. The refractive index of the material of prism is,(3)^1/2,(2)^1/2,1.5,1.6
A ray of light passes through an equilateral prism such that the angle of incidence is equal to the angle of the emergence and latter is equal to 3/4th of the angle of prism. The angle of deviation is,30°,45°,39°,20°
A thin prism of glass is placed in air and water successfully. If aµg = 3/2 and aµw =4/3 then the deviation produced by the prism for small angle of incidence when placed in air and water is in the ratio of :,4:1,9:8,4:3,3:4
The angle of a prism is 30°. The rays incident at 60° at one refracting face suffers a deviation of 30°.Then the angle of emergence is:,0°,30°,60°,90°
"Aray of monochromatic light is incident on one refracting face of a prism of angle 75°. It passes through the prism and is incident on the other face at critical angle. If the refractive index of the material of the prism is (2)^1/2 , the angle of incidence on the first face of the prism is:",45°,30°,60°,0°
"A ray is incident at an angle of incidence 'i' on one surface of a prism of small angleA and emerges normally from the opposite surface.If the refractive index of the material of the prism is µ, the angle of incidence i is nearly equal to",µA,A/µ,A/2µ,µA/2
The angle of prism is 60°.  What is the angle of incidence for minimum deviation if the refractive index of the material of the prism is (2)^1/2 .,45°,60°,30°,sin^1 (2/3)
