question,answer,wrong1,wrong2,wrong3
Ostwald's process is used for the manufacture of,Nitric acid,Ammonia,Sulphuric acid,Milk of Sulphur
The coloured gas is,NO2,N2O,NO,N2O4
Mixed anhydride of HNO3 and HNO2 is,NO2,N2O,NO,N2O3
The element of group VA are generally known as,Picogens,Normal element,Transition element,Halogens
Ammonia is dried by passing over,CaO,Ca(OH)2,CaCl2,P2O7
"The brown ring test, during qualitative analysis is performed to detect",Nitrate,Bromide,Sulphate,Nitrite
"The reaction  P+ conc, HNO3 would yield",H2PO4,P2O5,H3PO3,H4P2O7
Nitrogen dioxide can not be obtained by heating,NaNO3,LiNO3,Pb(NO3)2,Cu(NO3)2
Which of the following is most reactive?,White P,Red P,Violet P,Black P
In which of the following compound nitrogen have -1 oxidation state,NH2OH,NH3,N2,N2O
Which of the following compound give clear colored solution in excess of ammonium hydroxide?,Cu++,Fe+++,Al+++,Mg++
Oxidation number of Nitrogen ranges from,-3 to +5,-3 to -5,+3 to -5,+1 to -3
By excessive heating of NH4CNS.................. is obtained.,Thiourea,Urea,Ether,Ammonium cyanide
NH3 is absorbed by,Conc. H2SO4,FeSO4 solution,Turpentine solution,Glacial acetic acid
"When Cu react with Conc. HNO3, then the brown gas evolved is",NO2,N2O,NO,NO3
In diamond carbon atom has....... hybridization,sp3,sp2,sp,dsp2
Aqua regia is a mixture of,3HCl+1HNO3,1HCl+3HNO3,3HNO3+1H2SO4,3H2SO4+1HNO3
Phosphorous is,Tetra-atomic,Monoatomic,Diatomic,Triatomic
Which one of the following is the strongest reducing agent?,SbH3,NH3,PH3,AsH3
Structure of ammonia is,Pyramidal,Tetrahedral,Coplanar,Trigonal
H2 is evolved by the action of cold and dil. HNO3 on,Mn,Fe,Cu,Al
Which one of the allotrope of the phosphorus doesn't exist,Green,Red,yellow,Black
When white phosphorous reacts with caustic soda to produce PH3 and NaH2PO2 the reaction is an example of,Oxidation-Reduction,Oxidation,Reduction,Neutralization
Which of the following allotrope of phosphorus shows phosphorescence,White Phosphorous,Black Phosphorus,Red Phosphorus,Green Phosphorus
When NH3 gas is passed into mercurous nitrate solution:,Black color of Hg(NH2)NO3 and Hg is formed,Black color of Hg (NH2)NO3 is formed,Reddish brown of HgO.NH2 is formed,Black color of Hg (NH2) NO3 is formed
Which is ued in dynamite blasting process?,Nitroglycerine,Nitrophenol,TNT,Phenol
The Nessler's reagent used to indentify:,NH4+,K+,Pb2+,Hg2+
The N2 gas is collected by:,Downward displacement of water,Upward displacement of air,Downward displacement of air,Upward displacement of water
"Zn reacts with potassium nitrate in alkaline medium, the compound formed is:",NH3,N2,N2O,NO
Which one of the following processes is the extension of the Haber's process used for the preparation of HNO3 in a large scale?,Ostwald process,Birkland nd Eyd's process,Deacon's process,Contact process
Which of the following is insoluble in NH4OH?,AgBr,AgF,AgCl,AgI
"When zinc is treated with cold, very dilute HNO3 we obtain:",NH4NO3,NO,NO2,N2O
Acidic hydride of nitrogen is:,N3H,NH3,N2H4,N2H2
Which would you expect to produce as a result your boiling a solution of NH4Cl and NaNO2?,N2,N2O,NO2,NH3+NaCl+H2O
Ammonia is absorbed by:,FeSo4 solution,Turpentine solution,Conc.H2SO4,Acetic acid
The bond present in N2O5 are:,Covalent and dative,Only ionic,Only covalent,Covalent and ionic
Calcium carbide on treating with Nitrogen forms:,Calcium cyan amide,Calcium oxalate,Calcium silicate,Urea
Metaphosphoric acid is:,HPO3,H4P2O7,H3PO3,H3PO4
