question,answer,wrong1,wrong2,wrong3
The wave nature if light:,None,Sound,Difficult,Polaris
A body of height 1 m stands infront of a concex mirror . His distance from the mirror is equal to its focal length. The height of the image is,0.5m,0.25m,0.33m,1.22m
"For real object, convex mirror forms",Virtual errect image,Real errecr image,Real inverted image,Virtual inverted image
"A short linear object of length h is placed along the axis of concave mirror. The distance of object from the pole of concave mirror is u, then the size of image is eqaul to",(f/u-f)^2,(f/u-f),(u-f/f),h(u-f/f)^2
"If the object is real , a concex mirror always forms",Virtual and erect image,Real and inverted image,Real and errect image,Virtual and inverted image
Focal length of convex mirror is 45 cm . If the image is 5 times magnified. Then the object distance will be,36cm,30cm,40cm,50cm
"If the biconvex mirror is silvered on one side, then is will behave as",Concave mirror,Convex mirror,Plane mirror,Converging mirror
Rays of a light strike a horizontal plane mirror at an angle of 45°. A second plane mirror is arranged at an angle theta  with it . If the ray after reflection from the second mirror runs horizontally plane to the first mirror then theta is,67°,45°,60°,135°
"An ant  moves towards the plane mirror with speed of 2m/s and the mirror is moved towards the end with the same speed ,what is the Relative velocity between the ant and its image?",8 m/s,2 m/s,4 m/s,16 m/s
Ram stood between mirrors kept parallel to each other with their reflecting surfaces facing each other then his images will be theoretically equal to,Infinity,2,4,16
Theoretically the number of images formed between two parallel mirrors is,Infinity,4,16,2
The image of virtual object produced by a convex mirror is,Real,Inverted,Diminished,Virtual
The plane mirror is rotated by an angle theta .The change in the deviation of a ray produced by the mirror is,2 theta,Theta,3 theta,4 theta
Power of a plane mirror in diopter is,0,+1,-1,Infinity
"An errect  object of size 1M is placed in front of a concave mirror at infinity , the size of the image formed will be",A point image of no definite size,Of the same size  as the object,Half of the size of the object,Two times the size of the object
"The focal length of a convex mirror is 30 cm. If the point object is kept 30 cm from the pole, the image will be formed at",15 cm behind a meter,Infinity,At f/2,15 cm in front of the meter
"An ant moves towards the plane mirror with the speed of 2m/s and the plane mirror is move towards the  ant  with the same speed ,what is the relative velocity between the ant  and its image?",8 m/s,2 m/s,4 m/s,10 m/s
"The inclined plane mirrors inclined at 90°, the number of Image formed is",Three,One,Two,Four
"2 mirrors are placed at some angle . A ray of light falls at an angle of incidence 60° on one mirror and reflected ray from other mirror retraces it's path , the angle between the mirror is",60°,30°,90°,45°
Which of the following  will give parallel beam of light of a point source.,Concave mirror,Convex mirror,Convex lens,Two plane mirror incline 90°
The image of an object placed between pole  and the focus of a concave mirror will be,Virtual and magnified,Real and magnified,Real and diminished,Virtual and diminished
A concave mirror of focal length f forms double magnified Inverted image find the distance between object and the image.,3f/2,2f/3,2f,3f
The number of images when the object is placed between two mirrors making an angle 60° is,7,6,5,3
"2 mirrors are at 60°, the number of images formed is",5,6,7,8
The blue color of sea is due to,Reflection of light from seawater,Refraction of light from seawater,Diffraction  of light from the sea water,Refraction of light from the Seasalts
An object is placed at a distance twice the total length of concave mirror. The image formed is,Real inverted and of same size of object,Virtual and Inverted,Real and erect,Real inverted and diminished
A ray of light is incident on the plane mirror at rest. The mirror starts turning at a uniform acceleration of 2pi rad/s^2 . The reflected ray at the end of 1/4 s must have gone through,22.5°,90°,45°,11.25°
How many images of himself does an observer see if two adjacent wall and the ceiling of a rectangular room are mirror surfaced?,6,3,5,9
How many images of a pencil can be seen when it is placed between two plane mirrors  kept at angle of 60°?,Five only,Three only,Six only,Nine only
"In a shaving concave mirror ,the image formed is",Virtual erect and enlarged,Real inverted and enlarged,Real errect and diminished,Virtual inverted and enlarged
Which of the following form the virtual image for all the positions of the objects?,Convex mirror,Concave mirror,Both of these,Neither of these
If the plane mirror is made to move towards the lady looking at it her image moves,Towards the mirror at double the rate of mirror movement,Away from the mirror at the double the rate of mirror moment,Away from the mirror at the rate of mirror movement,Towards the mirror at the rate of mirror movement
Two parallel Mirrors A & B are placed  at a distance of 15 cm and an object is placed at 5 cm from A then at what distance from A will the image not be seen?,45,25,55,65
A concave mirror has radius of curvature 20 cm. An object is placed 10 cm from the pole of the mirror the image will be at,Infinity,10 cm from the pole on the same side,20 cm from the pole on the same side,Will not be formed
"If the focal length of concave mirror is 15 cm and an object is placed 40 cm from the pole of the mirror, if it is displaced by 20 cm towards the pole of  mirror then shift of the image is",36 cm  away from mirror,36 cm Towards mirror,24 cm away from the mirror,None
An object of focal length f/3 is placed along the axis of concave mirror or focal length f . Such  that it's image coincides with one of the side of object then the length of object is,f/2,f,f/3,f/4
A man is 180 cm tall and his eyes are 10 cm below the top of his head .In order to see his entire height right from the feet to the head he uses a plane mirror at a distance of 1 m from him. The minimum height of the plane mirror required is,90 cm,85 cm,170 cm,180 cm
"An object is placed at 20 cm from a convex mirror of focal length 10 cm ,the image formed by the mirror is",Virtual and at 20 /3 cm from the mirror,Real and at 20 cm from the mirror,Virtual and at 20 cm from the mirror,Real and at 20/3 cm from the mirror
When a mirror is rotated through an angle of 30° keeping incident rate constant then reflected ray is rotated through an angle,60°,25°,45°,90°
If the thickness of object is 2cm and reflective index is 1.5 what is the path difference?,0.001 m,0.003 m,0.004 m,0.002 m
Critical angle of diamond is,24°,18°,36°,48°
"The critical angle for a medium is given by theta , Then the angle subtended  by fish to see outward is",2 theta,Theta,Theta/2,Theta/3
The velocity of light in a glass of reflective index 1.5 is 2 x 10^8 m/s. The refractive index of liquid is,1.2,1.44,0.64,0.8
"A ray of light falls on the surface of a spherical  glass paper weight making an angle alpha  with the normal and is refracted  in the medium t at an angle Betta , the angle of deviation of the emergent ray from the direction of the incident ray is",2(alpha- betta),alpha- betta,1/2(alpha -betta),(Betta-alpha)
A diver in water at the depth 1 m sees the whole outside world horizontal circle  of radius ......when the reflective index is µ,1/√µ^2-1,1/µ-1,µ/√µ^2-1,1/µ
Diamond shines brightly in air than inside water because,Total internal reflection takes place in a air,Water absorbs light,Total internal reflection takes place in water,Water disperse light
Which of the following remains constant during refraction,Frequency,Velocity,Wave length,Amplitude
When light passes through glass slab,Wavelength decreases,Wavelength increases,Velocity increases,Frequency decreases
Critical angle has been chosen  for yellow color . The colour passing out as emergent ray is,Read yellow and orange,Yellow only,All the colors,Green violet indigo blue
An object looks red when seen through a red glass piece then the color of the object would be,Red or white,White only,Red only,None of the above
The shining  of diamond is due to,Total internal reflection,Diffraction,Polarization,Refraction
An air bubble was placed under water . It shines if there is,Total internal reflection,Diffraction,Interference,Dispersion
A microscope is focused on a coin in beaker with water then the coin is raised by 1 cm .Depth of the water to be poured in order to focus on it without moving the microscope is(meu=4/3),For,3 cm,5 cm,6 cm
Refractive index of a glass is a least for,Red,Violet,Indigo,Blue
"An object is placed at the bottom of 1 m deep tank tcontaining water , the height of the raised object seen directly downward from above is",0.23m,2.3 m,23 m,0.023 m
The refractive index is Maxximum for,Violet,Red,Green,Indigo
"What is critical angle of glass water interference?

(aμw=4/3 aμg = 1.5) then",62°,42°,45°,50°
Light passes from light to glass at an angle of incidence 60°is deviated to 15° . What is the Reflective index?,1.22,1.33,1.50,1.47
If the refractive infex of water is 4/3 and that of glass slab is 5/3 . What is the critical angle for a ray Of light tending to go from glass to water?,Sin^-1(4/5),Sin^-1(2/3),Sin^-1(3/4),Sin^-1(4/3)
A beam of monochromatic blue light of wavelength 420 nm in air travels in a water of refractive index 1.33 its wavelength in nanometers in water will be,315 nm,560 nm,400 nm,280 nm
The refractive index of glass is 1.6 and water is 1.33 then what is the critical angle for glass water interface,62.47°,54.6°,48°,56°
"The reflective index (μ)and wavelength(λ,)of a light when light passes from one medium to another medium is related as",μ drp λ^-2,μ Drp λ^-1,μ drp λ^-3,μ drp λ^-4
Light travels in an optical fiber in,Core,Jacket,Cladding,Core  cladding interface
"Monochromatic beam of light passes from denser medium to rarer-medium, as a result",It's speed increases,It's speed decreases,Its frequency increases,It's frequency decreases
A glass slab has thickness 6 mm and refractive  index is 1.5 calculate the time in nanosecond for an instant of light to pass through it,0.03,0.02,0.05,0.04
Critical angle is minimum for,Violet,Red,Blue,Yellow
"A light wave of wavelength 4500 A° enters a liquid of reflective index 1.5 , then the wave length of light in the medium in nanometer is",300,675,4500,350
"A ray of light passes from denser to rarer medium , the reflected ray is perpendicular to refracted ray . Find the critical angle if incidence angle = i and refracted angle =r.",Sin^-1(cot r),Sin^-1(tan r),Sin^-1(cos r),Sin^-1(tan i)
A monochromatic beam of light of wavelength 600 nm in air enters a medium of reflective index 1.5 it's wave length in the medium will be,400 nm,600 nm,450 nm,900 nm
"A monochromatic beam of light of wavelength 450 nm in air enters a medium of reflective index 1.5 ,its wave length in the medium is",300 nm,450 nm,6000 nm,600 nm
"If monochromatic light of wavelength 6000 A°enters a vacuum to a medium of reflective index 1.5 ,it's new wave length in the medium is",4000A°,6000 A°,7500 A°,9000A°
A person inside water can see the sun setting at an angle of,49°,41°,60°,90°
Which of the following is not an example of total internal reflection,Dispersion of light,Optical fiber,Mirage formation,Glowing of diamond
Every day sunrise  two minutes earlier and sets two minutes late because of,Refraction,Reflection,Total internal reflection,Diffraction
Rainbow are formed due to,Both refraction and total internal reflection,Reflection,Refraction,Diffraction
"A microscope is focused on a dot ,when a slab of refractive index 3/2 and thickness 3 cm is kept above dot .How should the position of microscope is changed to mark the dot again?",1 cm downward,1 cm upward,2 cm upward,2 cm downward
Optical fiber is based upon the principle of,Total internal reflection,Reflection,Refraction,None
"Light from a luminous point source placed on a lower phase of rectangular glass slab 2 cm thick strikes the upper face and totally reflected rays outline of circle of radius 3.2 cm on the lower surface, the refractive index of the glass will be",1.6,1.5,1.8,2
The refractive index is,Inversely proportional to the square of wave length,Directly proportional to wave length,Inversely proportional to Wavelength,Directly proportional to the fourth power of wave length
When light passes from air medium to a glass medium which remains constant,Frequency,Wave length,velocity,None
Looming occurs due to,Mirage,Interference,Diffraction,Photoelectric effect
"To a bird flying in the sky  a fish in water appears to be at 30 cm from the surface ,if refractive index of water with respect to air= 4/3  then the real distance of bird from the water surface is",40 cm,30 cm,22.5 cm,60 cm
"A light of intensity Io passes through a material of thickness d ,the resultant intensity is",I =Ioe^-d(lambda),I =Io(1-e^-d(lambda)),I =Ioe^-d/lambda,I =Io(1- e^-d/(lambda))
A plane glass slab is placed on the letters of different colors.  The letters of which color are raised by maximum amount,Blue,Green,Yellow,Red
What is the order of diameter of optical fiber,10^-6 m,10^-3 m,10^-4 m,10^-5 m
Total internal reflection,Is observed when light is passing from more denser to the less denser medium,Occurs when the incident angle is less than critical angle,Is a misnomer as some light get refracted,Achieved using Silver  slab of glass is better than using a prism in a periscope
Common between laws of reflection and refraction,All constants lie on the same plane,visibility of non-luminous body,Images is inverted,Media factor constant
Visibility of sun to us before actual sunrise and after actual sunset is due to,Refraction,Reflection,Scattering,Diffraction
When light passes from air to water then the angle of refraction,Is less than the angle of incidence,Is greater than the angle of incidence,Equal to the angle of incidence,Twice the angle of incidence
Light from vacuum enter to medium of refractive  index 1.5 if it crosses it within a nanosecond the thickness of the medium is,20 cm,10 cm,40 cm,70 cm
Total internal reflection occur if light passes from,Glass to water,Air to water,Water to glass,Air to water
When the light passes from air to water which of the following will not change,Velocity and wavelength,Velocity and frequency,Frequency and wavelength,Colour and wave length
Total internal reflection occurs when the light passes from,Denser to rarer,Rarer to denser,The meu is same,None
Optical fiber is based on,Total internal reflection,Interference,Diffraction,Polarization
"A glass slab having  thickness t and refractive index (u) ,V Is the velocity of light in a glass lab and C is the velocity of light in a vacuum then find the time taken to pass the light through the glass slab",tu/c,t/c,tc/u,u/c
