question,answer,wrong1,wrong2,wrong3
The gas obtained by heating potassium ferrocyanide with conc. H₂SO. is,Carbon monoxide,Ammonia,Carbon dioxide,Sulphur dioxide
Freon is,\(CF_2Cl_2\),\(CH_2Cl_2\),\(CFCl_3\),\(CHCl_3\)
The glass used in optical instruments is,Flint,Silica,Pyrex,Soda
Which of the following is a good conductor of electricity?,Graphite,Plastic of sulphur,Silica,Diamond
Thermodynamically most stable form of carbon is,Graphite,Diamond,Lamp black,Coal
Elements of group 14,Exhibit oxidation state of +2 and,Exhibit oxidation state of +4,Form \(M^{2-}\) to \(M^{4+}\),From \(M^{2+}\)to \(M^{6+}\)
'DRIKOLD' a commercial preparation that sublimes without melting is formed from,Frozen dioxide of element from Gr. 14,Oxide of element from Gr. 13,Dioxide of element from Gr. 14,Frozen oxide of element from Gr. 13
Diamond and graphite are,Allotrops of carbon,Isomers of carbon,Isotopes of carbon,All of the above
Which of the following species form molecular structure?,Si,O,Na,Fe
A lump of coal burns slowly while coal dust burns explosively. This is because of the,Larger surface area of coal dust,A high mass of lump of coal,Lower ignition temperature of coal dust,Higher ignition temperature of coal dust
Glass is,Supercooled liquid,"Microcrystalline solid""",Gel,Polymeric mixture
Graphite is a good conductor of electricity,Due to the presence of free electrons,Because it is soft and lustrous,Because all C-C bonds get satisfied,Due to sp³ hybridization of C-C atoms
Semi water gas is,Co +\(H_2 + N_2\),Co + \(H_2\),Co + \(H_2 + CO_2\),\(CO_2 +N_2\)
Which statement explains why the element carbon forms many compounds?,Carbon rapidly forms covalent bonds with other carbon atoms,Carbon combines rapidly with oxygen,Carbon has high electronegativity,Carbon rapidly forms covalent bond
Carbon monoxide is,A neutral oxide,An acidic oxide,An amphoteric oxide,A basic oxide
Which of the following oxide can be reduced by carbon atom?,ZnO,\(Na_2O\),MgO,CaO
Diamond is an example of,Covalent crystal,Eléctrovalent crystal,Glass,Solid with hydrogen bonding
A crystal of graphite contains,Covalent and Vander waal's bond,Only covalent bond,Covalent and electrovalent bond,Only electrovalent bond
"The chloride of element 'X' neither reacts nor dissolves in water, which element could be",Carbon,Aluminum,Magnesium,Silicon
Carbon atoms are arranged in layers in,Graphite,Diamond,Coal,Lamp black
Phosgene is the name of,Carbonyl chloride,Phosphorus compound,A phosphonium compound,A phosphorus halide
Graphite conducts electricity due to,Delocalized electrons,sp² hybridized,Soft structure,Presence of hydrogen bond
Water gas is a mixture of,Co and \(H_2\),Co and \(Co_2\),\(CO_2 and H_2O\),CO and steam
"In lead pencil, the element used is",Carbon,Lead,Sulphur,Copper
Dry ice is related to,Carbon dioxide,Water,Sulphur dioxide,Carbon monoxide
The gas obtained by adding water on aluminium carbide is,Methane,Ethyne,Ethane,Ethene
Animal charcoal is obtained by,Destructive distillation,Fractional distillation,Fractional crystallization,Steam distillation
Tendency of catenation is highest for,Carbon,Silicon,Tin,Lead
The most abundant element on the earth's crust (by weight is),Si,Na,Al,O
The ability of a substance to assume two or more crystalline structures is called,Polymorphism,Isomerism,Isomorphism,Amorphism
Which one of the following exhibits inert pair effect?,Pb,B,Si,Al
Diamond and graphite are,allotropes,isomers,Isotopes,Polymers
Diamond is used in glass cutting due to its,hard nature,high refractive index,high m.pt.,high metallic bonding
The nature of chemical bonding in diamond is,covalent,ionic,co-ordinate,Metallic
Atomic orbitals of carbon involved in diamond structure are,\(Sp^3\) hybridized,sp-hybridized,\(Sp^2\)hybridized,\(Sp^3 d- \)hybridized
Which of the following is a conductor of electricity?,Graphite,Diamond,\(CO_2\),\(SiO_2\)
Which of the following is not an allotrope of carbon?,Carborundum,Graphite,Diamond,Soot
Most impure form of carbon is,wood charcoal,Animal charcoal,Lamp black,Graphite
Graphite is used in nuclear reactors,for reducing the velocity of neutrons,as a lubricant,as a fuel,for lining inside of the reactor as an insulator
"In graphite, the sheets are held by","van der Waal's forces""",Ionic forces,Covalent forces,Metallic forces
The purest form of coal is,anthracite,peat,bituminous,lignite
A gas which burns with blue flame is,\(N_2\),CO,\(O_2\),\(CO_2\)
Poisonous gas present in the exhaust fumes of car is,CO,\(CH_4\),\(C_2H_2\),\(CO_2\)
Living in the atmosphere of CO is dangerous because it,combines with haemoglobin of blood and makes it incapable to absorb oxygen,reduces organic matter of tissues,dries up the blood,combines with Oz present inside to form CO
An example of major air pollutant is,CO,\(O_2\),\(CO_2\),He
Identify the correct statement with respect to CO,it reacts with haemoglobin in red blood cells,it combines with water to give carbonic acid,it is used to prepare aerated drinks,it is a powerful oxidising agent
CO is a poisonous gas. Antidote for CO pisoning is,carbogen,Carborundum,carbonyl chloride,Pure \(CO_2\)
The dry ice is,solid carbon dioxide,solid ice without any water,solid sulphur dioxide,solid benzene
Dry powder extinguishers contain,sand and baking soda,sand,sand and \(Na_2CO_3\),sand and \(K_2CO_3\)
