question,answer,wrong1,wrong2,wrong3
1. CORNEA CONSIST OF............LAYERS?,6,4,5,7
2. TOTAL REFRACTIVE POWER OF CORNEA IS,43 D,45 D,46 D,48 D
3. WHICH LAYER OF CORNEA DOES NOT REGENERATE,BOWMANS LAYER,EPITHELIAL LAYER,STROMA,DESCEMENTS LAYER
4. CORNEA GET INNERVATION FROM.............NERVE,5 th,4 th,3 rd,2 nd
5. WHICH OF THE FOLLOWING TECHNIQUE IS USED FOR MEASURING CENTRAL CORNEAL THICKNESS,PACHYMETRY,SPECULAR MICROSCOPY,TONOMETRY,ALL OF THE ABOVE
6. ENLARGEMENT OF CORNEA IS ...............,MEGALOCORNEA,MICRO CORNEA,MEGALOGLOBUS,KERATOCONUS
7. WHICH IS TRUE ABOVE CORNEA,REFRECTIVE INDEX 1.376,SPHERICAL STRUCTURE,POWER OF 48 D,MAJORITY OF REFRACTION OCCUR AT AIR-TEAR INTERFACE
"8. IRRESPECTIVE OF THE ETIOLOGY OF CORNEAL ULCER, THE DRUG ALWAYS INDICATED IN",ATROPINE,CORTICOSTEROID,ANTIBIOTIC,ANTIFUNGAL
9. FLEISCHER RING IS FOUND IN,KERATOCONUS,CHALCOSIS,BUTHALAMOS,ARGYROSIS
10. IMMUNE RING IN THE CORNEA IA A FEATURE OF,FUNGAL CORNEAL ULCER,BACTERIAL CORNEAL ULCER,RING ULCER OF CORNEA,DISCIFORM KERATITIS
11. cornea COVERS............ PART OF THE EYEBALL,A. ONE SIXTH,B. TWO SIXTH,C. FOUR SIXTH,D. FIVE SIXTH
12. ENDOTHELIAL DENSITY IN YOUNG ADULT IS,C. 3000 cell/ m2,A. 4500 cell/ m2,b. 4000cell/ m2,d. 2000 cell/ m2
12. ENDOTHELIAL DENSITY IN YOUNG ADULT IS,C. 3000 cell/ m2,A. 4500 cell/ m2,b. 4000cell/ m2,d. 2000 cell/ m2
13. corneal stroma is .......... in nature,A. HYDROPHILLIC,B. LIPOPHILLIC,C. BOTH,D. NONE
14. THICKNESS OF CORNEA AT CENTRE............,A. 0.52 mm,b. 0.67 mm,c. 0.60 mm,d. 0.82 mm
15. which device is used for endothelium density count?,B. SPECULAR MICROSCOPIC,A. TONOMETER,C. PACHYMETER,D. AUTO REFRACTOMETER
16. ALL ARE THE TRUE ABOUT CORNEAL TRANSPARENCY EXCEPT,B. HYPERCELLULAR STROMA,A. REGULAR ARRANGEMENT OF CORNEAL LAMELLAE,C. ABSENCE OF BLOOD VESSELS.,D. ALL OF THE ABOVE
17. WHICH OF THE FOLLOWING ORGANSM CAN PENETRATE INTACT EPITHELIUM,D. BOTH B AND C,A. STAPH. AUREUS,B. NEISSERIA GONARRHOAE,C. CORYNEBACTERIUM DIPHTHERIA
19. CORNEAL SENSATION ARE DIMINISHED IN............,B. HERPES SIMPLEX KERATITIS,A. CONJUNCTIVITIES,C. MARGINAL KERATITIS,D. ALL OF THE ABOVE
20. THE SURE DIAGNOSTIC SIGN OF CORNEAL ULCER IS,C. POSITIVE FLUORESCEIN TEST,A. CILIARY INJUNCTION,B. BLEPHAROSPASM,D. MIOSIS
21. THE COLOUR OF FLUORESCEINE STAINING IN CORNEAL ULCER IS,B. GREEN,A. YELLOW,C. BLUE,ROYAL BLUE
