question,answer,wrong1,wrong2,wrong3
"1. On centigrade scale, the temperature of a body increases by 30 degrees. the increase in temperature on Fahrenheit scale is",d. 54º,a. 50 º,b. 40º,c. 30º
"2. A solid ball of metal has a concentric spherical cavity within it, if the ball is heated, the volume of caity  will",a. increase,b. decrease,c. remain unffected,d. none of these
"3. water fall from a height of 210m. Assuming whole of energy due to fall is converted into heat, the rise is temperature of water would be (J=4.3 joul/cal)",c. 0.49ºC,a. 42ºc,b. 49ºC,d. 4.9ºC
4. Two vessels of different matrials are similar in size in every respect. The same quality of ice filled in them gets melted in 20 minutes and 30 minutes. the ratio of their thermal conductivities will be,a. 1.5,b. 1,c. 2/3,d. 4
"5. 110J of heat is added to a gaseous system, whose internal energy change is 40 J, then the amount of external work done is",b. 70J,a. 150J,c. 110J,d. 40J
"6. A tuning fork produces wave in a medium. if the temperature of the medium changes, then which of the following will change",c. Wavelength,a. Amplitude,b. Frequency,d. Time-period
7. A tube closed at one end and containing air is excited. it produces the fundeamental note of frequency 512 Hz. if the same tube is open at both the ends the fundamental frequency that can be produced is,a. 1024Hz,b. 512Hz,c. 256Hz,d. 128Hz
8. Image formed by convex mirror is,a. Virtual,b. real,c. Enlarged,d. Inverted
9. A tank is filled with benzene to a height of 120 mm. The apparant depth of a needle lying at a bottom of the tank is measured by a microscope to be 80 mm. The refractive idex of benzene is,a. 1.5,b. 2.5,c. 3.5,d. 4.5
"10  If the refractive index of a material of equilateral prism is root 3, then angle of minimum derivation of the prism is",c. 60º,a. 30º,b. 45º,d. 75º
11. Dispersive power depends upon,b. material of prism,a. The sharp of prism,c. angle of prism,d. height of prism
"12. On a rainy day, a smal oil film on water show brilliant colours. This is due to",b. Interference of light,a. Dispersion of light,c. Absorption of light,d. Scattering of light
12. The  condition for observing Fraunhoffer diffraction from a single slit is that the light wavefront incident on the slit should be,d. plane,a. Spherical,b. Cylindrical,e. elliptical
