question,answer,wrong1,wrong2,wrong3
Dimensional formula of angular momentum,M1 L2 T -1,b,c,d
Viscousity of air...................when heated,Increases,decrseas,constant,d
With increase in temperature young modulus ?,decrseas,increases,constant,same
The escape velocity of the earth is,11.2 km/s`,b,c,d
If the stone is projected making 50 degree with horizontal what will be the escape velocity?,a,b,c,d
"The external and and internal radius of a hollow cyclindr are measure to be(4.23±)cm and (3.89±,0.01)cm.The thickness of the wall of the cyclinder is","(0.34±,0.02)cm","(0.17±,0.02)cm","(0.34±,0.01)cm","(0.34±,0.01)cm"
At which height dose the body gravity changes to g/4.,h=r,h=2r,c,d
"If cohesive force is greater than adhesive force, then shape of meniscus will be:",Convex,Concave,Plane,None
For floating body to be in stable equilibrium:,Metacenter should lie above the C.G.,Metacenter should lie below the C.G.,Metacenter and C.G. should lie at the same height,Metacenter should lie above the center of buoyancy
The terminal velocity of an objcet immersed in liquid of density equal to its own is:,Zero,1,⏔,Very high
Two blocks each of mass M are resting on a frictionless inclined plane as shown in figure then:,The block A moves down the plane,The block B moves down the plane,Both the blocks remain at rest,Both the blocks move down the plane
