question,answer,wrong1,wrong2,wrong3
Number of milli moles of HCL required to neutralize 10 ml of 0.2 M Na2CO3 is,4.0 m Mole,2.0 m Mole,0.2 m Mole,0.4 m Mole
100 ml of 0.5 M H2SO4 solution and 0.1 litre of 1M HCL were mixed. The normality of resulting solution will be,1 N,1.5 N,0.75 N,2.0 N
Approximate atomic weight of an element is 26.54. If its equivalent weight is 9.12 then exact atomic weight of the element would be:,27.36,26.54,27,27.12
An antacid tablet containing 0.50g of NaHCO3 is disssolved in 250 ml of water. What is the molar concentration of NaHCO3 in the solution?,0.024 M,0.06 M,0.012 M,0.048 M
3.0 gm of metal is converted completely into its oxide. The weight of the oxide formed is 5.0 gm. The eq.wt of the metal is,12,18,24,36
"10 ml of 1M H2SO4 is divided to 250 ml, the strength of the diluted solution is",0.857 N,0.571 N,1.167 N,0.705 N
"10ml of 10M H2SO4 is divided to 250ml, the strength of the diluted solution is",0.80 N,0.40 N,1.0 N,0.60 N
3.0 gram of a metal oxide is converted completely into its chloride. The weight of the chloride formed is 5.0 gm. The equivalent weight of the metal is:,33.25,66.5,49.88,24.94
The molarity of a solution obtained by mixing 50ml of 24N sulphuric acid with 50ml of water is :,6 M,12 M,18 M,9 M
The normality of 7.3% solution HCL is,2.0 N,0.2 N,7.3 N,0.1 N
The normality of 1% solution of H2SO4 is nearly:,0.2 N,1.0 N,0.1 N,1.5 N
The pH of a mixture of 50.0 ml of 0.1 M solution of NaOH with 20.0 ml of a deci-normal solution of sulphuric acid is,12.6,1.3,10.4,8.6
The pH of a mixture of 50.0 ml of 0.1 M solution of NaOH with 20.0 ml of a deci-normal solution of sulphuric acid is,12.6,1.3,10.4,8.6
Mole fraction of a solute in a solution is ratio of:,No of moles of solute to the sum of the no of moles of solute & solvent,No of moles of solute to the no of moles of solvent,No of moles of solvent to the sum of the no of moles of solute and solvent,No of moles of solvent to the no of moles of solute
The weight of anhydrous sodium carbonate just enough to neutralize 100 ml of 0.1 M HCL will bw:,0.53 gm,1.06 gm,5.03 gm,10.6 gm
The amount of (COOH)2. 2H2O required to make 100 ml of decinormal solution is :,0.63 gm,12.6 gm,1.26 gm,6.3 gm
200ml of 0.2 M HCL is neutralized with 0.1N NaOH. Then during their half neutralization what will be the molarity of HCL?,0.05 M,"0,1 M",0.5 M,1 M
0.62 gm of Na2CO3.H2O is added to 100 ml of 0.1 N H2SO4. The resulting solution will be:,Neutral,Acidic,Basic,Will not be affected
The equivalent weight KMnO4 in acidic medium is :,M/5,M/2,M/3,M/4
Find the molarity of 10% NaOH solution,2.5,1.5,4.0,0.4
Number of moles of solute dissolved in 1 kg of solvent is called,Molality,Normality,Molarity,Molecularity
Which indicator is used to titrate strong acid against weak base?,Methyl orange,Phenolphthalein,Litmus solution,Universal solution
pH of pure water is 7.0. Which of the following when added to it will decrease the pH?,HNO3,NaCL,NH4OH,KNO3
