question,answer,wrong1,wrong2,wrong3
During sun set and sun rise the appearance of light is due to,Scattering,Dispersion,C,D
Change in viscosity at high temperature,A,B,C,D
Quark combination of antineutron,A,B,C,D
Bohr model could not explain,Stark and zeeman,Atomic spectra,C,D
Web of spider shine due to,Interference,Diffraction,Refraction,Scattering
With the rise of temperature Young's modulus,Decreases,Increases,Dosenot change,Becomes zero
Min no of diode for full water rectifier,1,2,3,4
"Question to find beeta (given : Ic , Ie in common base emitter)",A,B,C,D
"In a common-base mode of a transistor, the collector current is 5.488 mA for an emitter current of 5.60 mA. The value of the base current amplification factor (β) will be",A,B,C,D
Stable type question of metacentre,A,B,C,D
A liquid has cohesive force greater than adhesive force.if water is filled in capillary tube the miniscus of water will be....,A,Bc,C,D
At what height g becomes g/4?,R/4,R/2,2R,R
Minimum diode used in full wave rectifier,A,B,C,D
The emf of a generator is 6V and internal resistance is 0.5kΩ. The reading of a voltmeter having an internal resistance of 2.5kΩ is,A,B,C,D
"""Red colour of rising and setting sun due to",Reflection,Reflection,Defraction,None
"""Sun seems red before and after sunrise and sunset respectively due to:",Diffraction,Refraction,Interference,Reflection
"Mass is in ratio 1:2 ,s in ratio 1:4 and q is same then ratio of dt",A,B,C,D
"""A liquid has cohesive force greater than adhesive force.if water is filled in capillary tube the miniscus of water will be....",Concave convex,B,C,D
Temp increase then viscosity ?,Decreases,Increases,C,D
"""Min no.of diode for full wave rectifier",A,B,C,D
The value of escape velocity on earth when the body is thrown making an angle of 45 degree with the horizontal is,A,B,C,D
Absorption spectrum is,White to green,White to yellow,C,D
Viscocity of hot air compare to cold air,More in cold air,More in hot air,C,D
The mass ratio of nucleus is 1:3 .find the ratio density of the nucleus?,A,B,C,D
atmospheric pressure at 100degree celcius,A,B,C,D
Temperature increase then elasticity,A,B,C,D
