question,answer,wrong1,wrong2,wrong3
which one is vertebrate?,Globefish,Cuttlefish,Devilfish,Crayfish
Eutherians are mammals that give birth to their babies. The distinguishing character of Eutherian from prototherian is,Placenta,Hair,Diaphgram,Pinna
Notochord is,Dorsal to the alimentary canal and ventral to the nerve cord,Dorsal to the alimentary canal and nerve cord,Ventral to the alimentary canal and nerve cord,Ventral to the alimentary canal and dorsal to the nerve cord
"In reptile, excretory and reproductive opening lead to",Urodaeum,Coprodaeum,Anus,Proctodaeum
Which own is the most important character of a mammal?,Diaphragm,Ovoviviparous,4-chambered heart,Kidney
Which is viviparous?,Shark,Platypus,Frog,All
"Rats, rabbits, and whales belong to the same group. which is the most common character among them?",Diaphragm,4-chambered heart,Book gills,Nucleated RBC
Which of the following character is not present in Agnatha:,Paired fin,Suctorial mouth,Horny teeth,Parasitic
Which of the following characteristics distinguishes eutherian mammals:,Presence of placenta,Presence of diaphragm,Presence of nipples,Presence of pharyngeal gills slits
Reproduction in prototherian mammals takes place by:,Oviparous,Viviparous,Ovo-viviparous,Vivi-oviparous
Which of the following characteristics distinguishes mammal's vertebrate,Amphiplaytan centrum,Transverse process,Long neural spins,Amphicoelus
Heart and flow of blood in chordate is:,Ventral side with dorsal and ventral blood vessel,Ventral side with a ventral nerve cord,Dorsal side with dorsal blood vessel,Dorsal side with dorsal and ventral blood vessel
Bat do not lose their way due to,Echolocation,Acute vision,Dark adaptation,Strong smell
"Similarly, between ostrich, penguin & Kiwi is:",Flightless bird,Large egg,Heavy wings,Marsupials
The sound box of the bird is called,Syrinx,Larynx,Pharynx,Thyroid
The unusual character of ascidian as chordate is...................,Both front and back flow of blood,Net like a nervous system,Anal canal opens into the siphon,Presence of two siphons
characteristics of a vertebrate,"Notochord, dorsal tubular nerve cord, Pharyngeal slits","Notochord, ventral heart, pharyngeal slits","Notochord, dorsal solid, nerve cord, pharyngeal slits","Notochord, ventral tubular nerve cord, pharyngeal slits"
The primary function of notochord:,Support,Respiration,Digestion,Circulation
The major support system of vertebrates is?,Living endoskeleton,Non-living endoskeleton,Non-living exoskeleton,Living exoskeleton
Ectoparasite of fish falls under,Monogenea,Turbellaria,Trematoda,Cestoda
What is common in man and earthworms?,Ureotelic,Ammobelic,Uricotelic,Nephrotelic
Which of the following differentiates birds and mammals?,7 cervical vertebrae,Metanephric kidney,1 aortic arch,Parental care
"In carnivores, which isn't found?",Salivary amylase,Trypsin,Pepsin,Lipase
Whale belongs to the order,Cetacea,Endentetae,Rodentia,Carnivora
Which of the following is cold-blooded?,Lizard,Cat,Ostrich,Pigeon
"In mammals, mammary glands are modified forms of;",Sweat glands,Sebaceous glands,Thymus gland,Meibomian glands
Tailed frog and Toad belongs to,Anura,Apoda,Parapsida,Urodela
The urinary bladder is absent in,Aves,Reptile,Frog,Mammals
The most distinguish feature of eutherian mammals is the presence of:,Placenta,Pinna,Hairs,Diaphragm
When lizards are threatened they can break off their talks and escape. This phenomenon is called,Autotomy,Fragmentation,Hypertomy,Hypotomy
"In viviparous animals, fertilization is:",Internal,External,External or Internal,Intra-ovarian
Animals (amphibians) without tall falls in:,Anura,Apoda,Urodela,None
Most primitive placental mammal is:,Shrew,Platypus,Bat,Mouse
Which of the following embryo has a parasitic mode of nutrition?,Mammalian embryo,Bird's embryo,Amphibian embryo,Reptilian embryo
In which of the following does the heart pump only deoxygenated blood?,Fish,Amphibian,Reptiles,Birds
Uric acid is the main nitrogenous waste product in,Birds,Fish,Amphibians,Mammals
The number of cervical vertebrae in Giraffe is,7,14,17,8
"When a bird is transferred from 30°C to 10ºC, its body temperature:",Is maintained at an original level due to increased conservation and production of heat,Is maintained at an original level due to increased dissipation of heat,Rises above normal level due to increased production and conservation of heat,Declines due to increased dissipation of heat
Choose the taxonomically matched group,"Rana, Bulfo, Salamandra","Shark, whale,sea-horse","Naja, Ornithorhynchus, Hyla","Icthyophis, Archaeopteryx, Peripatus"
Eutheria is characterized by,True placenta,Developed brain,12th thoracic vertebrae,Diaphragm
"In fishes, teeth are",Homodont,Heterodont,Acrodont,Diphyodont
"In aves, vertebrae are",Heterocoelous,Amphicoelous,Acoelous,Homocoelous
"In rabbits, 'Sinus venous is absent. It is incorporated into the",Right auricle,Left auricle,Left auricle,Right ventricle
Which own of the following is a fish?,Sea-horse,Starfish,Sea-urchin,Sea pen
Sound producing in a bird is called,Syrinx,Larynx,Pharynx,Trachea
A chordate may not have,Vertebral column,Notochord,Tubular nerve cord,Gills slits
Which of the following has a three-chambered heart?,Frog,Snake,Crocodile,Lizard
Whale belongs to the group of:,Cetacea,Edenatata,Carnivora,Rodentia
Fungus of snakes is developed on:,Maxillae,Squamosal,Mandible,Palatine
Electric ray is,Elasmobranch,Echinodermate,Teleost,Fresh-water fish
The muscular diaphragm is the distinctive character of,Mammals,Pisces,Reptiles,Aves
Which of the following is a cephalopod?,Cuttlefish,Starfish,Silverfish,Crayfish
Pinna is a characteristic of:,Mammals,Vertebrates,Invertebrates,Chordates
The distinguishing characteristic of the marsupial is the possession of,Pouch,Scaly tail,Diaphragm,Four chambered heart
Which of the following is true fish?,Sea horse,Sea cow,Sea cucumber,Starfish
Which is not a mammal?,Turtle,Rat,Whale,Monkey
The elastic cord present in chordates above the alimentary canal (embryonic stage),Notochord,Backbone,Vertebral column,Spinal cord
Which of the following is not a mammal?,Turtle,Whale,Rat,Bat
The essential features of most warm-blooded animals are:,Well-developed insulating system,Red blood cells,The embryo covered with zona pellucida,Four chambered heart
The flexible rod on the dorsal surface in a higher animals is called,Backbone,Vertebrae,Notochord,Spinal cord
Bone marrow is absent in:,Aves,Reptile,Mammals,Fishes
Which of the following produces an electric current upon disturbed?,Torpedo,Scoliodon,Lepidopseiren,Myxine
Prenumatic bone is present in:,Pigeon,Snake,Whale,Dolphin
Water current present in the gills of fish helps to,To get oxygen easily,Maintain water and circulation of blood in same direction,Balance homeostasis,Float easily
The excretion in birds and reptiles is,Uricotelic,Aminotelic,Ammonotelic,Ureotelic
Which of the following is chordate characters?,Post and tail,Dorsal tubular nerve cord,Ventral nerve cord,None
Green fish is,Pintus semifasciolatus,Siberian fish,Gobies fish,Stone fish
Piurodont dentition prsent in:,Whale,Lizard,Fishes,Snakes
Reptiles and birds are:,Uricotelic,Ureotelic,Uricotelic & Amonotelic,Ammonotelic
Air filled sac are absent in lungs of:,Pigeon,Peacock,Sparrow,Falcon
Which of the following is not a true fish?,Lung fish,Dog fish,Electric fish,Flying fish
Snake poison gland is modification of,Parotid,Sub-lingual salivary gland,Thyroid gland,None
Salamander is,Amphibian,Reptile,Mammal,Bird
Female of the following carries egg on her back,Midwife toad,Common indian frog,Surinam toad,Tree frog
The process of development in amphibian is:,Metamorphosis,Morphallaxis,Epimorphosis,Metapenisis
Long neck of camel is due to:,Increase in length of cervical vertebrae,Increse in no. of cervical vertebrae,Development in muscular pads between sucessive vertebrae,Development of extra-bony plate between sucessive vertebrae
Poison gland of snake is modification of:,Parotid gland,Ceruminous gland,Maxillary gland,Sub-lingual gland
Which of the following pairs have the same body plan and symmetry?,Cocroach and frog,Obelia and starfish,Hydra and earthworm,Pigeon and leucosolenia
All chordates have,Notochord,Cranium,Veryibral column,Spinal cord
Non-nucleated RBC is found in the class,Mammalia,Amphibia,Reptilian,Aves
True fish is,Dog fish,Star fish,Cuttle fish,Cray fish
Sound producing organ in birds is called:,Syrinx,Larynx,Pharynx,Trachea
A chordate may not have:,Vertebral column,Notochord,Tubular nerve cord,Gill slits
Classification of protozoa is on the basis of:,Locomotory organ,Contractile vacuole,Cilia,Nucleus
Sexual rerproduction in protozoans:,Sporogony,Anisogamy,Plasmogamy,Schizogony
The organism which is not blood parasite:,Trichinella,Plasmodium,Trypanosoma,L.donovani
Which of the following is intestinal parasite?,Entamoeba,Plasmodium,Trypanosoma,L.donovani
Which of the following parasite is transmitted through kissing?,Entamoeba gingivalis,Entamoeba histolytica,Ancylostoma,Ascaris
Which of the following shows dimorphism?,Leishmania,Paramecium,Hydra,Amoeba
Which of the following parasites lives inside the gut of its host?,Giardia lambia,Trichomonas vaginalis,Trypanosoma tenax,Tryapanosoma gambiensae
Which is not blood parasite?,Trypanosoma,Ancylostoma,Plasmodium,Schistosoma
Chickenguia fever is caused by,Aedes,Culex,Anopheles,Mansonia
Ootheca of cockroach is secreted by,Collateral glands,Vagina,Sepermatheca,Conglobate gland
Centrolecithal eggs are found in:,Cockroach,Rabbit,Frog,Parrot
Metamorphosis in insects is controlled by the hormone,Juvenile,Pheromones,Thyroxin,Ecdysone
Soider belongs to a class,Arachnida,Curstacae,Insecta,Arthropoda
Which one is a parasite and also a vector?,Flea,Plasmodium,Housefly,Slikworm
African sleepimg sickness disease is caused by:,Trypanosoma,Plasmodium,Leishmania,Trichomonas
The egg of a cockroach is,Centrolecithal,Isolecithal,Telolecithal,Microlecithal
Black water fever is caused by:,Protozoa,Porifera,Ascaris,Arthropoda
Classification of protozoa is based on:,Type of organ of locomotion,Mode of nutrition,Mode of reproduction,Typeof cellular structure
The head of a cockroach is formed by the fusion of,6 segments,4 segments,3 segments,7 segments
The carrier of Trypanosoma in man is:,Tse-Tse fly,Mosquito,Sandfly,Housefly
Haemocoei is found in,Insects,Arachnida,Crustacea,Mollusca
Protozoan class that does not carry its name after locomotory organ is:,Sporozoa,Flagellata,Rhizopoda,Ciliata
Pellicle is the covering of:,Euglena,Diatoms,Dinoflagellates,Amoeba
A vector as well as a parasite is:,Flea,Amoeba,Housefly,None of the above
Holozoic type of nutrition is found in:,Protozoa,Fungi,Dinoflagellates,Algae
The inoculation of Trypanosoma gambiense into the blood of vertebrate host is through the bite of:,Tse Tse fly,Bed bug,Reduvid Bug,Tabanid fly
In which of the following only oxygenated blood flows?,Prawns,Fishes,Reptile,Frog
Entamoeba histolytica is mainly transmitted by:,Housefly,Mosquito,Tse Tse fly,Sandfly
The tracheal system of respiration is found in:,Insects,Crayfish,Millipede,Spider
Antimony compound is needed in treatment of:,Kala-azar,Filaria,Sleeping sickness,Chaga's disease
Hemoglobin is not found in the blood of:,Cockroach,Frog,Rabbit,Earthworm
Amoebic dysentery is caused by:,Entamoeba histolytica,E.coli,E.gingivalis,Trypanosoma
Class of Protozoa that lacks locomotory organs is:,Sporozoa,Rhizopoda,Flagellata,Ciliata
Infective stage of Giardia lambia to human is:,Cyst,Egg,Trophozoite,Cell
The primary basis of Protozoa classification is the organelle of:,Locomotion,Excretion,Digestion,Nucleus
The pupa of a mosquito is called:,Tumbler,Maggot,Imago,Waggot
Lowest level of organization is:,Cellular level,Atomic,Molecular,Nucleic acids
Amoebic dysentary is caused by:,E.histolytica,E.coli,Giardia,E.gingivalis
Classification of protozoa is based on:,Locomotory organ,Mode of nutrition,Habit,Reproduction
The gland involved in the formation of thread in spiders is:,Spinnerets,Thymus gland,Cowper's gland,Coxal gland
Euglena belongs to the kindom of:,Protista,Monera,Plantae,Animalia
Kalazar is transmitted by:,Sandfly,Bedbug,Mosquito,Pediculus
Spider webs are webbed from the,Spinnerets,Mouth,Leg,Saliva
In which of the following is fission not a method of asexual reproduction?,All of the above reproduce by fission,Plasmodium,Amoeba,Paramecium
Green glands are found in,Crustaceans,Insects,Arachnids,Tadpole
Excretory product is terrestrial insects is:,Uric acid,Urea,Ammonia,Hippuric acid
Green glands are:,Organs of excretion in crustaceans,Organs of excretion in insects,Endocrine glands in arachnids,Parts of reproductive organs in tadpole
After copulation spermatic fluid from the spermatophore passes to which part of the female cockroach?,Spermatheca,Common oviduct,Vagina,Collateral gland
Arolium in cockroaches is found in:,Leg,Antennae,Wings and labium,Maxilae
Excretory organs in cockroach are:,Malpighian tubules,Flame cell,Nephridia,Nephron
The feature that distinguishes female cockroaches from male cockroaches is the absence of:,Anal styles,Anal cerci,Antennae,Eyes
Pseudopenis is found in the.............is the cockroach.,Left phallomere,Right phallomere,Ventral phallomere,None
The piercing elements in the mouth parts of female Anopheles are:,Maxillae and Mandibles,Labium and Mandibles,Labrum and Iabium,Labrum and Maxillae
The main excretory organ of a Cockroach is:,Malpighian tubules,Nephridia,Body surface,Uricose gland
Blood has no role in O2 transpiration in;,Cockroach,Earthworm,Man,None
Kalazar is transmitted by:,Sandfly,Leech,Housefly,Tse-Tse fly
The mouth part of a housefly is:,Sponging type,Sucking type,Siphoning type,None
Infective stage of Leishmania is:,Lesmanial,Leptomonas,Cystic,Trophozoite
