question,answer,wrong1,wrong2,wrong3
A thermometry reads the body temperature in Fahrenheit scale gives reading 140°F. What is reading in Celsius scale,60° C,140° C,95.6° C,75° C
The temperature of a body recorded by Celsius thermometer is -50°C It's temperature recorded by Kelvin scale is,223 K,323 K,23 K,- 50 K
The thermometer reads 1° ice is melt  and 99°C in boiling water then what is correct temperature when it reads 25°C,24.4° C,25.34° C,36.3° C,22.3° C
A faulty thermometer with lower fixed point upper fixed point 5°C and 95°C respectively. What is correct temperature when the reading gives 35,33.3° C.,60° C,40° C,205° C
"Gas thermometer at constant volume, gas is filled at",High temperature and low pressure,High pressure and low temperature.,Low temperature and low pressure.,High temperature and high pressure
Convert 98.4° F into degree Celsius,36.9° C,39° C,45°C,371.4° C
The common mercury thermometer can be used to measure temperatures  between....,-30°C to 357°C,-30°C to 100°C,0 to 200°C,-30°C to 200°C
40°C is equal to,104°F,102°F,100°F,106°F
The temperature of a body recorded by Celsius thermometer is -50°C. temperature recorded by Kelvin scale is,223 K,323 K,23 K,-50 K
The absolute zero temperature is,-273.16°C,-273°C,-273°K,273.14°C
Hail stones are produced by the:,Freezing of rain drops,Freezing of cloud,Freezing of water vapour,None of above
Mercury thermometer can be used to measure temperature up to:,360°C,100°C,260°C,500°C
69.8°F is equivalent to:,21°C,45°C,40°C,54°C
. The temp. at which centigrade and Fahrenheit scales give same reading is m,-40°c,40°C,40°R,40°F
"Two thermometers, one Celsius and the other Fahrenheit are put in hot bath.The reading on Fahrenheit thermometer is. three times the reading on Celsius thermometer. The temp. of the bath is",(80/3)°C,100°Ċ,80°C,70°C
"On which of the following scales of temp, the temperature is never negative",Kelvin,Celsius,Fahrenheit,Reumer
A Centigrade  and thermometers are dipped in boiling water. The water temp. is lowered until the Fahrenheit thermometer registers 140°F. The fall in temperature in Centigrade scale is,40°C,25°C,30°C,35°C
"The upper and lower fixed point of a thermometer are separated by 160mm. The length of mercury thread above the lower temperature is 40mm, Then the temperature at this point is",77°F,25°F,45°F,57°F
"A constant volume gas thermometer shows pressure reading of 50cm and 90cm of mercury at 0°C and 100°C respectively. When the pressure reading is 60cm of mercury, the temperature is",25°C,12°C,12.5°C,40°C
The resistance of a resistance thermometer has value 2.71 Ω and 3.7Ω at 10°C and 100°C. The temperature at which the resistance is 3.2Ω6 is,60°C,40°C,50°C,70°C
"The temperature coefficient of resistance of a wire is 0.00125 per deg C. At 300K, its resistance s 1 ohm. The resistance of the wire will be 2 ohms at",1127 K,1154 K,1100 K,1400 K
A faulty thermometer has its fixed points marked 5° and 95°. This thermometer reads the temperature of body as 59°. Then the correct temperature on the Celsius scale is,60°C,48.6°C,59°C,58°C
Two thermometers X and Y have ice points marked at 15°C and 25°C respectively and steam points marked at 75°C and 125°C respectively. If thermometer x measures the  temperature  of bath as 60°C then temperature measured by thermometer Y of same bath is,100°C,75°C,80°C,90°C
A faulty thermometer reads melting point of ice as -10°C. It reads 60°C in place of 50°C. What is the temperature of boiling point of water on this scale?,130°C,90°C,110°C,125°C
A thermocouple produces an emf of 40μV/°C in  linear a range of temperature. A galvanometer of resistance 10Ω and capable of detecting a current of 1μA is employed. What is the smallest temperature that can be detected by this arrangement?,0.25°C,0.15°C,0.20°C,0.40°C
The resistance of resistance thermometer has values 6.74 and 7.74 Ω at 0°C and 100°C. What is the resistance at 50°C,7.24 Ω,7.56 Ω,7.64 Ω,7.52 Ω
