question,answer,wrong1,wrong2,wrong3
Homologous chromosomes are dismiliar in,Alleles,Size,Position of chromosomes,No.of chromosomes
Which trait of garden pea studied by mendel was a recessive feature?,Green seed colour,Green pod colur,Round seed shape,Axial flower position
A woman whose father was haemophilic marries a normal amn resulting progeny will be,Some sons normal,All offspring normal,All daughter normal,All sons normal
Haemophilia is caused due to,X linked recessive,Y linked recessive,Y linked dominant,x-linked dominant
The genetic disorder in which oxygen carrying capacity of blood is reduced in indigenous people of Teral?,Sickle cell anemia,Phenylketonuria,Haemophilia,Leukemia
Father of blood group B has son with blood group O. What is the possible genotype of father?,[O]B,[O]o,[B]B,[A]B
Skin colour of human is:,Polygenic inheritance,Monogenic inheritance,Polyploidy,Complete dominance
Mongolism or Down's Syndrome is due to,Trisomy,Monosomy,Nullisomy,Tetrasomy
Alternative or contrasting characters are called,Alleles,Hemizygous,Homozygous,Heterozygous.
X linked genes is associted with,Diagenetic inheritence,Holandric inheritence,Blending inheritence,Pangenic inheritence
Down's syndrome is,Trisomy,Triploidy,Monosomy,Polyploidy
The superiority of hybrid over parent plant is,Heterosis,Hybridization,Fertilization,Dwarfism
Mendel's dihybrid cross ratio is:,9:3:3:1,1:2:1,15:1,
Carrier of genetic Information is:,DNA,ADP,ATP,tRNA
Co-Inheritance of gene in same chromosome is,Linkage,Crossing over,Epistasis,Allele
The synthesis ofRNA on DNA template is called,transcription,translation,transduction,transplantation
Mutation is essential for evolution because,It produces new variation,It causes recombination,It brings a balance in the environment,It stops the need for struggle for existence
Interchange of the parts of the chromatids of a pair of chromosome is known as,crossing over,gene mutation,linkage,dihybrid cross
If a tall with red slower Pisum sativum is crossed with dwarf plant with white flower. How many plant is are fall with white flower in F2 generation?,3,4,9,1
A curly haired mother and straight haired father give birth to 8 children. The ratio of the curly haired to the straight haired children is,6:2,2:6,5:3,3:5
"When a hybrid of F1 generation is crossed with the
homozygous recessive parents, it is called as:",test cross,monohybrid cross,Dihybrid cross,back cross
"if a colour-blind woman marries a normal man,their children will be:",carrier daughters and colour-blind sons,all colour-blind,normal sons and colour-blind daughter,carrier sons and colour-blind daughter
Telomere is a part of:,Chromosome,Cytoplasm,Nucleus,None
A girl with Turner's syndrome has,45X0,46XY,46XY,47XXY
Mendel was sucessful in formulating the laws of inheritance where as his predecessors were not because,All of the above,Of the right choice of material,﻿﻿﻿He considered one clear-cut character at a time,The characters be considered were present on separate chromosomes and showed no linkage
A colorblind women marries with a normal man the progeny will be,Half colorblind and half carrier,All colorblind,All carrier,All normal
".In Mendel's dihybrid cross, the ratio obtained in F generation is:",1:3:3:1,3:1,9:3:3:1,9:3:4
Mendelian recombination is due to,Independent assortment of genes,Linkage of genes,Mutation,Dominance
One of the examples of sex-linked trait is,Colour blindness,Sickle cell anemia,Typhoid,AIDS
Test cross is cross between,Cross between f1 hybrid and Recessive parent,Cross betweenf1 hybrid and dominant parent,Cross between f1 hybrid and any of the parent,Cros between F1 hybrid and F2 hybrid
Centromere is a part of,chromosome,centriole,Lysosome,Ribosome
Which one is sex linked disease?,Colour blindness,Anaemia,Albinism,Plague
What term is used to represent a pair of contrasting characters ?,allelomorphs,Heterogygous,Complementary genes,Genetic code
.What is the phenotypic proportion of dihybrid cross?,. 9:3:3:1,3:1,3:3:1,12:3:1
An exception of Mendel's law is:,Linkage,independent assortment,Law of dominance,Purity of gametes
Nucleolus in plant cell is involved in synthesis of,rRNA,DNA,mRNA,tRNA
".When a dihybrid ratio is obtained in a ratio of 1:4:6:4:1 instead of9:3:3:1, it represents",﻿﻿﻿Polygenic inheritance,Complementary genes,Supplementary genes,Pleiotropic genes
"When a cross in made between a red flower and white Mower of Mirabilis Jalapa, ratio of red, white and pink flower plants in F2 generation will be;",1:2:1,1:2:1,2:1:1,1:0:1
The genetic material in virus are,DNA or RNA,DNA,RNA,DNA and RNA
Sudden inheritable change in,Mutation,Linkage,Independent assortment of gene,Crossing over
The back cross is,Cross between F1 individual and one of the parents,"Cross between F1,individual and F2 individual",Cross between F1 individual and F1 individual,Cross between F2 individual and one of the parents
The phenomenon in which an allele of one gene suppresses the activity of allele of another gene is known as,Epistatis,Dominance,Recessive,Suppression
.When one gene controls number of phenotypic characters it is called,Pleiotropic gene,Cumulative gene,Supplementary gene,Complementary gene
"The segregation ratio in F2 generation for Mendel
Dihybrid cross is",9:3:3:1,3:1,1:2:1,12:3:1
"Pisum sativum, the plant which Gregor Mendel experimented upon belongs to the family.",leguminosae,cruciferee,solanaceae,compositae
Genetic material of a eukaryotic organism is,DNA,Protein,RNA,Lipid
"A cross between F1 hybrid and the recessive parent
is:",Test cross,Back cross,Monohybrid cross,Dihybrid cross
Theory of mutation is given by,Hugo de Vries,Haecke,Darwin,Lamarck
.Which is true about mutation?,Variation which leads to formation of new species,Decrease in number of species,Mutation is always beneficial,None
Gene mutation take place in:,DNA molecule,Mitochondria,Ribosomes,Chloroplast
"The hybrid obtained by crossing red flower and white flower is crossed with parent red flower.
Then the progeny will be",all red,all white,3 red and 1 white,2 red and 2 white
In F2 generation (Mendelian experiment) the phenotype dihybrid ratio is,9:3:3:1,9:3:3:4,9:3:2:1,1:2:1
