question,answer,wrong1,wrong2,wrong3
Which of the following compounds will consume alkali during kraft pulping?,Lignin,Hemicellulose,Extractives,Soluble carbohydrates
Which chemical is mostly used for chemical pulping?,Sodium hydroxide,Sodium nitrate,Potassium hydroxide,Calcium carbonate
Paper thickness is expressed in,micro meter,nm,Cm,m
Which part of cell wall has high concentration of lignin?,Middle lamellae,Outskirts of lamellae,Mitochondria,Pith
What are chemical elements present in wood?,"C,O,H,N","\(CO_2,O_2,N_2,H_2\)","\(CO_2,O_2,N_2,H\)","\(CO_2,O_2,N,H_2\)"
"........decreases strength of pulp yield, and are not ideal for dissolving pulp process",Hemicellulose,Terpene,Lignin,Microfibrils
Which is a complex polymer consisting of phenyl propane units & has an amorphous three dimensional structures?,Lignin,Extractives,Terpene,Hemicellulose
is a term utilized to explain uniformness of sheet structure & orientation of fibers,Formation,Watermark,Peckle,Cockle
"The.......... a device for continuously forming, pressing & drying a web of paper fibers.",Paper machine,Pulp extractor,Lignin formation,Jack machine
........... is width of paper on machine.,Trim,Flight,Formation,Watermark
The prime aim of chemical pulping is to remove,Lignin,hemicellulose,cellulose,carbohydrates
Paper is,Cellulosic compound,Lignocellulosic compound,Lignin compound,All of above
Which of following is known as white liquor?,Sodium hydroxide & sodium sulfide,Sodium hydroxide & sodium hydride,Sodium sulphite & sodium sulphate,Sodium hydroxide only
