question,answer,wrong1,wrong2,wrong3
Father of algae is:,Fritsch,Micheli,Bentham,Nageli
Algae is a group of plants:,Pioneers of the autotrophs,With no chloroplast,Less pronounced range of sexual reproduction,Very little range of vegetative reproduction
Algae are:,Chlorophyllous cryptogams,Non chlorophyllous cryptogams,Chlorophyllous phanerogams,None chlorophyllous phanerogams
Meiosis in thallophytes is:,Zygotic,Sporic,Gametic,None
"The non-motile, greatly thickened asexual spores are called:",Hypnospores,Aplanospores,Macrozoospores,Microzoospores
Chloroplasts of spirogyra are coiled:,Vertically and left handed,Vertically and right handed,Transversely and left handed,Transversely and right handed
Non-flagellated thin walled spores are termed as:,Aplanospores,Zygospores,Zoospores,Hypnospores
Reproduction in spirogyra is:,Both a and b,Asexual,Conjugation,None
Spirogyra is slippery in touch as:,It has sheath of pectose,It grows in water,Its cell wall is cellulosic,None
The sexual reproduction in spirogyra can be described as:,Morphological isogamy and physiological anisogamy,Morphologically anisogamy and physiologically isogamy,Morphological as well as physiological isogamy,Morphological as well as physiological anisogamy
Pyrenoids are:,Protein surrounded by starch grains,Starch surrounded by protein grain,Starch surrounded by oil droplets,Protein surrounded by oil droplets
Agar-Agar is obtained from:,All,Gelidium,Gracilaria,Pterocladia
The sexual reproduction in which cells of two different spirogyra filaments conjugate is known as:,Scalariform conjugation,Lateral conjugation,Parthenospory,Azygospory
Agar-Agar is obtained from:,All,Gelidium,Gracilaria,Pterocladia
Gametes of spirogyra are:,Aplonogametes,Planogamets,Biflagellated,Quadriflagellated
Ulothrix occurs in:,Slow flowing cold water,Warm stagnant water,Warm saline water,Slow flowing warm water
How many filaments of  spirogyra are formed from germination of zygospore?,1,3,4,2
The organ by which ulothrix is attached to its substratum is called:,Hold fast,Rhizoid,Trichome,Root
Red color of Algae is due to:,r-phycoerythrin,r-phycocyanin,Carotenoids,Xanthophylls
Filaments of Ulothrix are:,Unbranched,Branched,Brick-shaped,Girdle shaped
Gametes without cell wall called:,Gymnogametes,Meiogametes,Calyptogametes,Coenogametes
The chloroplast in Ulothrix:,"One, girdle shaped","Two, star shaped","Three, cups shaped",Many spiral shaped
A non-motile spore like male gamete is referred to as:,Spermatium,Antherozoid,Microgamete,Macrogametes
The macro zoospores of ulothrix are:,Quadriflagellated,Biciliated,Biflagellated,None
Synzoospore is found in:,Vaucheria,Oedogonium,Spirogyra,Ulva
The zoospores in ulothrix are liberated by the:,Formation of a pore in lateral wall,Degeneration of lateral walls,Gelatinization of lateral walls,Gelatinization of all the cell walls
Which algae is known as sea lettuce?,Ulva,Laminaria,Sargassum,Porphyra
Replicate  septum of spirogyra is characterized by;,A spiral outgrowth,Peg like protuberance,Ring like outgrowth,A perforation in the septa
Microzoospores in ulothrix are:,Biflagellate and quadriflagellate,Biflagellate only,Quadriflagellate only,Multiflagellate
Which of the following occurs both in fresh water and marine habitat?,Cladophora,Spirogyra,Riccia,Oedogonium
Irish moss (chondras) yields an important substance:,Caragheen,Agar-Agar,Alginate,All
Jewels of plant kingdom are:,Diatoms,Desmites,Bacteria,Dinoflagellates
Important antibiotic of lagal origin is:,Chlorellin,Griseofulvin,Streptomycin,All
Ground becomes slippery during rainy season because of:,BGA,Brown algae,Green algae,Mosses
Which of the following is a cryophytic algae?,All,Haemotococcus,Scorltiella,Chlamydomonas nivalis
Life cycle in chlamydomonas/ulothrix/spirogyra is:,Haplontic,Diplontic,Haplodiplontic,None
Which of the following is the largest algae?,Macrocystis,Fucus,Laminaria,Sargassum
Pyrenoids are found in algae in:,Chloroplast,Cytoplasm,Nucleus,Mitochondria
The algae causing Red snow ball in alpine region is:,Haemotococcus,Batrachospermum,Oscillatoria,All
Cap cells are a distinguishing feature of:,Oedogonium,Ulothrix,Spirogyra,Cladophora
"In the secretary cells of hydra, there is found a symbiotic algae, it is called:",Zoochlorella,Nostoc,Ulothrix,Spirogyra
Chloroplast of chlamydomonas is:,Cups shaped,Star shaped,Ribbon shaped,Lamellate
Frogs spwan algae is:,Batrachospermum,Macrocystis,Sargassum,Oedogonium
Fresh water algae which is not red is:,Batrachospermum,Polysiphonia,Fucus,Cladophora
Clolourless parasitic algae Harveyella belongs to:,Rhodophyceae,Phaeophyceae,Chlorophyceae,Myxophyceae
Kelps are:,Members of phaeophyceae,Members of rhodophyceae,Members of chlorophyceae,Members of cyanophyceae
Which of the following is larvicidal algae?,Anabaena,Pandorina,Euglena,Polysiphonia
Which of the following algae shows heterotrichous habit?,Stigeocolonium,Chlamydomonas,Ulothrix,Oedogonium
Richest source of protein is:,Spirulina,Spirogyra,Nostoc,Ulothrix
A thick-walled spore meant for perennation is called:,Hypnospore,Akinete,Zoospore,Alanospore
Black snow is caused by::,Raphidonema,Scytonema,Volvox,None
Nostoc and Anabena live symbiotically in:,All,Anthocerous thallus,Leaf of Azolla,Coralloid root of Cycas
In algae aplanospores are produced during:,Unfavorable condition,Favorable condition,Both a and b,None
