question,answer,wrong1,wrong2,wrong3
The neutral temperature of a thermocouple is 120°C. Its electromotive force changes sign at 400K The temperature of the cold junction will be,113°C,93°C,73°C,67°C
The neutral temperature of a thermocouple is 160° C. Its electromotive force changes sign at 500K. The temperature of the cold junction will be,93°C,73° C,67°C,27° C
Neutral temperature of a thermocouple is 320°C. The cold junction is at 10°C. The inversion temperature is,630°C,320°C,640°C,650°C
When current is passed through a thermoss couple,Heat is absorbed at one end and evolved at the other end,Heat is produced,Heat is radiated,None
Refrigerator works on the principle of.,Peltier effect,Seeback effect,Inverse heat,Joule's heating
"During the temperature of inversion, emf, produced in a thermocouple is:",Minimum,Zero,Maximum,Negative
The emf developed when one junction of a loop formed by two wires is kept in ice and another junction is kept is hot water is called,Seebeck effect,Peltier effect,Thomson effect,Joule effect
The production of emf by maintaining a difference of temperature between the two junctions of dissimilar metals is called,Seebeck effect,Joule effect,Peltier effect,Thomson effect
A battery is connected in a thermocouple. The two junctions will:,be heated at one junction and cooled at other.,be heated up,remain at the same temperature,be cooled
.Amount of energy absorbed or evolved when 1A of current passes for one second through a junction of two metals is called:,Peltier coefficient,Thermo e.m.f.,Thomson coefficient,Thermoelectric power
The neutral temperature of a thermocouple with one end at 0°C and other at t°C is given by,-a/2b,-b/a,2b/a,a/b
The temperature above which a ferromagnetic substance become paramagnetic is called,curie point,joule's point,ambient point,Maxwell point
"When a thermocouple is kept at two different temperatures, emf is produced. It is:",Seeback effect,Peltier effect,Thomson's effect,Joule's effect
