question,answer,wrong1,wrong2,wrong3
1. INFLAMMATION OF CORNEA IS,CONJUNCTIVITIES,KERATITIS,SCLERATIS,BLEPHARIATS
2. WHICH OF THE FOLLOWING IS CALLED AS VESTIGEAL STRUCTURE OF HUMAN EYE?,PLICA SEMILUNARIS,APPENDIX,RETINA,CORNEA
3. WHICH TYPE OF EPITHELIUM PRESENT IN CONJUNCTIVE........,NON KERATINIZED STRATIFICED SQUAMOUS,KERATINIZED STRATIFICED SQUAMOUS,COLUMNAR EPITHELIUM,CILIATED EPITHELIUM
5. HOW MANY LAYER PRESENT IN CONJUNCTIVA.............,3,2,4,5
5. WHICH OF THE FOLLOWING PATHOGEN CAUSE OPTHALMIA NEONATRUM...........,A. NEISSERIA GONOHHROEA,B. STAPH. AUREUS,C. HAEMOPHILIUS INFLUNZAE,STREPTOCOCCUS HEMOLYTICUS
6. ALL THE TRUE OF PTERYGIUM EXCEPT,D. MORE COMMON IN REMALE THAN MALE,A. ARIS FROM NASAL SIDE,B. CAN CAUSE ASTIGMATISM,C. AN ELASTOTIC DEGENERATION OF CONJUNCTIVA.
7. BULBAR CONJUNCTIVA CONSIST OF............PART,A. 2,B. 3,C. 4,D. 1
8. MOST COMMON FEATURES SEEN IN VITAMIN A DEFICIENCY IS...................,C. BITOTS SPOT,A. CONJUNCTIVITIES,B. PTERYGYUM,D. CORNEAL XEROSIS
9. ALL ARE MUCIN SECRETORY GLAND EXCEPT,C. GLAND OF MANZ,A. GLAND OF KRAUSE,B. CRYPTS OF HENLE,GOBLET CELLS
10. DUCTS OF LACRIMALS GLANDS OPEN IN TO..............,D. SUPERIOR FORNIX,A. MEDIAL FORNIX,B. LATERAL FORNIX,C. INFERIOR FORNIX
11. ADENOID LAYER ARE DEVELOPED ....,C. RETINA,A. SINCE BIRTH,B. PLICA SEMILUNARIS,D. CORNEA
12. CONJUNCTIV IS,B. TRANSLUCUNT,A. TRANSPARENT,C. OPAQUE,D. BOTH A AND B
13. SWIMMING POOL CONJUNCTIVITIES IAS CAUSED BY,B. STAPH. AUREUS,A. GONOCOCCUS,C. CHALAMYDIA TRACHOMATIS,D. PICORNA VIRUS
14. WHICH TYPE OF DISCHARGE PRESENT IN BACTERIAL CONJUNCTIVITIS...........,A. PURULENT / MUCOPURURULENT,B. WATERRY,C. ROPY,D. NONE OF THE ABOVE
15. TRANTS SPOT ARE NOTICED IN CASES OF............,B. VERNAL KERATO-CONJUNCTIVITIS,A. ACTIVE TRACHOMA,C. VITAMIN A DEFICIENCY,D. CORNEAL PHLYCTEN
16. EYEBALL IS ATTACHED WITH,B. BULBAR CONJUNCTIVA,A. PALPEBARAL CONJUNCTIVA,C. CONJUNCTIVAL FORNIX,D. ALL OF THE ABOVE
