question,answer,wrong1,wrong2,wrong3
Study of animal behavior is termed as:,Ethology,Ethnology,Etiology,Eugenics
The individual behavior as a result of previous experience after birth is called:,Acquired behavior,Stereotype behavior,Innate behavior,Reflex behavior
Inborn adaptative mechanism comes under:,Stereotype behavior,Acquired behavior,Learner behavior,None
Many behavior are instinctive programmed by individual:,Genes,Brain,Hormones,Morphology
Animal behavior is often affected by variation in:,Hormone secretion,Respiration,Digestion,Metabolism
Innate behavior is also known as:,All,Inborn behavior,Stereotype behavior,Instinctive behavior
Innate behavior are modified by:,All of these,Natural selection,Genetic factors,Experience of individual
Stereotype behavior does not include:,Singing,Reflexes,Taxes,Instincts
One of the major of adaptation in animals is:,Reflex response,Taxis,Display,Migration
A reflex develop from repetitive experience is:,Conditional reflex,Unconditional reflex,Cerebral reflex,None
"Swimming, cycling, painting, all are:",Conditional reflex,Unconditional reflex,Deep reflex,None
The modification of a behavior as a result of experience is called:,Learning,Orientation,Instinct,Intelligence
The way an organism responds to stimuli in its environment is called:,Behavior,Orientation,Kinesis,Imprinting
When an animal turns sideways to the sun to get the maximum amount of sun on its flanks this is an example of:,Orientation,Motivation,Habituation,Posture
Response of living organisms to any stimulus is called:,Behavior,Action,Orientation,Kinesis
The exeoerimental animal used by Pavlov for studying conditioned reflex was a :,Dog,Rat,Goose,Frog
A directional automatic movement of the while organism in responnse to an external directional stimulus is called:,Taxis,Kinesis,Tropism,Orientation
Hygrotaxis is the movement in response to:,Moisture,Water,Current,Touch
The automatic movement of an animal towards or away from a stimulus is called:,Taxis,Kinesis,Orientation,Reflex
When an animal responds to an environmental stimulus in a non directional manner by changing the rate at which it performs an activity this is called a/an:,Kinesis,Reflex,Taxis,Orientation
"Orientation of animals which involves some complex stimuli like direction, landmarks, etc. Is called:",Mnemotaxis,Menotaxis,Telotaxis,Trophotaxis
"If there are two sources if stimuli of the same intensity operating at the same time then animals oreint to any one of the stimulus, this is called:",Telotaxis,Menotaxis,Tropotaxis,Klinotaxis
Orientation of the body in response to stimulus at a constant angle is known as:,Menotaxis,Klinotaxis,Geotaxis,Tropotaxis
Flower visit by honey bee is an example of:,Telotaxis,Klinotaxis,Menotaxis,Chemotaxis
Menotaxis is shown by:,Ants and honey bee,Ants and wasps,Wasps and honey bee,Euglena and honey bee
Type of response shown by hunting wasps is:,Mnemotaxis,Nemotaxis,Menotaxis,Tropotaxis
"""Sideways orientation"" of organism by bending left and right until the receptors of two side are equally stimulated is called:",Klinotaxis,Tropotaxis,Menotaxis,Telotaxis
"""Light compass response"" refers to:",Menotaxis,Mnemotaxis,Klinotaxis,Tropotaxis
Behavioral response of bilaterally symmetrical animals leading straight towards the stimulus refers to:,Tropotaxis,Telotaxis,Klinotaxis,None
"Movements based on memory complex stimuli like landmarks, trails of chemicals, sunlight, etc. Where removal of any one stimulus any disturb the path is called:",Mnemotaxis,Menotaxis,Telotaxis,Clinotaxis
A real leader will be the one who always,All,Takes care of heard,Give guidance for path,Helps in collection of food
Leadership is regarded is:,A stereotype behavior,A learned behavior,A memorized behaviour,Either a or c
Seasonal movements of animals from one defined place of residence to another are called:,Migrations,Emigrants,Homing,Dispersals
"Long distance, seasonal, migrations are most most common in:",Birds,Insects,Mammals,All
Fishes that migrate from sea to fresh water for breeding are called:,Anadromous,Diadromous,Catadromous,Patamodromous
Salmon and Hola are :,Anadromous,Catadromous,Ocenodromous,Potamodromous
Fishes that live and migrate only within sea are:,Ocenodromous,Potamodromous,Anadromous,Marinodromous
A migratory fish which migrate from fresh water to sea and give versa but not for breeding purpose is/are:,Amphidromous,Anadromous,Potamodromous,None
Catadromous fishes move from:,River to estauries,Estauries to river,Sea to estauries,Sea to fresh water
Carps and trout fishes are:,Potamodromous,Amphidromous,Ocenodromous,Catadromous
"In most of the fishes, migration is for:",Life cycle,Feeding,Maturity,Habitat
Mackerels fishes belongs to which migratory group?,Ocenodromous,Potamodromous,Amphidromous,Catadromous
Migration of fishes in search of food materials refers to:,Alimental migration,Gametic or spawning migration,Osmoregulatory migration,Physiological migration
Which of the following helps in bird migration?,All,Landmarks,Celestial bodies,Magnetic field of earth
Birds that migrate at night:,Oreint to the fixed point in the sky,Imprint on one or more key constellation,Inherit a star map,"Determine a distance, but not directions from stars"
A primitive animal with complex behavior is:,Honeybee,Hydra,Goose,Earthworm
Which of the following animals are highly visual?,Birds,Insects,Mammals,Fishes
Latitudinal migration or birds occurs from:,South to north and vice-versa,East to west and vice versa,Low altitude to high altitude and vic-versa,East to north and vice-versa
Golden plover of South America shows:,Latitudinal migration,Longitudinal migration,Altitudinal migration,None
Spawning migration of fishes is for the purpose of:,Both a and b,Breeding,Continuity of life,Feeding and habitat
Principle of Antithesis was first proposed by:,Darwin,Spencer,Lorenz,Weismann
Taxes without involvement of configuaration stimuli is called:,Mnemotaxis,Menotaxis,Telotaxis,Thigmotaxis
Adaptive change in behvaiour is due to previous experiences is called:,Learning,Orientation,Modulation,Inclination
The way an organism responds to stimuli in its environment is called:,Behaviour,Imprinting,Kinesis,Taxis
Founder Of modern ethnology:,Konard Lorenz,Karl Von Frisch,Niko Tinbergen,All of them
Animals communicate through:,All,Visual signals,Chemical signals,Acoustic signals
Behavior aimed at opposite sex of species and designed to stimulate copulation is called:,Courtship,Conditioning,Conflict,Sexual inflict
Courtshipis the form of:,Fixed action pattern,Taxis,Kinesis,Both b and c
An increased response to stimulus is called:,Sensitization,Habituation,Imprinting,All of the above
Honey bee communication was discovered by:,Karl Von Frisch,LOrenz,Darwin,Tinbergen
The buidling of web by spider is a kind of:,Fixed action pattern,Learned behavior,Imprinting,Both b and c
In born adaptive mechanism with which animals face the environment is called:,Innate behavior,Reflex action,Learned behavior,Taxes
Pavlov studied condition reflex in :,Dog,Cat,Rat,Bat
Non directed and rate changing response to environmental stimulus is called:,Kinesis,Orientation,Reflex,Taxis
The automatic movement of animal towards or away from a stimulus is called:,Taxis,Orientation,Reflex,KInesis
Animal behavior is often affected by variation in:,Hormonal secretion,Digestion,Metabolism,Respiration
Migration for search of food is called:,Alimental migration,Climate migration,Spawning migration,Osmoregulatory migration
The migration of bird is initiated by:,Daylight affecting endocrine glands,Shortage of food,Search of shelter,Purpose of breeding
Fish xiphius migrating towards north in spring and to south in winter is called:,Latitudinal migration,Spawning migration,Vertical migration,Shoreward migration
Catadromous fishes spend most part of their life in:,Fresh water,Sea water,Estuary,River
Gobies fishes are,Amphidromous,Catadromous,Anadromous,Oceanodromous
Migratiuon is confined to fresh water if fishes are:,Potamodromous,Anadromous,Catadromous,Amphidromous
Spawning migration is for,Breeding,Food,Maintaining osmoregulation,Climate adjust
Carp and trout are,Fresh water fishes,Sea water fishes,Both a and b,None
Bell Magendie Law states that:,Both a and c,Dorsal roots of spinal cord are sensory,Dorsal roots of spinal cord are motor,Ventral roots of spinal cord are motor
Pavlov experimental animal for conditioned reflex was:,Dog,Rat,Sheep,Frog
Thigmotaxis is response to:,Touch,Water current,Magnetic field,Moisture
Movements of mosquitoes away from insect repellants is:,Negative chemotaxis,Negative phototaxis,Positive thermotaxis,Negative themotaxis
A real leader will be the one who,All,Takes care of hared,Give guidance,Helps in food collection
What is false for leadership?,Depends on age and sex,Leader is in highest position,Takes care of herd,Helps in food collection
Eyeblinking and salivation are,Brain reflex,Spinal reflex,Stretch reflex,Both a and b
Hunger and cough are,Both a and b,Spinal reflex,Brain reflex,Stretch reflex
Hunter wasps exhibit,Mnemotaxis,Menotaxis,Telotaxis,Tropotaxis
Orientation of body in responses to stimulus at constant angle is:,Menotaxis,Telotaxis,Mnemotaxis,Tropotaxis
Honeybees show flowing taxes,Menotaxis,Telotaxis,Klinotaxis,Mnemotaxis
Sparrows show,Nocturnal migration,Diurnal migration,Both a and b,None
Responses towards water current is,Rheotaxis,Aheotaxis,Thigmotaxsis,None
An animal whose body temperature fluctuates with the influence of environment is a/an,Poikilotherm,Homeotherm,Ectotherm,Endotherm
Movement of earthworm towards soil surface is:,Positive geotaxis,Postitive phototaxis,Negative phototaxis,Negative geotaxis
Common carps and Trouts fishesh have the migration type called,Potamodromous,Catadromous,Anadromous,Amphidromous
Courtship behavious is form of,Fixed action pattern,Taxis,Imprinting,Kinesis
Golden plover of South America shows,Latitudinal migration,Longitudinal migration,Altitudinal migration,None
The orientation of animals responding to one type of stimulus when facing two or intensity acting at a same time is called-,Telotaxis,Klinotaxis,Menotaxis,Mnemotaxis
"Light compass respinse refers to

(a) Menotaxis         (b) Mnemotaxis

(c) Klinotaxis          (d) Troptaxis

 

(a) Menotaxis    (b) Mnemotaxis

(c) Ants             (d) Both a and c","a, d","a,a","a,c","b,b"
Migration of birds from higher mountains to the plain lands of terai in Nepal,Altitudinal migration,Local migration,latitudinal migration,Longitudinal migration
Regeneration of limbs in amphibian involves:,Epimorphosis,Morphollaxis,Compensatory migration,Metamorphosis
Irritability is the characteristic of,All living beings,Fish,Vertebrates only,Reptiles
Salmon fish is,Anadromous,Catadromous,Amphidromous,Potamodromous
Reflex actionis quick in comparison to normal action because transmission of normal action occurs through,Cerebrum of brain,Entire spinal cord,Olfactory capsule,Pituitary body
Euglena bends its body right and left to test the intensity of light. It is an example of,Klinotaxis,Menotaxis,Tropotaxis,Telotaxis
Bee  dancing is,Telotaxis,Klinotaxis,Menotaxis,Chemotaxis
"In most of the fishesh, migration is for",Life cycle,Feeding,Maturity,Habitat
Mahy siberian birds show,Latitudinal migration,Longitudinal migration,Vertical migration,Local migration
What are thigmoreceptors?,Tactile hairs,Taste buds,Chemoreceptors,None
