question,answer,wrong1,wrong2,wrong3
"If the external force applied is zero, then which of the following is conserved?",Linear momentum.,Angular momentum.,Torque.,Time period.
No force is required for a body moving with,Constant velocity.,Constant speed on circular path.,Constant acceleration.,Variable acceleration.
Two blocks of masses 6kg and 4kg tied to ends of a light inextensible string passing over a frictionless pulley are released. Then acceleration of the system will be,\(2m/s^2\),\( 2.5 m/s^2\),\(4m/s^2\),\( 5m/s^2\)
What is the minimum acceleration of a fireman sliding down a fixed vertical rope for which breaking strength is a times his weight,(1-α)g,αg,g/α,(α-1)g
A block of 2kg on a horizontal surface is pulled at 30° with horizontal by a force of 10N. Then normal reaction on the block is,15N,10N,20N,25N
A 5kg stone falls from a height of 100m and penetrates 2m is a layer of sand. The time of penetration is,0.089s,14.28s,7.14s,0.89s
"A balloon is descending at a constant acceleration a. The mass of the balloon is M. When a mass m is released from the mass of the balloon it starts rising with the same acceleration a. Assuming that the volume doesn't change when the mass is released, what is the value of m/M?",\(\frac{2a}{a+g}\),\(\frac{a}{a+g}\),\(\frac{a+g}{a}\),\(\frac{a+g}{2a}\)
"A balloon of mass M is rising up with acceleration a, then to double the acceleration, the fraction of weight of balloon to be detached is",\(\frac{a}{2a+g}\),\(\frac{2a}{a+g}\),\(\frac{a}{a+g}\),\(\frac{a+g}{2a}\)
What is the force exerted by the block B on block A if lift accelerates downward at acceleration 2m/s2 if mass of block B is 0.5kg,4N,1N,5N,6N
"A man weighing 80kg is standing on a trolley weighing 320kg. The trolley is resting on frictionless horizontal rails. If the man starts walking on the trolley along the rails at speed 1m/s, then after 4sec, his displacement relative to ground will be",3.2m,5m,4>8m,3.0m
"A 600kg rocket is set for a vertical firing. If the exhaust speed is 100ms-1, the mass of the gas ejected per second to supply the thrust needed to overcome the weight of rocket is",\(6kgs^{-1}\),\(117.6kgs^{-1}\),\(58.6kgs^{-1}\),\(76.4kgs^{-1}\)
A bullet of mass 10g is fired from a gun 1kg with recoil velocity of gun =5m/s. The muzzle velocity will be,500m/s,30km/min,60 km/min,30km/min
A uniform rod of mass 6kg and length is suspended from a rigid support. The tension at a distance 1/4 from the free end is,15N,60N,45N,Zero
"A block of mass M is pulled along a horizontal frictionless surface by a rope of mass m. If a force F is applied at one end of the rope, the force which the rope exerts on the block is",\(\frac{FM}{M+m}\),\(\frac{Fm}{M+m}\),F,F/2
A boy of mass 40kg is hanging from the horizontal branch of a tree. The tension is arms is maximum when angle between the arms is :,120°,0°,60°,90°
Gravel is dropped onto a conveyer belt at the rate of 0.5kg/s. The extra force required to keep the belt moving at 2m/s is,1N,2N,0.5N,4N
A satellite in force free space sweeps stationary interplanetary dust at the rate of dM/dt=αv. The acceleration of the satellite is,\(-\frac{αv^2}{M}\),\(-\frac{2αv^2}{M}\),\(-\frac{αv^2}{2M}\),\(-αv^2\)
"A jet of water with area of cross-section 2cm2 strikes a wall at an angle 60° to the normal and rebounds elastically from the wall with the same speed. If the speed of water in the jet is 10m/s, then the force acting on the wall is.",20N,10N,5N,40N
"A ball of mass 0.5kg moving with a velocity of 2m/s strikes a wall normally and bounces back with the same speed. If the time of contact between the ball and the wall is 1millisecond, then average force exerted by the wall on the ball is",2000N,125N,1000N,5000N
A boy having a mass of 60kg holds in hands a school bag of weight 40N. With what force the floor will push up on his feet? (g = 10m/s2),640N,1000N,600N,64N
A 20 kg crate hangs at the end of a long rope. Find its acceleration when the tension in the rope is 150N.,\(2.3 m/s^2 downward\),\(2.7 m/s^2 upward\),\(2.7 m/s^2 downward\),\(13/15 m/s^2 upward\)
A scooter of mass 120kg is moving with a uniform velocity of 108 km/hr. The force required to stop the velocity in 10sec is,360N,720N,180N,120×10.8N
"A ball is dropped onto a floor from a height of 10m. It rebounds to a height of 2.5m. If the ball is in contact with the floor for 0.01 sec, then upward average acceleration at the time of contact is:",2100m/s2,700m/s2,1400m/s2,1800m/s2
80 railway wagons all of same 5×10^3kg are pulled by an engine with a force of 4×10^5N. The tension in the coupling between 30th and 31st wagon from the engine is,\(25×10^4N\),\(40*10^4N\),\(20*10^4N\),\(32*10^4N\)
Two trains A and B are running in the same direction on parallel tracks such that A is faster than B. If packets of equal weights are exchanged between the two then,A will be retarded but B will be accelerated,A will be accelerated but B will be retarded,There will be no change in velocity of A but B will be accelerated.,There will be no change in velocity of B but A will be accelerated.
"An open knife edge of mass M is dropped from a height h on a wooden floor. If the blade penetrates S into the wood, the average resistance offered by the wood to the blade is",Mg(1+h/S),Mg,Mg(1-h/S),\(Mg(1+h/S)^2\)
The surfaces are frictionless. The ratio of T1 to T2 is,5:1,√3:2,1:√3,1:5
"Two masses of 10kg and 20kg respectively are tied together by a massless spring. A force of 200N is applied on a 20kg mass. At the instant shown in fig, the acceleration of 10kg mass is 12ms-2, the acceleration of 20 kg mass is",4ms-2,0,10ms-2,12ms-2
A body of mass 5kg at rest explodes into 3 segments having masses in the ratio 2:2:1. The fragments with equal masses fly in mutually perpendicular directions. with speed 15ms-1. What will be the velocity of the lighter segment?,30 √2ms-1,15ms-1,15√2ms-1,30ms-1
In a tug of war two opposite teams are pulling the rope with an equal and opposite force of 10KN at each end of the rope SO that condition of equilibrium exists. What is the tension in the rope?,10KN,Zero,5KN,20KN
"A truck weighing 8000kg is moving along a track with negligible friction at 1.8ms-1 with the engine turn off when it begins to rain hard. The rain drops fall vertically with respect to the ground. The speed of the truck, when it has collect 1000kg of rain water is",1.6ms-1,10ms-1,3ms-1,9ms-1
A body of mass 10kg is moving  eastward with a uniform speed of 2m/s. A force of 20N is applied to it towards north. What is the magnitude of displacement after 2 second?,4√2 m,4m,8m,8√2 m
Which one of the following group of three forces will not produce acceleration in a body acted by the forces?,"4N, 7N, 10N","4N, 7N, 15N","4N, 7N, 12N","4N, 7N, 14N"
"Two bodies of masses 4 Kg and 5Kg are acted upon one after the other by the same force. If the acceleration of the heavier body is 2ms2, the acceleration of the lighter body is",2ms-2,4ms-2,2ms-2,3.5ms-2
"Whatever may be the direction of the two forces 6N and 2N acting on a body of mass 2kg, the minimum acceleration of the body cannot be less than.",\(2m/s^2\),\(4m/s^2\),\(2.5m/s^2\),\(3m/s^2\)
"A body of mass 2 kg moving with  certain velocity is acted upon by an opposing force of 4N. It stops in 2s. For the same body to continue motion with the same velocity, we should apply:",4N,0N,8N,3N
A force of P magnitude is acting on the free end of a rope of mass m attached with a block of mass M. What is the force on the block?,PM/M + m,P/M,Pm/M+m,PM/M-m
"A body having a mass of 8kg travels distances of 4, 5 and 6 m respectively in successive seconds. The force acting on it",8N,16 N,16 dyne,4N
A 60 Kg man pushes a 40 Kg man by a force of 60 N. The 40 Kg man has pushed the other man with a force of,60 N,40 N,0,20 N
A rope of length 1 is pulled by a constant force F. What is the tension in the rope at a distance x from the end where force is applied,F(l-x)/l,F(l/x),F(l/l-x),Fx/l-x
A force F1 acts on a particle so as to accelerate it from rest to velocity v. The force F1 is replaced by a force F2 which decelerates it to rest. Then,F1 may be equal to F2,F1 must be equal to F2,F1 must be unequal to F2,None of these
"A motorcycle is going on in over bridge of radius R. The driver maintains a constant speed. The motorcycle is ascending on the bridge, the normal force on it",increase,decrease,remains the same,fluctuates
A thief stole the book weighing 'w' then jump vertically down the wall. What is the resultant wt of the body before he reach the ground?,zero,2w,w,w/2
When a man weighing 10kg in lift is accelerated downward with the acceleration of 1m/s^2 then apparent wt is:,88,98,72,68
"A rest substance is broken into three pieces. First two pieces have equal mass with the velocity of 30 m/s move in perpendicular direction, 3rd piece has its mass 3 times the mass of each equal piece. Find the velocity of third piece.",14.4 m/s,9.8 m/s,20 m/s,30 m/s
"When a jet of liquid (density kg/m3) is escaping from a pipe of diameter 1 mm of velocity 200 ms-1, find out the force needed to hold the pipe firmly or the force on vertical wall due",8.4N,7.3N,9.3N,4N
