question,answer,wrong1,wrong2,wrong3
Gymnosperms are the plants which,Produce seeds in cones,Bear flowers,Bear fruits but no vascular tissue,Do not produce seeds in cones
The gymnosperms differ from angiosperms in,Presence of seed,Habit,Habitat,Absence of ovary
"In gymnosperms, pollination occurs exclusively by",Wind,Insects,Water,All of these
Gymnosperms are,Perennials,Annuals,Biennials,All of these
Endosperm in gymnosper is,Haploid,Diploid,Triploid,Polyploid
Ovules in gymnosperms in generally,Unitegmic,Bitegmic,Ategmic,None
Which acts as a connecting link between gymnosperms and angiosperms?,Gnetales,Cycadales,Ginkogoales,None
Megasporophylls of gymnosperms are comparable to which structure of angiosperms,Carpels,Stamens,Ovules,Megasporophylls
The number of neck canal cells in archegonium of gymnosperms is,0,4,6,1
Fern character in cycas is,Circinate vernation,Coralloid roots,Tap root system,Reticulate venation
Male gametophyte in gymnosperms is represented by,pollen grain,Microsporangium,Nucellus,Spore dyad
Which of the following is called a living fossil?,Cycas,Pinus,Metasequoia,Ephedra
Pollination in cycas occurs at,3 celled stage,Single celled stage,2 celled stage,4 celled stage
Stem of cycas is,Unbranched (caudex),Branched,Both a & b,None
Wood of cycas consists of,Tracheids only,vessels only,More of tracheids and less of vessels,Equal number of tracheids and vessels
The number of cotyledons in seed of cycas,2,1,Many,All of these
Ovules of pinus is,Anatropous and unitegmic,Orthotropous and unitegmic,Orthotropous and bitegmic,Amphitropous and bitegmic
Wood of pinus is,Porous,Non-porous,Slightly porous,None
The germination of seed in gymnosperms is,Hypogeal except Pinus,Hypogeal only,Epigeal only,Epigeal except Pinus
The wood of gymnosperm exclusively consists of,Tracheids,Trachea,Wood fibres,Wood parenchyma
Chilgoza is the name of seed given to the plant,Conifers,Monocot,Dicot,False fruit
"Phenomenon of ""Sulphur shower' is related with",Pinus,Cycas,Ginkgo,none
Wings of pollen grains of pinus are out growth of,Exo-intine,Intine,Exine,Sporangial wall
Which species of pinus has 3 needles,Pinus roxberghii,Pinus wallichiana,Pinus gerardiana,None
Pinus wallichiana is also called,Gobre salla,Blue pine,Rani salla,Both a & c
The male cone of pinus is formed of,Microsporophyll's,Anthers,Megasporophylls,Ligules
Dwarf shoot of pinus have,2-5 leaves,1-4 leaves,1-5 leaves,2-4 leaves
