question,answer,wrong1,wrong2,wrong3
PV = nRT is applicable to,Both (a) and (b),Isothermal changes,Adiabatic changes,None
Which gas diffuses most rapidly?,NH3,NO2,CO2,02
"The compound A, B, C and D has 1, 2, 3 and 4 mole respectively kept in identical vessel at same temperature. The greatest pressure is exerted by",D,A,B,C
Which is true about O2 and SO2?,O2 diffuses √2 times as SO2,Diffusing rate is same,O2 diffuses twice as SO2,Mol. Wt. of O2 is greater
A certain mass of gas occupies 40 litres at 760 mmHg. What will be its volume at 5 atom?,8 litre,1 litre,2 litre,3 litre
One litre of gas at 0°C is heated to 100°C keeping mass and the pressure constant. What will be the new volume at 100°C?,1.37 litre,0.37 litre,2.37 litre,3.37 litre
"The gas pressure in an aerosol can is 1.5 atm at 25°C. Assuming that the gas inside obeys Charles Law, what would be the pressure if the can were heated to 450°?",3.6 atm,2.6 atm,4.6 atm,5.6 atm
2 gm of O2 at NTP has volume,1.4 litre,2.8 litre,8 litre,11.2 litre
Equal weight of N2 and O2 contained in separate containers with same volume and temperatures have,N2 exerts more pressure than O2,Equal no. of molecules,Different no. of molecules,O2 exerts more pressure than N2
A gas is heated in such a way that its volume and absolute temperature are both doubled. Then the pressure of the gas increases by,Remains unchanged,2 times,4 times,6 times
Which of the following gases has the lowest rate of diffusion?,Pentane,Hydrogen chloride,Sulphur dioxide,Carbon dioxide
"A compound has high intermolecular attraction, then it has",Low vapour pressure,Low boiling point,Low surface tension,Low viscosity
Evaporation of water is,Endothermic change,A process in which no heat change occurs,A process accompanied by chemical reaction,Exothermic change
How many grams of water is required to make saturated solution of 100 gram of KNO3 at 100° if solubility at 100°C is 20?,500,100,200,300
If a gas at constant temperature and pressure expands then its,Internal energy remains same,Internal energy decreases,Internal energy increases,Entropy increases and then decreases
The ratio of the rate of diffusion of Helium (He) and Oxygen (O2) is,16,1/4,4,1/16
Equal weight of methane and oxygen are mixed in an empty container at 25°C. The fraction of total pressure exerted by oxygen is,1/3,2/3,8/9,9/8
Which of the following mixture of gases does not obey Dalton's law of partial pressure?,"HCI, NH3","O2, CO2","N2, 02","Cl2, O2"
Which of the following is a colligative property?,Osmotic pressure,Surface tension,Viscosity,Boiling Point
Which of the following is not an example of colligative property?,Vapour pressure,Freezing point depression,Osmotic pressure,Boiling point elevation
Boiling point of liquid depends on all of the following factors except,Volume of the liquid taken,Viscosity of the liquid,External pressure,Vapour pressure of the liquid
"At constant temperature, in a given mass of an ideal gas",the product of pressure and volume always remains constant,the ratio of pressure and volume always remains constant,volume always remains constant,pressure always remains constant
"A gas is initially at 1 atm pressure. To compress it to 1/4 th of its initial volume, pressure to be applied is",4 atm,1 atm,2 atm,1/4 atm
Which of the following expressions at constant pressure represents Charle's law?,V ∝ T,V ∝ 1/T,V ∝ 1/T²,V = d
The correct value of R is close to,0.082 litre-atm-\(K^{-1} mol^{-1}\),0.082 litre-atm K,0.082 litre-\(atm^{-1}\) K \(mol^{-1}\),0.082 \(liter^{-1} K^{-1}\)
The constant R is,Work done per degree per mole,Work done per molecule,Work done per degree absolute,Work done per mole
Pressure of a gas is due to,the collision of gas molecules against the walls of the container,collisions of gas molecules,the random movement of gas molecules,the intermolecular forces of attraction between the gas molecules
"If two moles of an ideal gas at 546 K occupy a volume of 44.8 litres, the  pressure must be",2 atm,3 atm,4 atm,1 atm
"300 ml of a gas at 27°C is cooled to -3°C at constant pressure, the final volume is",270 mL,540 mL,135 mL,350 mL
"Pressure remaining constant at what temperature, the volume of a gas will be double of its volume at 0°C?",546 K,100°C,546°C,273 K
Volume of 4.4 g of CO2 at NTP is,2.24 L,22.4 L,224 L,44.8 L
Volume of 0.5 mole of a gas at 1 atm pressure and 273°C is,22.4 litres,11.2 litres,44.8 litres,5.6 litres
"If the weight of 5.6 litres of a gas at NTP is 11 gram, the gas may be",N2O,PH3,COCI2,NO
A gas 'A' diffuses 5 times faster than gas 'B'. Density of 'A' compared with 'B' is,1/25,5,25,1/5
Molecular weight of a gas that diffuses twice as rapidly as the gas with molecular weight 64 is,16,8,64,6.4
The relative rate of diffusion of a gas (molecular weight =128) as compared to oxygen is,1/2,2 times,1/4,1/8
The atomic weight of helium is 4 times of hydrogen. Its rate of diffusion as compared to hydrogen is,1/√2 times,twice,√2 times,1/4 th
"The rates of diffusion of SO2 and O2 (S=32, O=16) are in the ratio",1:√2,1:32,1:2,1:4
The rate of diffusion of methane at a given temperature is twice that of a gas X. The molecular weight of X is,64.0,32.0,4.0,8.0
The internal energy of one mole of an ideal gas is given by,(3/2) RT,(1/2) KT,(1/2) RT,(3/2) KT
The rms velocity at NTP of the species can be calculated from the expression,All of these,√(3P/d),√(3PV/M),√(3RT/M)
Which set of conditions represent easiest way to liquefy a gas?,Low temperature and high pressure,High temperature and low pressure,Low temperature and low pressure,High temperature and high pressure
"When an ideal gas undergoes unrestrained expansion, no cooling occurs because the molecules",exert no attractive forces on each other,are above the inversion temperature,do work equal to loss in kinetic energy,collide without loss of energy
