question,answer,wrong1,wrong2,wrong3
The number of foetal mebranes in man is,4,5,3,6
Blastopore is found in,Gastrula and is the opening of archenteron,Blastula and is the opening of blastocoel,Blastula and is the opening of archenteron,Gastrula and is the opening of blastocoel
Germ-layer are seen in,Gastrula,Blastula,Cleavage,Fertilization
Whic hcavity is formed during gastrulation?,Archenteron,Blastocoel,Gastrocoel,Notochord
Gray crescent is present in:,fertilized egg of frog,unfertilized egg of frog,sperm of frog,sperm of rabbit
Blastopore is present in .......... stage,Gastrula,Morula,Blastula,Neurula
Cleavage in frog embryo,Unequal Holoblastic,Unequal Heteroblastic,Equal Heteroblastic,Equal Holoblastic
Internal ear derived from?,Ectoderm,Endoderm,Mesoderm,Neural crest cells
Connective tissue is originated from,Mesoderm,Endoderm,Ectoderm,Ecto-mesoderm
Skeleton and muscles both develop from,Mesoderm only,Mesoderm and Ectoderm,Ectoderm only,Ectoderm and Endoderm
Egg of frog is,Both,Telolecithal,Mesolecithal,None
