question,answer,wrong1,wrong2,wrong3
Strongest base and weak acid indicator,Phenolphthalein,Methyl orange,Methyl red,Methyl yellow
Which of the following has highest pH for its 0.1m solution,Ca(OH)2,H2SO4,NaOH,Na2CO3
Which of the following salt is most acidic in its aqueous solution,BeCl2,FeCl3,AlCl3,NiCl2
Which of the following is strongest acid,HClO4,H2SO4,H3PO4,HNO3
If a salt reacts with NaOH and the gas so formed reacts with nessler's reagent to form brown ppt what is the cation present on salt,NH4+,K+,I2,Hg2+
"In the following equilibrium

HCl + H2O ⇌H3O^+ + Cl^-

H2O is a base according to the",Bronsted-lowry concept,Classical concept,Arrhenius concept,Lewis concept
The highest pH value would be shown by 0.1 M solution of,Ca(OH)2,H2SO4,NaOH,Na2CO3
Alum is,Double salt,Mixed salt,Common salt,Potash salt
If phenolphthalein is added to alkali color change to,Pink,Purple,Orange,Red
Water has pH 7. A salt is added to it even though the pH of solution remains same. The salt is made up of,Strong acid + strong base,Strong acid+ weak base,Strong base + weak base,Weak acid+ weak base
Which of the following is a strongest acid,HI,HF,HCl,HBr
Which is most acidic,HClO4,SO(OH)2,H3O,AgCl
Aqueous solution of ferric chloride is,Acidic,Basic,Amphoteric,Neutral
Which of the following is strongest acid,HClO4,HI,H2SO4,HBr
Which of the following is not a potonic acid,B(OH)3,PO(OH)3,SO(OH)3,So2(OH)2
Lewis base always,Donate alone pair of electron,Accepts a lone pair of electron,Only accept single electron,Both b and c
In the reaction I2+I- --->I3 the law is based is,I-,I2,I3-,None of those
The mixed salt is,CaOCl2,Na2CO3,NaOCl2,KClO3
One of the following is Lewis base,NH3,NH4,BF3,SnCl4
"in the reaction NH3+H2O⇌NH4+ +OH-, which of the following constitutes conjugate acid base pair",H2O and OH-,NH3 and H2O,NH4+ and OH-,NH3 and OH-
Identify the base in the following,NH3,BF3,H+,AlCl3
Which of the following compounds act as a Lewis acid,AlCl3,NH3,RNH2,ROH
Which of the following can act both as bronsted acid and base,HSO4-,NO3-,H3O+,BF3
Which of the following act both as  Lowery Bronsted acid and base,HSO4-,BF3,H3O+,CO3^-2
"Among a Al2O3,SiO2,P2O3 and SO2 the correct order of acid strength is",As2O3<SiO2<P2O3<SO2,SO2<P2O3<SiO2<As2O3,SiO2<SO2<As2O3<P2O3,As2O3<SiO3<SO2<P2O3
AlCl3 acts as a strong Lewis acid because ACl3 is,An electron deficient compound,Easily hydrolysed,A covalent compound,An ionic compound
Which of the following can act as base according to the Lewis concept,Cl-,Na+,H,K
Which of the following is not a Lewis acid,PH3,BF3,SnCl4,CO2
Solution of which of the following salts in water is alkaline,Sodium acetate,Sodium chloride,Ammonium chloride,Potassium nitrate
Which one gives two type of salt,H3PO3,H3BO3,H2PO2,H3PO4
Which of the following when heated strongly with oxygen react with both acid and alkali,Aluminium,Iron,Magnesium,Sodium
Solution having acidic nature,NH4Cl solution,KCN Solution,Na2C03 solution,CH3COONH4 solution
Which of the following aqueous solution will have pH less than 7 at 298 Kelvin,FeCl3,KNO3,NaOH,NaCN
Which one of the following on hydrolysis gives acidic salt,NH4Cl,NaCl,KNO3,NH4OH
And acids accept a lone pair of electron is according to,Lewis concept,Bronsted-lowry concept,Arrhenius concept,All
Solution of which of the following salts in water is alkaline,Sodium acetate,Sodium chloride,Ammonium chloride,Potassium nitrate
Which of the following gives alkaline solution in water,Na2CO3,NH4Cl,NaCl,KCl
Which of the following aq. solution of 0.10M has highest pH,KHCO3,NaI,NH4I,NaHCO3
In excess of alkali phenolphthalein gives,Pink,Violet,Yellow,Red
What type of compound is generally an indicator,Weak acid or weak base,Reducing agent,Strong acid or strong base,Oxidising agent
Strongest base is,CH3,H2O,NH2-,OH-
Which of the salts below will produce an alkaline solution when dissolved in water,Na2CO3,NH4Cl,NaNO3,NaCl
In the following equilibrium cl- according to the bronsted Lowery conception is,Alpha conjugate base of HCL,Alpha conjugate acid of HCL,Alpha conjugate base of H2O,Alpha conjugate acid of H2O
A Lewis acid is,Electron pair accepter,Proton acceptor,Proton donor,Electron pair donor
A Lewis acid is,Electron pair accepter,Proton acceptor,Proton donor,Electron pair donor
Which of the salts below will produce an alkaline solution when dissolved in water,Na2CO3,NH4Cl,NaNO3,NaCl
BF3 is acid because,It has electron deficient centre,It has acidic character,It has lone pair of electrons,None
Among the following NaOH Ca(OH)2 KOH and Zn(OH)2 the weakest base is,Zn(OH)2,NaOH,Ca(OH)2,KOH
Vinegar is an example of,Weak acid,Strong acid,Strong base,Weak base
According to Bronsted Lowery concept and acid is said to be strong if it is,Conjugate base is weak,Conjugate base is strong,Conjugate paste does not exist,None of above
Which of the following compounds the strongest Bronsted base,NH3,CH4,H2O,NF
"In nitration of benzene with HNO3 and H2SO4, HNO3 acts as",Base,Acid,Reducing agent,Catalyst
"When sodium reacts with water to form sodium hydrides, hydrogen acts as",Oxidizing agent,Reducing agent,A base,An acid
"Among the following NaOH ,Ca(OH)2 ,KOH and Zn(OH)2 the weakest base is",Zn(OH)2,NaOH,Ca(OH)2,KOH
The colour of litmus change from Blue to Red by,NH4Cl,KCl,NaHCO3,NaNo3
Which of the following oxidises reacts with both HCl and NaOH,ZnO,CO,P2O5,N2O
