question,answer,wrong1,wrong2,wrong3
Lawn grass are cut at the top because,Lateral growth occurs,Cell degenrate & rapid regeneration occurs,It is done for aesthetic purpose,It provides more sun light
Zeatin is obtained by,Maize,Wheat,Rice,Barley
To keep the flower fresh we use,Cytokinin,Auxin,Gibberelin,ABA
The movement of hairs in drosera is,Thigmonastic,Heliogenic,Zenogenic,Animonastic
An auxanometer is used to detect,Growth,Guttation,Transpiration,Photosynthesis
Leaf fall due to,Absscisic acid,Auxin,Cytokinin,Florigen
One of the following induces internodal elongation of genetically dwarf plants,Gibberellins,Auxins,Cytokinins,Ethylene
Stomata closure in plants is induced by,Abscissics acid,Giberlic acid,Cytokinin,Auxin
Bioassay for auxin is done with,Avna curvature test,Seed dormancy test,Green leaf test,Dwarf maize test
Which one of the following is not a growth promoter ?,Abscissic acid,Gibberlin,Indole acetic acid,Cytokinin
Gibberlic acid was detected from,Fungus,Bacteria,Virus,Insect
Which one of the following plant growth hormone was extracted from a fungus by ateam of Japanese Scinetists ?,Gibberlins,Auxins,Ctokinin,Abscissic acid
Rooting hormone is,IAA,GA3,ethylene,none
Auxins are,Hormones,Enzymes,Tannins,Vitamins
Level Auxanometer is used to measure,Growth,Respiration,Photosynthesis,Transpiration
Plant apex produces growth promoting factor called,Hormone,enzyme,protein,carbohydrate
Substance present in apical part which helps in growth is,Hormone,Enzyme,Vitamin,None
Which is indespensible hormone for root tissue culture,Ethylene,Cytokinin,Giberilin,Auxin
Precursors of auxin is,Tryptophan,Phenylalanine,Trysoine,Leucine
Cold treatment flowering is,Vernalization,Cryopreservation,Cryoflowering,Cryoprotect
The growth regulator that retards the ageing of plant,Cytokinin,Auxin,Gibberlin,Absisic acid
ABA is a plant grpwth hormone involved in,Dormancy of seed,Shoot elongation,Root elongation,Increased cell division
Response towards touch is known as,Thigmotrpoiswm,Geotropism,Rheotropism,Thermotrpoism
Food mobilization in germinationg seed is due to,Gibberlin,Auxin,Cytokinin,Ethylene
Sequence of coorect steps in enzyme catalysed reaction,Binding of enzyme to substrate and product formed is the enzyme and substrate complex,Product formedis enzyme and substrate complex followed by the release of product,Release of product followed by binding of enzyme to substarte  froming a complex,None of the above
Light break reaction means,Influence of short period of light in the dark period,nfluence of short period of dark in the light period,Influence of GA3 on light period,Production  of some inhibitions during light period
Which of the following is correct,Enzyme increases digestion without  being itself used up,Hormone increases reaction without being itself ised up,Enzyme increases digestion being itself used uo,Hormones doesn't alter rate of reaction
The movement of leaf in mimosa is,Seismonastic,Epinastic,Hyponastic,Thigmonastic
Whuch of the following used to defoliation of forest tress?,"2,4 D",Malic hydrazide,amo 1618,phosphon D
The closer of lid of pitcher plant is due to,paratonic movement,autonomic movement,turgor movement,tropic movement
Cocnut milk contain,Cytokinis,Gibberlins,Auxins,ABA
Sudden fruiting in banan involves,Climatic respiration,Climatic respiration,Hormonal changes,Changes in respiration
