question,answer,wrong1,wrong2,wrong3
Which of the following doesn't displace hydrogen?,Hg,Pb,Sn,Al
A deuteron contains,A neutron and a proton,A neutron and a positron,A neutron and two protons,A proton and two neutrons
Ortho and para hydrogen differs in,Spin of proton,Spin of electron,Number of proton,All of these
"Hydrogen, deuterium and tritium have",Different neutrons,Different proton,Different electron,Same no. of neutron
"In the preparation of vanaspati ghee, the chemical reaction involving hydrogen in presence of catalyst is called",Hydrogenation,Reduction,Dehydrogenation,Oxidation
Hydrogen forms,All of the above,Covalent hydrides,Metallic hydride,Ionic hydrides
The most reactive form of hydrogen is,Atomic,Ordinary,Nascent,Adsorbed
Ortho and para form of hydrogen can be separated by,Gas chromatography,Ion exchanger process,Solvent extraction,Chromatography
Lane's process is for,Preparation of H2,Purification of metal,Preparation of H2O2,Preparation of Na2SO4 10H₂O
Atomic hydrogen produces formaldehyde when it reacts with,Carbon monoxide,Water,Formic acid,Carbon dioxide
Hydrogen cannot be obtained by,Zn+ dil. HNO3,Zn and dil. H2SO4,Mg + H2SO4,Mg and H₂O
Hydrogen burns in air with a,Pale blue flame,Yellow flame,Green flame,Red flame
Which of the following particle is emitted by tritium?,β - particle,α - particle,x-ray,Neutron
Which of the following has an equal no. of neutrons and protons,1H²,1H¹,1H³,3Li⁷
'H' loses electron to form \(H^{+}\). In this aspect H behaves as,Alkali metal,Noble gas,Alkaline earth metal,Halogens
"In which of the following, finely divided nickel is used as a catalyst?",Hydrogenation of oil,Haber's process of manufacture of NH3,Ostwald process of manufacture of HNO3,Contact process of H2SO4
Which of the following is reduced by H2,CuO,SnO2,Al2O3,Fe2O3
Hydrogen differs from halogen in,Electropositive nature,Ionization energy,Electronegativity,Reaction with alkali metals
Which of the following contains acidic hydrogen atom,Ethyne,Ethylene,Ethane,Butylene
NaH is an example of,Ionic hydride,Metallic hydride,Molecular hydride,Polymeric hydride
The gas used in sterilizing water is,Ozone,Sulphur dioxide,Nitric oxide,Ammonia
Heavy water is used as,A moderator,Washing water,Detergent,Drinking water
The maximum possible no of hydrogen bonds a water molecule can form is,4,2,3,1
Which one of the following processes will produce hard water?,Saturation of water with CaSO4,Saturation of water with CaCO3,Saturation of water with MgCO3,Addition of Na2SO4 to water
"For softening of water by Calgon's process, the following chemical is used",Sodium hexametaphosphate,Slaked lime,Sodium - aluminium silicate,Sodium carbonate
Which of the following is best scientific method to test the presence of water in a liquid?,Use of anhydrous copper sulphate,Taste,Smell,Use of litmus paper
The high density of water in comparison to ice is due to,Hydrogen bonding,lonic bonding,Covalent bonding,Dipole-dipole interaction
"A hydrated salt when exposed to air loses water, it is called as",Efflorescent,Deliquescent,Hygroscopic,None
Calgon used as a water softener is,Na2[Na4(PO3)6],Na4[Na2(PO3)6],Na2[Na4(PO4)5],Na4[Na4(PO4)86]
Water is,Diamagnetic,Paramagnetic,Ferromagnetic,Non magnetic
A dilute solution of H2O2 can be concentrated by,Heating it under reduced pressure,Drying it over anhydrous CaCl2,Drying it over concentrated H2SO4,Drying it over anhydrous MgSO4
Fenton's reagent is,FeSO4 + H2O2,SnCl2 + HCI,AgNO3 + NH2OH,CuSO4+ NaOH
The oxide that gives H2O2 on treatment with dilute acid is,Na2O2,PbO2,MnO2,TiO2
Moderator in nuclear reactor is,Heavy water,Uranium 235,Uranium 238,Cadmium
The reaction H2S+ H2O2 → S+ H2O manifests,Oxidising nature of H2O2,Acidic nature of H2O2,Alkaline nature of H2O2,Reducing nature of H2O2
Volume strength of 1.5 N H2O2 solution is,8.4,4.8,3.0,8.0
H2O2 can be used as oxidising agent in acidic medium by its reaction with,PbS,K2Cr2O7,H2SO4,HCI
The permanent hardness of water is due to dissolved,Chlorides of Ca and Mg,Carbonates of K and Na,Bicarbonates of K and Na,Sulphates of K and Na
Calgon process for purification of water involves,Formation of soluble complex,Ion-exchange,Scum,Precipitation
The acid rain doesn't contain,Acetic acid,Sulphuric acid,Nitric acid,Carbonic acid
Which of the following is correct?,H2O is a polar solvent,Nitration in benzene is nucleophilic substitution,HNO3 acts as a reducing agent,CH3OCH3 and CH3CH2OH are metamers
Reaction between following pairs will produce hydrogen except,Cu + HCI,Fe + H2SO4,Mg + Steam,Na + alcohol
Action of water or dil. mineral acids on metals can give,di-hydrogen,mono-hydrogen,tritium,tri-hydrogen
