question,answer,wrong1,wrong2,wrong3
Drugs are taken in for:,Physical and mental welfare,Cure of disease,Prevention of disease,Mood alteration
Self-administration of a drug for non-medical reasons is:,Drug abuse,Drug dependance,Drug addiction,Drug resistance
Addiction is:,Physiological and psychological dependance,Intake of drug,Intake of tobacco or alcohol,Both a and b
The drugs which alters thoughts and perceptions without any sensory stimulus is:,Hallucinogens,Sedatives and tranquilizers,Cocaine,Opiate narcotics
Mood elevators drugs are also called:,Stimulants,Hallucinogens,Barbiturates,Alcohol
Psychotropic drugs include:,Both a and b,"Sedatives, tranquilizers and stumulants",Narcotics and hallucinogens,Vodka
Which of the following is narcotic:,Morphine,Cetamol,Aapirin,LSD
"Heroin, Morphine ans Codeine are collectively called:",Opiate narcotics,Hallucinogen,Tranquilizers,Barbiturates
Opium is extracted from:,Latex of unripe capsules of Palaver somniferum,Leaves of Thea sinensis,Erythroxylum coca,Coffee arabica
The most dangerous narcotic is:,Heroin,Morphine,Codeine,None
Which of the following drugs constitute the sleeping pills?,Barbiturates,Opiate narcotic,Hallucinogen,Stimulants
Drugs which reduce tension and anxiety without inducing sleep is;,Tranquilizers,Hallucinogen,Stimulants,Narcotics
The most commonly abused substance in the world:,Alcohol,Heroin,Tobacco,Cocaine
Which of the following is central nervous system stimulants?,Caffeine,Alcohol,Codeine,Heroin
Alcohol is :,CNS depressant,CNS stimulants,Hallucinogen,All
Which of the following is a CNS stimulants?,All,Amphetamines,Cocaine,Nicotine
Midest stimulants is:,Caffeine,Cocaine,Amphetamine,Nicotine
Hallucinogen is:,LSD,Morphine,Valium,Alcohol
"The stimulant present in tea, coca and coldrinks:",Caffeine,Cocaine,Tannin,Astringent
A drug used for providing mental calmness is:,Valium,Hashish,Nicotine,Doxapram
Alcoholism should be treated as:,A social problem,A medical problem,A psychosocial problem,A biog psychological problem
Chronic alcoholism affects an organ that is associated with:,Peritoneum,Pericardium,Periosteum,Perichondrium
Vitamin which is most likely to become deficient in alcoholics is:,Thiamine,Ascorbic acid,Niacin,Riboflavin
The commonest hazard of alcohol is:,Cirrhosis of liver,Infection,Lung cancer,Liver tumors
"In normal metabolism, greater part of alcohol is metabolised to aldehyde in:",Liver,Stomach,Lung cancer,Kidneys
Alcohol decreases:,All,The activity of CNS,The secretion of ADH,The blood sugar level
In chronic alcoholism liver gets damaged due to:,Accumulation of excess of fats,Storage of excess of glycogen,Secretion of more bile,Higher rate of alcohol detoxification
Which is not related with alcohol problem?,Miner's nystagmus,Cirrhosis of liver,Wernicke encephalopathy,Korsakoff's psychosis
"In drunk person, the part of brain to be affected first:",Cerebellum,Pins varolii,Medulla oblongata,Cerebrum
Which of the following is the commonest problem that results from smoking?,Chronic bronchitis,Pneumonia,Lung cancer,Asthma
Smoking is the causative factor of:,Lung cancer,Liver cancer,Intestinal cancer,Breast cancer
Nicotine is the predominant alkaloid present in the cigarrete tobacco. Nicotine primarily leads to:,Addiction,Chronic bronchitis,Lung cancer,Low blood pressure
Heavy smokers get quick infection of:,TB,Cholera,Typhoid,Pneumonia
The main harmful effects of smoking are:,Both a and c,Respiratory diseases,Gastrointestinal disease,Cardiovascular diseases
Tobacco smoking commonly produces:,Lung cancer,Lip cancer,Blood cancer,Cancer of pancreas
Tobacco chewing results in:,Mouth cancer,Lung cancer,Bone cancer,Leukemia
Nicotine causes:,Addiction,Chronic bronchitis,Asthma,Low blood pressure
Smoking causes:,Increase in blood pressure,Lowering blood pressure,Slow down of nerve transmission,Slow down of heart beat
No vaccine is available to prevent:,AIDS,Polio,Tuberculosis,Tetanus
"Who was the discoverer of HIV, the causative agent of AIDS?",Luc Montagnier,Gottlieb,Carleton Gajdusek,Louis Pasteur
AIDS is due to:,Reduction in number of helper T cells,Reduction in number of killer T cells,Autoimmunity,Non production of interferons
AIDS is causes by a virus called:,Human immunodeficiency virus (HIV),Variola virus,Polio virus,None
AIDS Stands for:,Acquired Immune Deficiency Syndrome,Active Immune Deficiency Syndrome,Acquired Immune Deficient Syndrome,Acquired Immune Destruction Syndrome
AIDS was first recognized in USA in:,1981,1971,1988,1986
Development of AIDS can be identified by:,CD4+ Count,ELISA,Western blot,FSR
Which one of the following is confirmatory test for AIDS?,Western blood test,ELISA test,Decreased T4/T8 ratio,Southern blot test
ELISA stands for:,Enzyme Linked Immunosorbent Assay,Enzyme Linked Immunodeficiency Assay,Energy Linked Immune Sorbent Assay,Enzyme Limit Immuno Sorbent Assay
Widal test is employed for detecting:,Typhoid Fever,AIDS,Tuberculosis,Tetanus
Which of the following is wrongly paired?,Typhoid =  Western Blot Test,AIDS= ELISA Test,TB= Mantoux Test,Cervical cancer = Pap's smear test
which one of the following is granulomatous disease?,TB,Typhoid,Cancer,All
