question,answer,wrong1,wrong2,wrong3
Which is the infective form of the malaria parasite?,Sporozoite,Oocyst,Bradyzoite,Trachyzoite
"After sporozoite gain entrance to the human body, it undergoes a developmental cycle first in the liver than in RBC, only after which fever is seen. This incubation period varies between plasmodium species, and ...................... species has the longest incubation period.",P. malariae,P. falciparum,P. ovale,P. vivax
Which of the following parasites is responsible for the cause of African sleeping sickness or Gambiense fever?,Trypanosoma,Leishmania,Entamoeba,Trichomonas
Schuffner's dots are related to ____________________.,RBC of man,Entamoeba histolytica,Leucocytes of frog,Epithelium of the stomach of the mosquito
The Malignant tertian malaria is caused by,Plasmodium falciparum,Plasmodium malariae,Plasmodium ovale,Plasmodium vivax
An important drug used for the treatment of malaria - Quinine is extracted from,Bark of Cinchona,Red ants,Calyx of cinnamon,Bark of tulsi
Malaria is caused by :-,Plasmodium Falciparum,Female culex mosquito,Female Anopheles Mosquito,Male Anopheles Mosquito
The incubation period of plasmodium falciparum is,6 - 12 days,10 - 15 days,28 - 30 days,all the above
Which of the following is quartan in periodicity?,P. malariae,P. vivax,P. ovale,P. falciparum
Which stage of malaria parasite causes recurrence of malaria?,Hypnozoite,Merozoite,Sporozoite,Gametocyte
Sexual stage of plasmodium occurs in,Intestine of mosquito,Salivary glands of mosquito,Human RBC,Human liver
Disease like malaria and filarasis are transitted through insect vectors. Vectors can be controlled by introducing fish.,Gambusa,Labeo,Hilsa,Catla
"Plasmodium initially multiplies within the liver cells and then attacks red blood cells, resulting in their rupture. Rupture of RBCs in assoicated with release of a toxic substances",Haemozoin,Hirudin,Heparin,Heptoin
Who discovered malarial parasite,Leveran,Ronald Ross,Grassi,Lansici
Sporogony in the life of plasmodium occurs in,Stomach wall of mosquito,RBC of man,Liver of man,Salivary glands of mosquito
Cryptomerozoites are the resultant cells of,Liver schizogony,Erthyrocytic schizogony,Sporogony,Gamogony
Which stage of malarial parasite escapes digestion inside stomach of mosquito?,Gametocytes,Trophozoites,Merozoites,Sporozoites
Malarial parasite can be best obtained from the patient,When temperature rises with vigour,5 hours after temperature become normal,1 hour before temperature rises,Anytime
The motile zygote after fertilization in plasmodium is called,Ookinete,Oocyte,Gamont,Trophozoite
The correct sequence of events of spirogony is,"Zygote, ookinete, oocyte, sporozoites","Zygote, oocyte, ookinete, sporozoites","Zygote, sporozoites, ookinete, oocyte","Ookinete, sporozoites, oocyte, zygote"
Which one of the following pierces the stomach wall and become encysted on the pretrophic membrane of stomach in plasmodium life cycle,Ookinete,Zygote,Oocyte,Merozoites
Vegetative phase of plasmodium in RBC of man is,Trophozoite,Merozoites,Cryptozoite,Sporozoite
Hemozoin a toxic pigment formed by digestion of haemoglobin by plasmodium inside RBC is at which stage,Fe+3,Fe+2,Fe,None
Which of the following is responsible for the clinical fever in malaria,Erythrocytics schizogony,Pre erythrocytic schizogamy,Eye defect,Ear defect
During the life cycle of plasmodium trophozoite represents,Feeding stage,Reproductive stage,Quiescent stage,Spore
Exflagellation takes place in,Micro gametocyte,Macro gametocyte,Sporozoite,Merozoites
Store house of malarial parasite in human body is,Spleen,Liver,Blood,Brain
