question,answer,wrong1,wrong2,wrong3
Primitive atmosphere of earth contains mixture of :,"Hydrogen, steam, ammonia, methane","Oxygen, ammonia, methane, water","Hydrogen, oxygen, ammonia, methane","Hydrogen, CO, water, methane"
Which of the following is a living fossil?,Gingko,Limulus,Archaeopteryx,Peripatus
The mutation theroy of evolution was proposed by:,Hugo deVries,Darwin,Lamarck,Hutchingson
The organs having similar function and different in structure or origin:,Analogous,Homologous,Vestigial,Parallel
Immediate ancestor of Cro-magnon man is:,Homo erectus,Homo sapiens,Homo habilis,Pre ape
The main drawback of Darwin's theory is:-,Variation,Natural selection,Survival of fittest,Struggle for existence
Theory of natural selection was given by:-,Charles darwin,Lamarck,Hugo de vries,Malthus
In 1859 an important paper in organic chemistry was jointly published by:-,Darwin and wallace,Darwin and Hugo de vries,Lamarck and Wallace,Lamarck and Darwin
The fins of fish and wings of birds are:-,Homologous,Analagous,Vestigial,None
Which of the following form left colored painting ?,Cro-magnon man,Neanderthal man,Java man,Peking man
All include characters acquired by man during the process of evolution :,"Erect posture,  increased cranial capacity and increase fertility","Erect posture, incresed fertility and speech development","Increased cranial capacity, increased fertility And for amen magnum below brain box","Increased cranial capacity, decreased fertility and foramen magnum below brain box"
Theory of special creation was given by:,Hebrew et al,Saurez,Aristotle,Thales
The ratio of mixture of Methane:Ammonia:Hydrogen in Miller Urey Experiment is:,2:1:2,1:1:1,1:2:3,3:2:1
Peripatus is a connecting link between:,Annelida and Arthropoda,Annelida and mollusca,Pisces and Amphibia,Plants and Animals
Mesozoic era is the age of:,Reptiles and Gymnosperms,Angiosperms,Reptiles,Gymnosperms
"According to the Darwin, evolution is:","Is a slow, gradual and continuous process",Is a sudden and discontinuous process,Is a slow bu discontinuous process,Is a sudden but continuous process
Natural selection can operate only in the presence of :,Variation,Genetic drift,Survival of fittest,Isolation
Pangenes of organisms are accumulated in:,Gametes,Zygote,Gene pool,Blood
Life cannot originate from inorganic materials now because of:,High atmospheric oxygen,Low atmospheric temperature,High degree of pollution,Absence of raw materials
Most accepted theory of origin of life is:,Oparin-Haldane Theory,Theory of special creation,Theory of abiogenesis,Theory of pangenesis
According to the theory of spontaneous generation:,"Life originated from decaying and rotating matter like straw, mud , etc",Life came from pre existing life,Life originated from outer space,Life came from both living and non-living matter
Fossil bird having reptilian character evolved during which period?,Jurassic,Triassic,Cretaceous,Carboniferous
Which of the following man had an orthogonathus face?,Cro-magnon man,Ramapithecus,Java ape man,Neanderthal man
Edaphology is the study of,None,Snakes,Elephants,Amphibians
Special creation theory was proposed by:,Father Saurez,Plato,Aristotle,Thales
Evolution means,History and development of the race with variations,History Of Race,Development of race,Progressive development of race
Doctrine of evolution concerned with:,Gradual changes,Special creation theory,Abiogenesis,Biogenesis
Cosmic Theory was proposed by:,Richter,Oparin,Arrhenius,Pasteur
Biogenesis was proposed by:,Reddi,Von Helmont,Pasteur,Oparin
Biogenesis states that life originate from:,Pre-existing life form,Non-living things,Both a and b,None
Theory of spontaneous generation also known as:,Abiogenesis,Biogenesis,Cosmozoic Theory,Neoplasm theory
According to spontaneous generation theory:,Organisms arose automatically from non-living matter,Organisms arise from water,Organisms arose only from other similar organisms,Organisms arose only from air
Life originated on our planet:,3.7 billion years ago,2 billion years ago,5 billion years ago,10 billion years ago
Father of concept of evolution is:,Empedocels,Aristotle,Lamarck,Darwin
Theory of spontaneous generation was given by:,Von Helmont,Louis Pasteur,F.Reddi,Spallanzani
There is no life in moon due to the absence of:,Water,Carbon,Nitrogen,Silicates
The sequence of origin of life may be considered as:,Amino acid-Protein-Chlorophyll,Chlorophyll-Starch-Glycogen,Nucleic acid-Amino acid-Chlorophyll,Chlorophyl-Nucleic Acid-Amino acid
"According to one of the most widely accepted theories, earth's atmosphere before origin of life consists of a mixture of:","Water vapor, H2, NH3 and CH4","H2, CO2, NH3 and CH4","O2, NH2, CH4 and H2O","O2, CH4, O2 and H2O"
First photosynthetic organism to appear on earth were:,Cyanobacteria,Bacteria,Green algae,Bryophytes
The first living forms were:,Eobiont,Prokaryotes,Eukaryotes,Coacervates
A compound havig very important role in prebiotic evolution was:SO,CH4,SO2,NO,SO3
Which nucleotide base did Miller and Urey abiotically synthesized?,Adenine,Thymine,Cytosine,Guanine
The term microsphere to coacervates was given by:,Sydney Fox,Oparin,Haldane,Miller
The first organism are believed to be,Chemoheterotrophs,Autotrophs,Saprotrophs,None
Ultimate source of energy for evolution of life is:,Sun,ATP,GTP,NOne
The ratio of mixture of methane:ammonia and hydrogen in Miller's Urey experiment was,2:1:2,2:2:1,1:2:2,1:1:2
Neo-Darwinism believes that new species develop through:,Mutation with natural selection,Mutations,Hybridization,Continuous variations with natural selection
Dinosaurs disappeared during ____ period,Cretaceous,Jurassiac,Triassic,Permian
