question,answer,wrong1,wrong2,wrong3
,1 - Chloro - 4 methylpentane - 1 - ol,"4,4-Diethyl- 1 - chloro butanol",1- Chloro - 4 - hydro - 2 - butanol,1 - Methyl - 4 - chloro - 4 - hexanol
The correct IUPAC name of the following compound is,1 - bromo-5-chloro-4-methylhexane-3-ol,6-bromo-2-chloro-4-methylhexane-4-ol,1-bromo-4-methyl-5-chlorohexane-3-ol,6-bromo-4-methyl-2-chlorohexane-4-ol
IUPAC name of,2-methyl propanoic acid,Propanoic acid,1-methyl propanoic acid,ethanoic acid
"The IUPAC name of the following compound 

CH3-C(CH3)2-CH=C(CH3)2 is","2,4,4-Trimethylpent-2-ene","1,1,3,3-Tetramethylbut - 1 - ene","1,3,3-Trimethylpent-2-ene","2,2,4-Trimethylbut-4-ene"
The IUPAC name of,4-Hydroxy-2-methylpentanal,4-Hydroxy-1-methylpentanal,3-Hydroxy-2-methylpentanal,3-Hydroxy-3-methylpentanal
is,3-Aminoprop-2-enal,1-Aminoprop-2-enal,1-Amino-2-formylethene,3-Amino-1-oxoprop-2-ene
"IUPAC name of 

CH2=CHCN is",2 - Propenenitrile,Ethenenitrile,Vinyl cyanide,Cyanoethene
The structure of 4-methylpent-2-en-1-ol is,,CH3-CH2-CH=CH-CH2OH,,
The structural formula of 2-methyl-2-butene is,CH3CH=C(CH3)-CH3,CH3-CH(CH3)-CH=CH2,CH3-CH2-C(CH3)=CH2,CH3CH=CH-CH3
The compound which has one isopropyl group is,2-Methylpentane,"2,2,3,3-Tetramethylpentane","2,2-Dimethylpentane","2,2,3-Trimethylpentane"
IUPAC name of CH3-O-C2H5 is,Methoxy ethane,Dimethyl ether,Ethyl methyl ether,Methyl ethyl ether
,Ethanoic anhydride,Ethanoic acid anhydride,Acetic anhydride,Diethanoic anhydride
The IUPAC name of tert-butyl chloride is,2-Chloro-2-methylpropane,4-Chlorobutane,2-Chlorobutane,1-Chloro-3-methylpropane
One among the following is the correct IUPAC name fr the compound,N-Ethylmethanamide,N-Formylaminoethane,N-Ethylformylamine,Ethylaminomethanal
Functional groupof ester is,-CO2-,-COOH-,-CO-,-SH-
The IUPAC name of CH3CH=CHCOOC2H5 is,Ethyl but-2-enoate,Ethyl but-1-enoate,Ethyl prop-2-enoate,None of these
The correct IUPAC name of,"Ethane-1,2-dial",Formyl methanal,Formyl methanoate,Oxomethanal
The IUPAC name of the given compound is,"Propane-1,2,3-tricarbonitrile","1,2,3-Tricarbonitrile propane","Propane-1,1,1-tricarbylamine",3-Cyano pentane dinitrile
