question,answer,wrong1,wrong2,wrong3
"Two spheres one solid and other hollow. Both are made of same material and ofsame radius. If both spheres are heated to the same temperature, then expansion will be more is",same,solid,hollow,either a or b
"When two rods of different length L1 and L2 of different materials of linear expansivities α1 and α2 have same difference in length at any temperatue, then",L1/L2 = α2/α1,L1/L2 = α1 / α2,L1/L2 = α1^2 / α2 ^2,None
When a liquid ket in a copper vessel has its apparent expansion is 6x 10^-6 C when the sme liquid is heated in steel vessel its apparent expansion is 24 x 10^-6. The linear expansivity of copper is18 x 10^-6 C. Find out the linear expansivity of steel.,12 x 10^-6/ C,9 x 10^-6/ C,24 x 10^-6/C,36 z 10^-6/C
'C' and 'S' are the coefficient of apparent expansion of liquid in copper and silver vessels respectively. The coefficient of linear expansion of copper is A then that of silver is,(C+3A-S)/3,(C-3A-S)/3,(C-3A-S)/3,(C-3A+S)/3
The resistance of platinum wire at 0C is 2 ohm and 6.8 ohm at 80 C. The temperature coefficient of resistance ofthe wire is,3 x 10^-2 /C,3 x 10^-3 /C,3 x10^-1/C,3 x 10^-4/C
"The coefficient of cubical expansion of brass and iron are 54 x 10^-6 /C and 36 x 10^-6/C respectively. If brass and iron rods show the same 3difference of length at all temperatures, their lengths are in",2:3,3:2,9:4,4:9
Steel rails 40m long are laid on a day when the temperature is -10 C. The spce that must be left between the rails to allow for expansion at a temperature of 40 C is (coefficient of linear expansion is 12 x 10^-6/C),0.0243m,0.012m,0.014m,0.01m
A clock keeps correct time at 20 C. it has metallic pendulum. the temperature falls to 10 C. If the coefficient of linear expansion of the metal is 2x 10 ^-5/c then the number of seconds lost or gained by the clock per day is,gains 8.64 sec,loses 8.64 sec,loses 19.28 sec,gains 19.28 sec
A pendulum clock gains 5 seconds per day at 16 C and loses 15 seconds per day at 40 C. Then the clock keep correct time at,22 C,32 C,20 C,24 C
"If a bimetallic strip is heated, it will",bend towards the metal with lower thermal expansion coefficient,bends towards the metal with higher thermal expansion coeffie=cient,not bend at all,twist itself into a helux
A liquid is placed in a graduated glass clinder. The coefficient of real expansion of the liquid is thrice that of linear expansion of the glass. On heating the level of liquid will,Approximately remainsthe same,First decreases then increases,Decreases,increases
