question,answer,wrong1,wrong2,wrong3
Heat required to convert 1 gm of ice at 0 C to steam of  100 C,716 cal,0.1 K cal,1000 cal,750 cal
Water is used as coolant due to,High specific heat,Low specific heat,Universal solvent,Anomalous expansion
A 10 kg iron bar (specific heat 0.11 cal/ gm C) at 80 C is placed on a blockof ice (latent heat of fusion = 80 cal/gm). How much ice melts.,1.1 kg,10 kg,16 kg,60 kg
The relative humidity is 100% then the room temperature is equal to;,dew point,4 C,0 C,100 C
The door of a running refrigerator is opened. Which of the following is true?,the temperature of the room will increase gradually,The temperature ofthe room will decrese,The temperature of the room will increase to that of refrigerator,None
The liquids of same volume have densities in the ratio 1:3 and specific heat in the ratio 3:1. The ratio of their heat capasities will be :,1:1,1:9,9:1,1:3
"In a particular day, the relative humidity is 100% and the room temperature is 30 C then dew point",30 C,0 C,70 C,100 C
Thelatent heat of fusion of ice is 80 cal/gm. The specific heat capacity of ice is 0.5 cal/gm C. Find the energy required to change 1 kg ice from -10 C to 50 C,135 kcam,155 kcam,120 kcal,180 kcal
When two blocks of ice are pressed together they join to form one block because,Of decrease in melting point of ice (due to pressure),Of heat production,Of increase in specific gravity,Of increase in melting point of ice (due to pressure)
1g of ice at 0 C and 1gm of steam at 100 C are mixed. The resulting tempeature is,100 C,0 C,230 C,50 C
The ratio of the densities of the two bodies is 3:4 and specific heat i in the ratio 4:3. The ratio of their thermal capacities per unit volume is,1:1,9:16,16:9,3:2
"The heat required to melt 1 gm ice is80 cal. A man chew 60 gm of ice in 1 minute, then power of man is:",336 W,0.336 W,7000 W,0.1 W
If a body cools from 50 C and 49.9 C in 5 second and surrounding temperature in 30 C. The time required to cool the same body from 40 C to 39.9 C is,10 seconds,5 seconds,20 seconds,15 seconds
"If an object cools from 80 C to 70 C in one minute in the room at 30 C, the time it will take to cool from 50 C to 40 C is",3 min,2 min,4 min,5 min
