question,answer,wrong1,wrong2,wrong3
Which cation with dil. HCl/H2S gives ppt.?,Cd(2+),Mg(2+),Zn(2+),Mn(2+)
Compound X is heated with AgNO3 forms white ppt. & again when it is treated with H2SO4 & colour is not formed,BaCl2,CuCl2,Ba(NO3)2,Pb(NO3)2
The compound formed during borax bead test is:,metal metaborote,orthoborate,boric acid,tetraborate
No precipitation of metal sulphides takes place if H2S is passed into,acidifled solution of nickel sulphate,acidified solution of copper sulphate,ammoniacal solution of zinc Sulphate,acidified solution of cadmium sulphate
Which of the following ppt will not be seen when H2S gas is passed in:,acidified ZnSO4 solution,acidified CuSO4 Solution,neutral CuSO4 solution,ammonical ZnSO4 solution
A precipitate would be expected when H2S is passed into,A solution of Cadmium sulphate acidified with HCI,A solution of Zinc sulphate acidified with HCI,A solution of Ferrous sulphate acidified with HCI,A solution of Nickel sulphate acidified with HCl
Which of the following reagent is used to test sulphate ion of the salt?,Barium chloride,Silver nitrate,Mercurous nitrate,Dilute hydrochloric acid
Which of the following gives ppt. in an acidic solution,Hg(2+) + H2S→ HgS+ 2H(+),Mn(2+) + H2S→ MnS + 2H(+),Ni(2+) + H2S→ NIS + 2H(+),Zn(2+) + H2S→ ZnS + 2H(+)
A salt when treated with dil. H2SO4 gives suffocating smell which decolourises acidified potassium dichromate. The salt may be,SO3^(2–),Cl–,CO3^(2–),nitrate
"For dilute acid: HCI, H2SO4, HNO3; Which one of the following is common to all",React with aqueous CaCO3 to give precipitate,React with aqueous AgNO3 to give precipitate,React with aqueous BaCl2 to give precipitate,React with aqueous Na2CO3 to give CO₂
"On cobalt nitrate test, the salt appears blue it is",Al,Mg,Ca,Zn
"In group IV element, when H2S gas is passed through salt solution, flesh coloured salt formed is",MnS,CuS,MgS,FeS
Which of the following metal does not give cobalt nitrate test,K,Zn,Mg,Al
One of the following not giving precipitate in acidic medium is,ZnS,CuS,PbS,SnS
A salt NaX2 reacts with MgCl2 to form a white coloured solution. The anion is most likely to be:,CO3–,HCO3–,SO4–,HSO4–
Which of the following gives black ppt with H2S & on adding NaOH turns white in colour,PbSO4,BaSO4,SrSO4,CaSO4
Borax bead test of Cr (Chromium) is:,Green,Brown,Violet,Blue
"In solid CuSO4.5H20, copper is coordinated to",Four water molecules,Five water molecules,One sulphate ion,One water molecule
The formula of ferrocene is,[(C5H5)2Fe],[Fe(CN)6]3,[Fe(CN)6]4,[Fe(CO)5]
Chomate salt when dissolved in acid change to orange colour due to the formation of,Cr2O7(2+),Cr203,Cr(OH)2,None
In the compound water the ligand has:,One donor atom coordinates to central ion at two positions and the donor atom is O,"Two donor atoms, coordinates to central ion at two positions and the donor atom is H",Two donor atom coordinates to central ion at one position and the donor atoms is H,One donor atom coordinates to central ion at one position and the donor atom is O
Reaction with AgNO3 is best suited for,CH3CH2Cl,Ethane,CH3CH2COCI,CICH2—CH2CI
"When starch is treated with Kl solution the following product is then treated with iodine, the successive colour changes takes place from",Colorless to blue black,White ppt.,Red ppt.,Blue black to colorless
Which of the following is test for ammonia?,Nessler's reagent,Microcosmic salt,Borax bead test,Cobalt nitrate test
The type of precipitate that is most difficult to filter in quantitative analysis is:,gelatinous,curdy,insoluble,crystalline
The main culprit for ozone layer depletion is,Chlorofluorocarbons,Hydrocarbons,Chlorocarbons,Tetrafluroethane
The acid rain does not contain,Acetic acid,Sulphuric acid,Nitric acid,Carbonic acid
Ozone is found in which layer?,Stratosphere,Troposphere,lonosphere,Exosphere
Photochemical smoke is seen during,Summer season during day time,Summer season during night time,Winter season during day time,Winter season during night time
Which is considered as a major cause of skin related disorder in coming future?,Ozone layer depletion,Soil pollutant,Water pollution,Air pollution
Which of the following constituent plays main role in depletion of depletion layer in stratosphere?,Chlorofluorocarbon,CO + CO2,fluoride,lead
Which one of the following can cause skin diseases in coming days due to excessive use?,water pollution,use of detergents,air pollution,soil pollution
What is the main cause for depletion of ozone?,CFC,TFC,THF,Foams
Which one of the following pairs of ions cannot be separated by H2S in dilute HCI acid,"Bi(3+) , Sn(+)","Al(3+) , Hg(2+)","Zn(2+) , Cu(2+)","Ni(2+) , Cu(2+)"
Which of the following is not a green house gas?,O₂,CFCs,CO₂,All
Which of the following is a measure of organic pollution of water?,BOD,DO,COD,MOD
All are man caused gases now seen in atmosphere:,"SO2 , C2H4 , CO","CO ,O2 , N","CO2 , SO2 , C2H4","SO2 , CO , CO₂"
Depletion of ozone layer in the upper atmosphere reduces Earth's natural protective layer the compound which cause depletion of ozone layer,CCI3F,CF4,CHCIF2,CH2F2
Ozone hole in stratosphere is mainly due to,Chloroflurocarbon,Chloroform,Tetrachloromethane,Carbondioxide
