question,answer,wrong1,wrong2,wrong3
Homo erectus differed from Cro-magnon man in,Large jaw,Small jaw,Drawing paintings,Making tools
The earliest and most primitive anthropoid Ape during Oligocene is called,Parapithecus,Propliopithecus,Proconsul,Limnopithecus
The cranial capacity of java ape-man was about,900cc,560cc,1000cc,1300cc
The first fossil of African Ape man was discovered by :,Raymond Dart,E.Dubious,Arthur Keith,Dr. Leakey
Which of the following Fossil men had religious feelings of worship and used burial customs?,Neanderthal man,Peking man,African Ape-man,Java man
Homo erectus is the zoological name of,Both 1 and 2,Java Ape-man,Peking man,Neanderthal men
The drama of human evolution was dramatized in :,Asia and Africa,Asia and Java,China and India,Africa and Java
Neanderthal man differs from modern man in,Protruding jaws,Receding jaws,Could make good tools,Could make good pictures
Java man is,Pithecanthropus erectus,Pithecanthropus,Homo rhodesiensis,Homo heidelbergensis
Which of the following is true for Homo Sapiens,Developed chin,Protruded mouth,The cranial capacity of 1450 cc,Omnivorous
The skull of Pithecanthropus was found in,Java,Africa,America,All
Which of the fossil men had cranial capacity near to modern man?,Neanderthal,Australopithecus,Homo erectus,Sinanthropus
Geological evidence for a most primitive man-like animals is found in,Central Africa,China,India,Australia
The major advantage of bipedal locomotion is that it,Releases for Limbs for other purposes,Increases speed,Reduce body weight,Provides better support to the body
Fire was first used for protection and cooking by,Java man,Neanderthal man,Packing man,Cromagnon man
The theory of evolution Indicates that,Man and Apes had a common ancestor,Man evolved from Monkeys,Monkeys evolved from men,Man evolved from dinosaurs
Human ancestors first to till it hurts and wear animal hides were,Neanderthal man,Peking man,Java man,Cro-magnon man
Human ancestors fully left cave paintings were,Cro-magnon man,Neanderthal man,Java man,Peking man
Apes are characterized by,Absence of tail,Large cranial cavity,Prehensile tail,Erect posture
The epoch of human civilization is,Holocene,Pliocene,Piestocene,Palecene
Which of the following Fossil men was an expert in making tools weapons and paintings?,Cro-magnon man,Java Apeman,Peking man,Neanderthal man
The recent and sisters of modern man were,Cro-magnon  man and Neanderthal man,Java Ape man and Peking man,Peking man and Rhodesian man,Rhodesian man and Cro-magnon man
Homo belongs to class,Mammalia,Primate,Prosimill,Anthropoidea
Prosimii includes,Both 1 and 2,Lemur,Tarsier,New world monkey
The surviving members of the family Hominidae are,Homosapiens,Homo halls,Homo erectus,All of the above
Nutritionally Australopithecus was,Omnivorous,Carnivorous,Herbivorous,Frugivorous
Remains of neanderthal man were found in the Neander valley of,Germany,France,England,Egypt
Fossil Lucky belongs to,Australopithecus,Ramapithecus,Dryopithecus,Aegyptopithecus
Dryopithecus had an ape-like character,All of the above,Knuckle walker,U-shaped dental arch,Slightly projecting snout
Which is not a human character?,Prominent brow ridges,Cre-centric dental arch,Upright Incisor,Both 1 and 2
