question,answer,wrong1,wrong2,wrong3
The methyl magnesium bromide is added to CO2 then product formed is,Ethanoic acid,Methanoic acid,Ethanol,Formaldehyde
Which is the weakest acid ?,Acetic acid,Chloroacetic acid,Dichloroacetic acid,Trichloroacetic acid
Flavoring agents used in jam is,Ester,Carboxylic acid,Alcohol,Ether
Formic acid is formed by the reaction between............,glycerol and (COOH)2,(CH2COO)Ca and (HCOO)2,(CH3COO)2Ca is heated,(HCOO)2Ca is heated
Splitting of ester by alcohol is,Alcoholysis,Acidolysis,Hydrolysis,Esterification
Aldehyde and alcohol on oxidation gives,Acid,Alkane,Ether,Ester
"Methyl magnesium iodide, after treatment with CO2, on further hydrolysis forms",Ethanoic acid,Methanoic acid,Methyl iodide,Acetaldehyde
The complete hydrolysis of hydrogen cyanide produces,Formic acid,Acetaldehyde,Formaldehyde,Acetic acid
"A compound X when reacted with NaCN followed by hydrolysis gives acetic acid. The compound ""X"" is",Methyl Chloride,Ethanol,Ethyl chloride,Ethanoyl chloride
"End product X is

CH3COOH------NH3----->A+ Heat--------> B-----P2O5-----> X",Acetonitrile,Ethanamide,Acid anhydride,Ethyl amine
The compound formed as a result of oxidation of ethyl benzene by KMnO4 is,Picric acid,Salicylic acid,Benzoic acid,Ascorbic acid
Which of the following is acetylating agent ?,Acetic anhydrite,Sodium acetate,Acetic acid,Acetaldehyde
"In the following chain of reactions , which of the following is product C?

CH3COOh----NH3---->A------△---->B---P2O5---->C",Acetonitrile,Ammonium acetate,CH4,CH3OH
Which of the following doesn't contain carboxylic group?,Picric acid,Salicylic acid,Benzoic acid,Ascorbic acid
The product of acylation is,ethyl acetate,acetyl chloride,acetic anhydride,ethyl chloride
".Molecular weight of acetic acid is 60 but when determined, it is found 120, because:",It exists as dimer,It is a weak acid,Of intra-molecular hydrogen bonding,It is highly volatile
"Reaction between alcohol and carboxylic acid is
known as:",esterification,Hydrolysis,Rearrangement,Fermentation
The reverse of esterification is known as,Ester hydrolysis,Ester acidolysis,Transesterification,Neutralization
The explosive nitroglycerine is:,An ester,A soap,A salt,A complex compound
"Which of the following react with cold KMnO4 to
produce formic acid?",ethyne,butyne,propyne,butene
.Reimer Tiemann's reaction is used in the manufacture of,Salicylic acid,Benaldehyde,Phenol,Alcohol
Which of the following reagents reduces carboxylic acid  directly into a hydrocarbon on heating ?,HI and red P,LiAlH4,NaBH4,Na in ethanol
The reduction of acetic acid by phosphorous in HI at 150°C gives,Ethane,Acetaldehyde,Ethanol,None
"When oxalic acid is treated with glycerol at 110° C
then is formed:",Methanoic acid,Methanol,Methanal,Ethanoic acid
"When oxalic acid is treated with glycerol at 110° C
then is formed:",Methanoic acid,Methanol,Methanal,Ethanoic acid
"Acetic acid is treated with NH3 and the product
when warned gives X, X when warmed with P205
gives Y, Y may be",CH3CN,CH3OH,НСНО,CH3 COOH
The product formed when oxalic acid and glycerol are heated is,Formic acid,HCHO,CH3 CHO,CH3 COOH
Dehydration of acetamide with P2Os gives,acetonitrile,methylamine,ethylamine,acetic acid
Formic acid is formed by,Oxalic acid and glycerol,Calcium formate,Calcium acetate,Calcium carbonate and calcium formate
.Acetamide on treatment with Br2 and NaOH gives configuration,CH3NH₂,CH3COOH,CH3OH,CH3-CH2-OH
"When a colourless liquid is treated with Cao it
give sod. salt of carboxylic acid and ammonia. The
liquid is",Propamide,Propanoic acid,Formamide,Propanoate
Soap is salt of,fatty acid,sulphonation,lipid,ester
Salicylic acid consists of,one-COOH&one -OH,one -COOH group,two- COOH group,one OH group
Claisen condensation of ester involves,a-hydrogen,B-hydrogen,y-hydrogen,𝛿-hydrogen
Vinegar doesn't contain all except,CH3COOH,C₂H5OH,HCOOH,CH3CHO
Salol is prepare from:,Salicylic acid and phenol,Salicylic acid and methyl alcohol,Both,None of the above
The conversion of acetaldehyde into ethyl acetate in presence of aluminium ethoxide is called,Tischenko reaction,Aldol condensation,Cope reaction,Benzoin condensation
C6H5CHO+ CH3CHO----NaOH--->C6H5CH = CHCHO is called,Claisen condensation,Benzoin condensation,Knoevenagel reaction,Condensation
Hydrolysis of fats and oils in the body produces:,a carboxylic acid,carbon dioxide,a lipase,an astero
The number of molecules of ATP produce in the liquid metabolism of a molecule of palmitic acid is:,130,36,56,86
he rxn C6H5CHO+ CH3CHO---NaOH---->CHCHO is called,Claisen condensation,Benzoin condersation,Knoevengel reaction,Condensation
"The compound formed as result of oxidation of
ethyl benzene by KMnO4 is:",Benzoic acid,Benzyl alcohol,Benzophenone,Acetophenone
"Glycerol on treatment with oxalic acid at 110°C
form:",Formic acid,CO₂ and Co,Allyl alcohol,Glycerol
The reaction of HCOOH with H₂SO4 to produce,CO,CO₂,NO,NO₂
Alkaline hydrolysis of esters is known as:,saponification,esterification,dehydration,alkalination
"NOT applicable to substance used as artificial fruit
flavours:",Readily soluble in water,Preparation possible by reacting Carboxylic acid,"Derivatives of Carboxylic acid where the acids OH
is replaced by OR",Boiling point below that of corresponding acids
Which is not true about -COOH group?,its atomic wt. is 45,they behave as acids,they are formed by oxidation of aldehydes,in presence of P₂0s they form anhydrides
"The ester CH3CH₂CH₂COO CH3 is responsible for
aromad of apples. When this ester is hydrolysed in
stomach, what is the emperical formula of organic acid produced",C₂H4O,CH₂O,C3H6O2,CH40
CH3CO2C3H7 undergoes hydrolysis with NaOH to give,C3H7OH,CH3OH,C3H7COONa,C3H7COOH
Which of the following is acid anhydride?,CO2,Al2O3,CO,CaO
An unknown compound is insoluble in water but dissolves in sodium bicarbonate with a release of carbondioxide bubbles. The compound is almost certainly:,a carboxylic acid,an aldehyde,an amine,an alcohol
Acetic acid and methanol are obtained on a large scale by destructive distillation of,Wood,Coal,Turpentine,Crude oil
