question,answer,wrong1,wrong2,wrong3
The branch of biology dealing with micriscopic study of tissue is called,Histology,Osteology,Dermatology,Hematology
Epithelial Tissue arise from,All,Endoderm,Ectoderm,Mesoderm
Squamous epithelium forms the inner lining of,Lung alveoli,Kidney,Stomach,Salivary duct
Cells of germinal epithelium are,Cuboidal,Columnar,Squamous,Ciliated
Lining of stomach and intestine is formed of,Columnar epithelium,Squamous epithelium,Cuboidal epithelium,Stratified epithelium
Epithelium covering in tongue and buccal,Stratified squamous,Pseudostratified,Simple squamous,Stratified columnar
Nails & hoofs are derivatives of,Keratin,Hair,Eleidin,Fibrin
Transtional epithelium is found in,Ureter,Kidney,Larynx,Fallopian tube
Mammary gland and sweat glands are made of,Stratified cuboidal epithelium,Stratified columnar epithelium,Simple cuboidal epithilium,Pseudostratified epithelium
Lining of trachea is made up of,Pseudostratified epithelium,Stratified epithelium,Simple squamous epithelium,Stratified cuboidal epithelium
Which one is a aporine gland,Mammary gland,Oil gland,Goblet cell,Parotid gland
Areolar connective tissue joins,Integuments with muscles,Bone with bone,Fat body with muscles,Bone with muscles
The connective tissue characterized by the presence of,Abundant matrix,No matrix,"Living material, the matrix",None
Mast cells secrete,Histamine,Myoglobin,Haemoglobin,Hippurin
An anticoagulant secreted by areolar connective is,Heparin,Histamine,Serotonin,None
A newborn baby has the cold resisting device due to,Brown fat,Adipose fat,Fat rich in reticular tissue,None
Fibroblast cell synthesises,All,Collagen,Elastin,Reticulin
The biceps muscle is attached to humerus by means of,Tendon,Ligament,Fibrous connective tissue,Muscle Fibre
Which is wrong?,Both,Ligament is dense irregular Connective tissue.,Cartilage is dense irregular Connective tissue.,None
Sprain is due to excessive pulling of,Ligament,Tendon,Muscle,Neuron
Which of the following cartilage does not possess perichondrium?,White fibrous,Hyaline,Yellow elastic,Calcified
Elastic cartilage is found in,All,Epiglottis,Eustachian tube,Ear pinna
Haversian canals are found in,Bone,Spinal cord,Brain,Cartilage
Bone forming cells which secrete ossein protein are called,Osteoblasts,Osteocytes,Osteoclasts,Chondroblast
The ends of long bones contain,Red bone marrow,Yellow bone marrow,Both,None
The bone marrow is composed of,Adipose tissue areolar tissue and bood vessels,Muscle fibres and adipose tissue,Areolar tissue and adipose tissue,Adipose tissue and calcified cartilage
Muscular tissue is differentiated into,"Unstraited, striated and cardiac","Unstraited, striated","Striated, cardiac and skeletal","Cardiac, unstriated"
Pigment responsible for the colour of 'red muscle' is,Myoglobin,Haemoglobin,Chlorocruoirn,Haemoerythrin
Contractile fibers of muscles are called,Myofibrils,Neurofibrils,Collagen fibres,Yellow fibres
Smooth muscles are found in,All,Urinary bladder,Alimentary canal,Trachea
The dark band is straited muscle fiber from which light can't pass is,A-band,I-band,Z-band,H-band
Ca++ binds to ........ during contraction,Troponin,Actin,Myosin,Tropomyosin
'A' band contains,Both Actin & myosin,Only Actin,Only myosin,Chondrin
Muscle fatigue is due to,Excessive accumulation of lactic acid,Less O₂,Excess of CO₂,Excess Acetic acid
Bundles of straited muscle fibres are,Perimysium,Periosteum,Epimysium,Endomysium
Nissl's granules are absnt in,Axon,Dendrite,Axon and dendrited,Cyton
"In nerve cells, proteins are synthesized in",Cell body,Axon,Dendron,Synapes
The efferent part of a neuron is,Axon,Dendron,Dendrite,Cyton
Multipolar neuron means,With many dendrons and one axon,With one dendron and one axon,With one dendron and no axons,With many dendrons and no axons
Neuroglia cells are,All,Astrocytes,Oligodendrocytes,Microglia
Myelin sheath is present around the,Medullated nerve fibre,Non-medullated nerve fibre,Medullated and non-medullated nerve fibres,Muscles fibres
A nerve is a bundle of,Axons,A ganglia,Dendrites,Synapse
