question,answer,wrong1,wrong2,wrong3
The percentage of mass which changes into energy fission is in the order of:,0.1%,10%,1%,0.4%
Activity of 1.85x 10^12 dps is nearly equivalent to:,50 curie,40 curie,30 curie,60 curie.
Thorium (Atomic mass 232 and atomic no-90) is converted to lead (Atomic mass-208 & atomic no-82) then no. of α & B- particles emitted is,6α & 4B,4α and 6B,8α and 2B,5α and 6B
"75% of substance decays in 32 min, then 50% decays in",16 min,24 min,8 min,32 min
The half life of a radioactive substance is 2 months then the substance left after 1 year is,M/64,M/32,M/16,M/8
Two proton and a deuteron fuse to form a nucleus with a positron. The product nucleus may be,alpha particle,neutron,proton,neutrino
on1 + 92U235 --->56Ba141 + 36Kr92 + 3on1+ 0.1824 represents a nuclear fission reaction. The energy released in this reaction is,169 MeV,100 MeV,259 MeV,200 MeV
Energy released by the fission of 1kg of U-235 is approx.,5.13 × 10^26 J,200 MeV,931 MeV,5.13 × 10^2 MeV
"A nucleus with mass number 220  initially at rest emits an a-particle. If Q- value of the reaction is 5.5eV, K.E. of an a-particle is",5.4 MeV,4.4 MeV,5.6 MeV,6.5 MeV
The disintegration constant of a radioactive simple is 3 x 10^-6s-1. It's half is,2.7 days,21.0 days,10.8 days,5.4 days
Law of radioactivity is generally expressed as N = = No e-λt have usual meanings. A plot of N against time of will be,Exponential,Straight line,Parabola,Hyperbola
Initial mass of a radioactive sample of half-life 6 hours is 0.8kg. The amount of sample left after 1 day (24 hrs) is,50gm,0,100gm,200gm
"If the half life of a radioactive radium is 1600yrs. Then find the radium left after
4800 yrs",1/8,1/2,1/16,1/4
The half life of a radioactive substance is 20 min. Difference between the points of time when it is 33% disintegrated and 67% disintegrated is approximately,20min,10min,30min,40min
A radioactive substance has a half life of one hour. The fraction of substance that would remain un-decayed in three hours will be,12.5%,8.5%,25.%,87.5%
The rate of disintegration of radioactive substance at a certain instant of time is directly proportional to,no. of unreacted atoms.,no. of reacted atoms.,no. of total atoms at the beginning,half life time.
Half life of radioactive substance is 10yrs and time taken for 99.9% is,100 yrs,20 yrs,30 yrs,40 yrs
What fraction of a radioactive substance  of initial mass is left after 4 days if its half life time is 8 days,No/√2,No/2,No,No/4
1 curie of radioactivity is equal to how many Rutherford's,3.7*10^4,10^6,3.7*10^6,3.7*10^-12
A radioactivity substance decays to 1/16th of initial activity in 2 hours. The half-life of the radioactive substance expressed in minute is,30min,120min,60min,15min
The half life of radium 1600 years. When will the 100gm of the substance reduces to 25gm?,3200 years,4800 years,6400 years,7200 years
13Al27  is a stable isotope 13AI27 is expected to disintegrated by,neutron emission,a emission,B-emission,proton emission
A radioactive substance decays as: 6C12-->5B11+ X. The substance 'X' is,neutrino,"electron,","neutron,",photon
A radioactive substance has a half life of 5 minutes. The amount of substance decayed in 20 minutes is,93.75%,25%,6%,6.25%
The half life of Radium is 1600 years. When will the 100gm of the substance reduces to 25gm?,3200 years,4800 years,6400 years,7200 years
The no. of atoms initially is 10. If the half life of materials is 2 days then after 5 days the activity in Becquerel is,7 × 10^11,8 × 10^11,7 × 10^12,8 × 10^12
Correct decay for an emission of B-particle from a radioactive nucleus zX\(zX^A\) may be,\(zX^A= z+1 Y^A +B\),zX^A= z+1 Y^(A+1) +B,zX^A= z Y^(A-1) +B,zX^A= z-1 Y^A +B
"The activity of a sample of radioactive material is A, at time t1 and R2 at time t2 (t2 >t1), its mean life in time T is such that",R1T1=R2T2,\(\frac{R1-R2}{t2-t1}=constant\),\(\)R2= R1e^(t1-t2)/T,\(\)R2= R1e^(t1/Tt1)
The fraction of the radioactive substances decayed in a time equal to the average life,\(\frac{e-1}{e}\),\(\frac{1-e}{e}\),\(\frac{1}{1-e}\),1/e
What percentage of original radioactive atoms is left after four half lives,6%,20%,10%,1%
"Half life of a radioactive substance is 20 min, then time between 33% decay and 67% decay will be",20 min,40 min,50 min,10 min
The mass number of a nucleus is,Sometimes more than and sometimes equal to atomic number,Always less than its atomic number,Always more than its atomic number,Equal to its atomic number
The activity of a radioactive sample falls from 600 s-1 to 500 s-1 in 40 minutes. Calculate its half life,152 min,140 min,146 min,135 min
"75% of substance decay in 32 min, then 50% decay in",16 min,24 min,8 min,32 min
One Curie is the activity of 1 gram if,Radium,Uranium,Polonium,Radon
"Two radioactive materials X1 and X2 have decay constants 10λ and λ respectively. If initially they have the same number of nuclei, then the ratio of the number of nuclei of X1 to that of X2 will be 1/e after time.",\(\frac{1}{9λ}\),\(\frac{1}{10λ}\),\(\frac{1}{11λ}\),\(\frac{11}{10λ}\)
Activity of 1.85 x 10^12 dps in nearly equivalent to,50 curie,40 curie,30 curie,60 curie
If  \(N1=Noe^{-λt1}\) then the number of atoms decayed during time interval from t1 to t2 (t2>t1),\(Nt1-Nt2 = No(e^{-λt1}-e^{-λt2})\)),\(Nt2-Nt1 = No(e^{-λt2}-e^{-λt1})\),\(Nt2-Nt1 = No(e^{-λt2}-e^{-λt1})\),None
A radioactive elements has half life of 75 yr. What is the fraction will remain after 150 yr.,25%,75%,50%,68%
A radioactive source had decayed to 1/64th of its initial activity in 60 days The half life of source is,10,11,15,20
N-atoms of a radioactive substance emits n a-particles/sec on decaying. The half life if the radioactive substance is,\(\frac{0.693N}{n} sec\),\(\frac{n}{Nsec}\),\(\frac{N}{nsec}\),\(\frac{0.693n}{N} sec\)
If one the end A of a wire is irradiated with a-rays and the other end B is irradiated with B-rays then:,A current will flow from A to B,A current will flow B to A,No current flows in the wire.,a current will flow from each end to the mid-point of the wire
A radioactive source has a half life of 3hr. A freshly prepared sample of the same emits radiation 16 times the permissible safe value. The minimum time after which it would be possible work safely with source is,12 hr.,6 hr.,18 hr,24 hr.
A radioactive isotope has a half life of T yr. After how much time is its activity reduced to 6.25% of its original activity?,4T,2T,3T,5T
The (e/m) of B-particle emitted in a radioactivity nuclide in comparison to the value of (e/m) for photoelectron is,less,equal,more,cannot be completed
There are two radioactive nuclei A and B. A is an alpha emitter and B is a beta emitter. Their disintegration constant is in the ratio of 1:2. What should be the ratio of number of atoms of A and B at any time so that probabilities of getting alpha and beta particle are same at that instance.,2:1,1:2,1:1,e-1
"A sample contains 16 gm of a radioactive material, the half life of gm of which is two days. After 32 days, the amount of radioactive material left in the sample is",less than 1 gm,1/4 gm,1/2 gm,1gm
"At any instant, the ratio of the amount of radioactive substances is 2:1. If their half lives be respectively 12 and 16 hr, then after 48 days, what will be the ratio of the substances?",1:1,2:1,1:2,1:4
"The half life of a radioactive substance is 6 h. After 24 h, its activity is 0.01 μ Ci. What was its initial activity?",0.16 μ Ci,0.04 μ Ci,0.08 μ Ci,0.24 μ Ci
"In a sample of radioactive material, what fraction of initial number of active nuclei will remain undisintegrated after half of a half life of the sample",1/√2,1/4,1/2 √2,√2-1
Two radioactivities sources A and B of half live 1 hr. and 2 hr. respectively initially contains the same number of radioactive atoms. At the end of two hr. their rates of disintegration are in the ratio of,1:2,1:4,1:3,1:1
The half life of a radioactive substance is 30 days what is the time taken for 3/4th of original mass to disintegrate,60 days,15 days,30 days,45 days
Initial mass of a radioactive sample of half-life 6 hours is 0.8kg. The amount of the sample left after 1 day (24 hours),50 gm,0,100 gm,200 gm
If the half life at a radioactive specimen is 1600 years. Then find the specimen left after 6400 years.,1/8,1/2,1/4,1/16
A radioactive elements z XA emit a of particle and changed into z-1XA. The particle emitted is,Positron,Beta-particle,Neutron,Gamma-particle
The mass of a radioactive salt of half life 2 days is 10 gm. What amount of the salt will be left after 10 days?,0.31 gm,2.54 gm,5 gm,6.24 gm
A radioactive sample has half-life of 5 days. What time is taken by 7/8th of the sample to decay.,15 days,3.4 days,10 days,20 days
Which of the following does not belong to the electromagnetic spectrum,beta rays,X-rays,optical rays,micro waves
50% of a radioactive substance decomposes in 5 years. What is the time for the 99.9% decomposition?,50 years,10 years,10 to 50 years,none
In a most stable elements the number of proton and neutron is.,even-even,even odd,odd even,odd-odd
What is the average life of a radioactive substance having half-life period of 1600 years,2309,2954,5632,2435
The % of radioactivity remained after! half-life time periods is:,3,50,6,none of the above
"The number of radiation of a radioactive sample is 1,28,000 counts min 1. After 24 min, it is reduced to 8,000 counts min-1. Find its half life period.",6 min,12 min,8 min,24 min
A nuclei having maximum number of neutrons emits,a-particle,electron,protons,position
Cu66(z = 29) is covered to Cu66(z = 30) by the emission of,electron,a-particle,neutron,proton.
The particle(?) in the reaction,Proton,electron,Neutron,gamma-rays
A nucleus with an excess of neutrons may decay radioactivity with the emission of:,a electron,a neutron,a proton,a positron
Naturally occurring radioactive atoms can spontaneously emit:,"α,β,γ- rays","δ,γ and ε-rays",N- rays,X-rays
A radioactive nucleus is being produced at a constant rate α per second. Its decay const. is λ.If No are the number of nuclei at time t = 4s will be,α/λ,No+α/λ,No,λ/α+No
92U238→ 90 Th 234 +____. the products are,1 alpha particle,alpha particle and positron,alpha particle and electron,2 positrons and alpha particle
Which of the following is the best nuclear fuel?,Plutonium-239,Neptunim-239,Thorium 236,Uranium - 236
A radioactive source has decayed to 1/64th of its initial activity after 60 days. The half life of the source is:,10 days,5 days,15 days,30 days
One sixteenth of the initial amount of radioactive isotope remains undecayed after two hours. The half life of isotope is,30 min,15 min,45 min,60 min
Which of the following has maximum energy?,cosmic rays,X-ray,γ-ray,UV ray
"The rate of decay of a radioactive element
150",decreases exponentially with time,increases with increase in time,decreases with increase in time,remains constant with increases time
Maximum ionization is exhibited by which rays,α- rays,X-rays,γ-rays,β-rays
"In the Uranium radioactivity series, the initial nucleus is 92U238 and the final nucleus is 82Pb206. When Uranium decays into lead, the number of a and ẞ particles emitted are","8α, 6ẞ","6α, 7ẞ","6α, 8ẞ","4α, 3ẞ"
A deutron is bombarded on 8016 nucleus and an a-particle is emitted. The product nucleus is,7N14,7N13,4Be9,5B10
A nucleus nXm emits one alpha particle and two B-particles. The resulting nucleus is,nZm-4,nXm-4,n-2Ym-4,n-4Zm-4
"In the disintegration series

The value of Z and A respectively will be","91, 234","92, 236","88,230","90, 234"
A nucleus zXA emits an a-particle. The resultant nucleus emits a B+ particle. The respective atomic and numbers of the final nucleus will be,"Z-3, A-4","Z-1, A-4","Z-2, A-4","Z, A-2"
"In the nuclear reaction   

what does X stand for",A neutrino,An electron,A proton,A neutron
"When 88Ra236 decays in a series by emission of 3 alpha particles and one beta particle, isotope X formed is",83X224,84X218,84X220,82X223
"When a ẞ negative, particle is emitted from a radioactive nucleus, the ratio of the number of neutrons to the number of protons in the resulting nucleus ?",decreases,remains same,increases,none of these
"At time t = 0, activity of radioactive substance is 1600 Bq and becomes 100 Bq at 8 sec. Then the activity of the substance at 2 sec is",800,1200,400,300
"At time t = 0, number of atoms of radioactive substance is 100 and becomes 90 at 1s. Then number of atom left at 2s is",81,91,79,87
"If 200 MeV of energy is released in disintegration (fission) of 1 nucleus of Uranium. Then, how many nuclei must be disintegrated per sec to produce a power of 1KW",3.125 × 10^13/s,2.25 × 10^13/s,4.25 × 10^12/s,7.15 x 10^13/s
Percentage of atom disintegrated in 5 days is 10%. Then the percentage of atom left after 20 days will be,65%,87.5%,71.25%,69%
"A sample with half life 2hr is 64 times stronger than safer amount. After how much time, it's safe to work with the sample?",12,24,48,36
"The initial activity is 19 counts per gram per min then the activity becomes 14 counts per gram per min. The half life is 5600 years, then what is the time period in which activity decreases to 14 counts?",2500,2000,3000,3500
