question,answer,wrong1,wrong2,wrong3
"If the initial tension on a stretched string is doubled, then the ratio of the initial and final speeds of a transverse wave along the string is:",1:√2,1:1,√2:1,1:2
The distance in between 2 point differing in phase by 60 having wave velocity 360 m/s and frequency of wave 500 Hz is:,0.12m,0.18m,0.30m,0.48m
,,,,
"If the pressure amplitude in a sound waveis tripled, then by wat factor the intensity of the sound wave is increased.",9,3,6,√3
Which of the fololowing is a mechanical waves?,Sound waves,Radio waves,Light waves,X-rays
Equation of progressive wave is given by then which of the following is correct?,λ = 18 m,v = 5cm,a = 0.04 cm,f = 50 hz
The velocity of sound is generally greater in solidds than in gases because:,elasticity of solid is very high,the density of solid is high but the elasticity is low,both the density and elasticity of solids are low,the density of solid is low but the elasticity is high
Two waves are represented as y1 = 20 sinπθ and y2 = 40 sinπθ. The ratoi of their intensities (I2/I1) is,4:1,1:4,3:1,None
A string of length L is stretched by L/20 when the speed of transverse wave is v. If it is stretched by L/10 then speed of transverse wave will be,v√2,4v,2v,v/√2
"A man stands on top of a cliff and shouts. He hears the echo on the third clap when he claps his hand at the rate of two claps per second. What is the distance between man and the obstruction, if the velocity of sound is 320m/s",160,320,460,640
"The intensity of sound gets reduced by 10% on passing through a block. If it passes through two such blocks, then intensity of the outgoing sound is:",81%,19%,91%,18%
"If 4g of Helium under STP has a volume of 22.4 litre, the speed of sound waves in an atomsphere of Helium of ) and 1 atm pressure is",953 m/s,973 m/s,963 m/s,943 m/s
The relation between phase difference and path difference is,,,,
Phenomenon only associated with transverse wave is,Polarization,Diffraction,Interference,Refraction
"If distance between source of sound and a cliff is s. If the velocity of sound is V, the time taken to hear te 2nd echo is",4s/V,2V/s,s/2V,4V/s
"The speed of sound in air at N.T.P is 300 m/s. If air pressure becomes four times, then the speed of sound will be",300 m/s,150 m/s,600 m/s,1200 m/s
"Two sound waves are give by y = a sin (wt - kx)

y' = b cos(wt - kx) the phase difference between the two waves is",π /2,π /4,π,3π /4
The intensity of wave gets reduced by 20% on passing through a slab. The rediction in intensity on passing through two such slabs is:,36%,64%,20%,50%
A tuning fork (A) of unknown frequency gives 4 beats/sec when sounded with another fork B of frequency 256 Hz. The fork A is now loaded with a piece of wax and again 4 beat/sec are heard. Then the frequency of fork A is,260 Hz,252 Hz,256 Hz,264 Hz
"The ratio of intensities of two interfering waves is 4:1, then the ratio of maximum to minimum intensity is:",9:1,1:4,4:1,3:1
A set of 28 tuning forks in arranged in a series of decreasing frequencies. Each fork gives 3 beats with succeeding one. The first fork is the octave of the last. Calculate the frequency of the first ad that of 15 th tuning fork,"162, 120 Hz","150 Hz, 75 Hz","225 Hz, 125 Hz","120 Hz, 162 Hz"
"Two tuning forks of frequencies 250 and 256 Hz produce beats. If a maximum is priduced just now, after how much time the minimum is produced at the same place?",1/12 sec,6 sec,1/6 sec,1/3 sec
25 tuning forks are arranged in series with decreasing frequency 3 beats/sec. If the frequency of last tuning fork is octave of the first then the frequency of 1st tuning fork is,144,142,146,140
When two tuning forks of frequency 484 Hz and 486 Hz are sounded together. What will be beat frequency?,2 Hz,4 Hz,3 Hz,6 Hz
"Two tuning fork A and B sounded to together to produce 5 beats. The frequency of B is 512 HZ. when fork A is filed and sounded together, the beat frequency increases. The frequency of A is",517 Hz,502 Hz,0.517 Hz,5.17 Hz
A source of frequency n gives 5 beats/s when sounded with a source of frequency 200 Hz. The second harmonic 2n gives 10 beats per second when sounded with a source of frequency 420 Hz. then n is equal to,205 Hz,210 Hz,200 Hz,195 Hz
"A man standing symmetrically between two parallel cliffs claps his hands and starts hearing a series of echoes at iintervals of 1 sec. If the speed of sound air is 340 m/s, then the distance between two parallel cliff is.",340 m,170 m,510 m,680 m
Two sounding bodies produce progressive waves as y1 = 4sin 400πt andy2 = 3 sin 404πt. An observer will hear,2 beats/sec with Imax/Imin = 49/1,2 beats/sec with Imax/Imin = 4/3,4 beats/sec with Imax/Imin = 7/2,4 beats/sec with Imax/Imin = 4/3
If the diffeence in resonating length is 31.5 cm in resonance column. The wavelentgth pproduced is,63 cm,31.5 cm,49 cm,101.5 cm
"If frequency of a fork is increased by 50%, then change in tension is:",125%,50%,75%,100%
"A tuning fork of 216 Hz is vibrating with a string then the beat frequency is 8 Hz. When the tension in the string is increased, beat fequency decreases. Then the frequency of the string must be:",208 Hz,206 Hz,212 Hz,217 Hz
The loudness of two sound waves of same frequency in a medium are 5 dB and 1 dB. Then the ratio of their amplitude are:,100:1,1000:1,10:1,1:10000
"In a stationary wave, nodes are the points having",minimum displacement and maximum strain,maximum displacement and maximum strain,maximum displacement and minimum strain,minimum displacement and minimum strain
The equation of wave traveling in a string can be writing as y = 3 cosπ(100 t - x). Its wavelength is,2 cm,3 cm,100 cm,5 cm
The first and second resonance are obtained at depth of 21.5 cm and 65 cm in a resonance air column experiment. The third resonance will be obtained at,108.5 cm,98.5 cm,118.5 cm,88.5 cm
A tuning fork is in unison with sonometer wire of 60 m length. The length is increased by 10 cm then beat frequency becomes 4 beats/sec.,28 Hz,22 Hz,26 Hz,24 Hz
A sonometer wire of 50 cm length produces 800 cycles per second. The length of sonometer wire required to produce 1000 cycles per second is:,50 cm,60 cm,40 cm,37 cm
In a resonance tube the air columns for the first and second resonance differ by 31.5cm. The Wavelength of the sound waves in the tube is,63 cm,31.5 cm,126 cm,252 cm
A tube closed at one end containing air when excited produces the fundamental note of frequency 512 Hz. If the tube is open at both ends the fundamental frequency that cn be excited is,1024 Hz,256 Hz,512 Hz,128 Hz
