question,answer,wrong1,wrong2,wrong3
"The pH of solution is 2,The [OH-] of the solution is(* refers to power to the)",10*-12 M,10*-2 M,10*-4 M,10*-14 M
An alloys of Cu and Zn is known as,Brass,Bronze,Gun Metal,Solder
Nesslers reagent is,K2[HgI4],HgI2,HgCl2,Hg2Cl2
A catalyst increases the rate of a chemical reaction by,decreasing the activation energy,decreasing the free energy,decreasing the heat of reaction,increasing the average reacting molecules
The compound of metals generally coloured due to,presence of unpaired electron,S being filled before d,unfilled d orbital,d-d transition
"During esterification,conc.H2So4 acts as a",dehydrating agent,catalyst,acylation,both a and b
The correct IUPAC name of HCONHCH2CH3 is,N-ethylmethanamide,N-formyl aminoethane,N-ethylformylamine,ethylaminomethanal
The reagent used to distinguishformaldehyde from benzaldehyde is,tollen's reagent,fehlings solution,I2+OH,NH3
The molecular formula of corrosive sublimate is,HgCl2,Hg2Cl2,HgS,Hg2Cl
oxo process is an example of,carbonylation,decarbonylation,reduction,addition
The  electrolytic reduction of nitrobenzene in strongly acidic medium gives,p-amino phenol,aniline,nitrosobenzene,m-nitroaniline
