question,answer,wrong1,wrong2,wrong3
"According to Wein's displacement law, maximum wave length of emission is related to temperature of the body as",\( T^{-1}\),T,\( T^{1/2}\),\( T^{-1/2}\)
"If a body cools from 50°C and 49,9°C in 5-second and surrounding temperature is 30°C. The time required to cool the same body from 40°C to 39.9°C is",10 seconds,5 seconds,20 seconds,15 seconds
Which of the following considered as black body?,A metallic sphere having a fine opening on one side,Sodium vapour lamp,Intensely heated coal.,Glass coated with lamp black.
Heat is flowing through two cylinder of same material. The diameter for rods are in the ratio 1:2 and their length in 2:1. If the temperature difference between their ends and are same then ratio of amount of heat conducted through them per unit time will be,1:8,1:4,8:1,2:7
The heat energy produced by radiation is proportional to,4th power of temperature in K.,Square of temperature in K.,Square root of temperature in K.,Thrice power of temperature in K.
"There are four articles having colou blue, red, black and white when the are heated together and allowed to coOL which article will cool at the earliest?",Black,Blue,Red,white
"If an object cools from 80C to 70°C one minute in the room at 30°C, the time it will take to cool from 50°C to 40°C",3 min,2 min,4 min,5 min
"The maximum wavelength emitted from the sun at the temperature (in Kelvi T1, T2 and T3 are 650 nm, 580 nm and 350 nm respectively. Which following is correct?",T3>T1;T3>T2,T1>T2;T1>T3,T2>T1;T2>T3,T1=T2=T3
"When the temperature difference between inside and outside of a room 20°C, the rate of heat flow through window is 273Js-1. When the temperature difference become 20K the rate of flow of heat through the same window will be,",273 Js-1,253 Js-1,232 Js-1,100 Js-1
The ratio of energy emitted in the sun in between two different temperature of 27 C and 600k is,16,2,4,8
Two starts A and B radiate maximu energy at 3600Å and 4800Å respectively Then the ratio of absolute temperature of A and B is,4:3,3:4,256:81,81:256
Two stars radiate maximum energy at λ= 3200Å and 4000Å respectively. The ratio of their temperature in Kelvin scale will be,5:4,4:5,25:16,2:5
It takes 5 min to cool liquid from 60°C to 40°C then the temperature after 5 min (if the temperature of the surrounding is 18°C) is,28°C,22°C,24°C,26°C
The rate of radiation of a black body at a certain temperature is E joule/sec. When its temperature is doubled the rate of radiation will be:,16E,E,4E,8E
"When a body loses heat, its temperature falls. The rate of heat loss is:",Directly proportional to the surface area of the body.,Directly proportional to the square of  the surface area of the body,Inversely proportional to the surface area of the body.,Inversely proportional to the square of the surface area of the body.
According to Kirchhoff's law:,A good absorber of radiation is a good emitter of radiation.,A good absorber of radiation is a poor emitter of radiation.,A good emitter of radiation is a poor absorber of radiation.,A poor emitter of radiation is a good absorber of radiation.
Kirchoff's law states that,A good absorber of radiation is poor reflector,A good absorber of radiation is good reflector,A poor absorber of radiation is poor reflector.,A poor absorber of radiation is good reflector
Two rods having thermal conductivity in ratio 5:3 and having same length and area the free end of first rod is at 100°C and free end of other is at 20°C. If they are joined then the temperature of the junction is,70°C,80°C,60°C,90°C
A small black spot is present on the metal plate and if the metal plate is heated to red hot and quickly placed in a dark room then the spot:,Will appear white while plate appear black,Will appears red while plate appears black.,Will appears white while plate appears red.,Will appears invisible while plate appears black.
Theory of refrigerator is based on,Joule and Thomson,Newton's law of cooling.,Kelvin and Planks.,Celsius
"If the absolute temperature of a radiating body is suddenly halved, the radiating power will reduce approximately to",6.25 %,25%,12.5%,3.12%
