question,answer,wrong1,wrong2,wrong3
Which is ambident nucleophile?,R-CN,R-CHO,R-COOH,R-R
Most acidic hydrogen is found in :,CH≡CH,CH2=CH2,CH3-CH3,CH4
The reaction of alkene with alkyl halide is an example of,Electrophilic addition rxn,Free radical rxn,Electrophililc substitution rxn,Nucleophilic substitution rxn
Sulphonation is easiest in:,Toulene,Nitrobenzene,Chlorobenzene,Benzene
Acidic hydrogen is found in,"2,4 hexadione",Hexa-3 dione,"2,5 hexadione","2,3 hexadione"
Transfer of electron in multiple bond presence of attacking reagent :,Electromeric,Hyperconjugation,Inductive,Resonance
Phenol is ortho-para directing due to....,Mesomeric effect,Electromeric effect,+Inductive effect,-Inductive effect
Electrophilic subsitution reaction in phenol is directed at,O and P position,O-position,P-position,M-position
Heterolytic cleavage of carbon- carbon bond produces,one cation and one anion,two carbonium ions,Two free radicals,a free radical and a carbanion
Which of the following is the nucleophile?,H2O,BF3,NO3+,H30+
Which of the compound is most reactive towards electrophile?,Phenol,Toulene,Nitrobenze,Benzene
In homolytic fission of hydrocarbon which is formed,free radicals,carboanion,carbocation,carbene
Both phenol and ethyl alcohol contain - OH group but phenol is much acidic than ethyl alcohol due to the:,Resonance effect,Inductive effect,Mesomeric effect,Electromeric effect
The delocalization of electron that  occurs through sigma bond in the orbital is,Hyper conjugation,Inductive effect,Mesomeric effect,Electromeric effect
Which of the following is weak acid ?,Butanoic acid,Methanoic acid,Ethanoic acid,Propanoic acid
Which of the following group exerts +I effect ?,-CH3,-Cl,-COOH,-N02
The non reactivity of chlorine atom in CH2=CH-Cl is due to :,resonance stabilization,inductive effect,electrometric effect,dipole moment
Delocalisation of electrons is sigma and ¶ bond is,electromeric effect,Hyperconjugation,resonance,inductive effect
Benzene deactivating group is:,-Cl,-OH,-CH3,-C2H5
Nitration takes place best in:,Toluene,Nitro benzene,Benzene,Phenol
Nitration of Benzene is:,Electrophilic substitution,Electrophilic addition,Nucleophilic addition,Nucleophilic substitution
Benzene is much stable than CH2=CH2 due to,Resonance of ring,Electron losing tendency of ring,Electron gaining tendency of ring,Electromeric effect
Which of the following is the strongest acid?,FCH2COOH,CICH2COOH,BrCH2COOH,ICH2COOH
CH3COOH is stronger acid than acetic acid because of,Inductive effect,Electrometric effect,Mesomeric effect,Resonance
Which of the following groups has highest inductive effect,(CH3)3C-,CH3-,CH3CH2-­,(CH3)3CH-
Which of the following groups has highest inductive effect,(CH3)3C-,CH3-,CH3CH2-­,(CH3)3CH-
"The addition of HBr on propene in presence of peroxide, occurs according to the",anti Markovnikov's rule,Markovnikov's rule,Saytzeff's rule,Hoffman's rule
Nitro-acetic acid is more acidic than acetic acid due to the,Inductive effect,Electromeric effect,Hyperconjugation,Mesomeric effect
The effect caused by complete transfer of pi- electron pair in a compound in presence of an attacking reagent is called:,Electromeric effect,Inductive effect,Mesomeric effect,Transmission effect
The displacement of electrons of a bond towards a electronegative atom or group of atoms is,inductive effect,mesomeric effect,electrometric effect,delocalization effect
"Amongst the following compounds, the compound that is nitrated with difficulty is",nitrobenzene,benzene,phenol,toluene
Polarity caused by electron redistribution between two pi - bonds of a conjugative molecule is called,Mesomeric effect,Electromeric effect,Inductive effect,Transmission effect
An effect causing permanent polarity produced in an organic molecule due to the difference in electronegativity of atoms forming a bond is called,inductive effect,electromeric effect,mesomeric effect,Transmission effect
Nitration in benzene is,electrophilic substitition,Nucleophilic substitution,Displacement reaction,electrophilic addition
Benzene is much stable than CH2=CH2 due to,Resonance of ring,Electron losing tendency of ring,Electron gaining tendency of ring,. Electromeric effect
Which of the following is the strongest acid?,FCH2COOH,CICH2COOH,BrCH2COOH,ICH2COOH
CH3COOH is stronger acid than acetic acid because,Inductive effect,Electrometric effect,Mesomeric effect,Resonance
". The addition of HBr on propene in presence of peroxide, occurs according to the",anti Markovnikov's rule,Markovnikov's rule,Saytzeff's rule,Hoffman's rule
Nitro-acetic acid is more acidic than acetic acid due to the,Inductive effect,Electromeric effect,Hyperconjugation,Mesomeric effect
"The effect caused by complete transfer of pi- electron pair in a compound in presence of an

attacking reagent is called:",Electromeric effect,Inductive effect,Mesomeric effect,Transmission effect
