question,answer,wrong1,wrong2,wrong3
Semi water gas is,CO+H2+N2,CO+H2,CO2+N2,CO2+N2+H2
The glass used in optical instrument is,flint,silica,pyrex,soda
Atomic hydrogen produces formaldehyde when it reacts with,carbon monoxide,water,carbon dioxide,formic acid
Carbogen is,Mixture of O2 and CO2,pure form of carbon,COCl2,Mixture of CO and C2
The charcoal used to decolourize brown sugar solution is,Wood charcoal,Coconut charcoal,Animal charcoal,Sugar charcoal
Synthesis gas is a mixture of,CO and N2,Steam and CO,H2 and CO,H2 and CH4
Lead pipes are not good for drinking purpose because,form lead hydroxide with water,soluble in water,disintegrate in water,form lead oxide
Thermodynmically most stable form of C is,Graphite,Diamond,Fullerene,Coal
Atomic orbitals of carbon involved in diamond structure are,sp3-hybridized,sp-hybridized,sp2-hybridized,sp3d hybridized
Most impure form of carbon is,wood charcoal,animal charcoal,lamp black,graphite
"In graphite, the sheets are held by",van der waal's forces,ionic forces,covalent forces,metallic forces
A gas which burns with blue flame is,CO,O2,N2,CO2
The gas that turns lime water milky is,both a and b,CO2,SO2,none of the two
Yellow variety of lead(II) oxide is known as,Massicot,Lithrage,Sindhur,None
Ordnary glass is,calcium and sodium silicates,Sodium silicate,Calcium silicate,Copper silicate
The principal constituent of pyrex glass is,B,Zn,Pb,Cl
Quartz is a/an,orthosilicate,pyrosilicate,sheet silicate,three dimensional silicate
Cassiterite is an ore of,Sn,Mn,Ni,Sb
Percentage of Pb in lead pencil is,nil,50%,20%,10%
Carborundum is,SiC,BN,SiO2,CS2
"In graphite, electrons are",spread out between the structure,localised on each carbon atom,localised on every third carbon atom,present in anti-bonding orbital
Which metal cries without causing tears?,Sn,Fe,Ni,Sb
Desilverisation of lead is done by,Parke's process,Cyanamide process,Cupellation,Polling
"The stability of dihalides of Si,Ge,Sn and Pb increases steadily in the sequence",SiX2<<GeX2<<SnX2<<PbX2,PbX2<<SnX2<<GeX2<<SiX2,GeX2<<SiCl2<<SnX2<<PbX2,SiX2<<GeX2<<PbX2<<SnX2
Which of the following substance is used as an antiknocking compound?,Tetraethyl lead,Lead tetrachloride,Lead acetate,Ethyl acetate
Rubies and sapphire are chemically,Al2O3,Al2O3+Ag2O,Ag2O+Au2O3,Al2O3+C
'Aqua dag' is suspension of .............. in water,Graphite,Lamp black,Charcoal,None
Glass is,supercooled liquid,gel,microcrystalline solid,transparent mixture of organic polymers
