question,answer,wrong1,wrong2,wrong3
"The raio of maximum to minimum intensities in young's double slit interference is 16, then the ratio of their individual intensities is",25:9,16:9,9:16,16:25
"Interference when two waves of intensities I1 and I2 differing in phase by Ø superimpose ,the contrast will be maximum if",I1=I2,I1=I2/2,I11=I2/3,4I1/I2
Which of the following doesn't explain wave theory of light,photoelectric effect,polarization,interference,diffraction
"When a light ray is illuminated on a glass slab of refractive index 4/3, such that reflected ray is polarized, then angle made by the ray with the horizontal is :",37°,36°,38°,39°
"Two light rays having the same wavelength λ in vacuum are in phase initially. Then the first ray travels a path L1 through a medium a refractive index µ1 , while the second ray travels a path of length L2 through a medium of refraactive index µ2. The two waves are then combined to observe interference .The phase difference between the two waves is",2¶ / λ (µ1L1 -µ2L2),2¶ / λ (L2-L1),2¶ / λ (µ2L1-µ1L2),2¶ / λ (L1/µ1 -L2/µ2)
What happens to the fringe pattern when the young's double slit experiment is performed in water instead of air?,shrinks,disappears,unchanged,enlarged
Young's double slit  experiment is made in a liquid .The 10th brightt fringe in liquid lies where 6th dark  fringe lies in vaccum .The refractive index of the liquid is approximately,1.8,1.54,1.67,1.2
"In young's double slit experiment,the seperation of slit is 1.9 mm and fringe spacing is 0.31mm at a distance 1m from the split .The wavelength of light used is",5890Å,6129Å,3100Å,1631Å
If the amplitude is in the ratio of 2:3 then intensity will be the ratio of (given that frequency is same),4:9,2:3,9:4,3:2
Two waves each of loudness L superimpose to produce beats.The maximum loudness of the beat will be,4L,L,2L,6L
The polarizing angle between reflected and refractive rays is,90°,0°,45°,180°
"In young's double slit experiment , 12 fringes are obtained in a certain fragment of the screen when light of wavelength 600nm is used .If the wavelength of light is changed to  400 nm,number of fringes obtained in the same segment of the screen will be:",18,12,24,30
The width of the third fringe in young's double slit interference experiment is 0.1mm. The width of the fifth fringe will be :,0.1mm,0.17mm,0.06mm,0.5mm
"Two coherent monochromatic light beams of intensities in the ratio 1:4 are superposed, the ratio of maximum to minimum possible intensities in the resulting beam is",9:1,5:1,5:3,9:3
The fringe width in an interference pattern due to two coherent sources is,proportional to the wavelength,proportional to the square of wavlength,inversely proportional to the square of wavelength,inversely proportional to the wavelength
"In young's experiment ,one slit is covered with a transparent blue filter and the other is left as it is then the interference pattern",will not be formed,will be blue,will be yellow,will be green
A laser produces,A beam of monochromatic coherent light,highly penetrating X-rays,A beam of fast moving neutron,A beam of monochromatic incoherent light
If maximum intensity is 16 times the minimum intensity then the ratio of their amplitude will be,5/3,3/2,5/2,25/9
Two waves are defined to be coherent if,They have a constant phase difference between them,They are emitted by identical sources close together,They have the same amplitude and frequency,They have the same wavelength and speed
"In young's double slit experiment ,12 fringes are obtained in a certain fragment of the screen when light of wavelength 600nm is used .If the wavelength of light is changed to 400nm , number of fringes obtained in the same segment of the screen will be:",18,12,24,30
The fact that light can be polarized establishes the light,is a transverse wave,travels in the form of particles,is an electromagnetic wave,is an longitudinal wave
In order to increase fringe width,the wavelength of the light should increase,the wavelength of the light of the light should decreases,both of the above,none of the above
In young's double slit experiment fringe width is 2mm. Seperation between 9th bright fringe and 2nd dark fringe from the centre of the fringe system is,15mm,5mm,10mm,20mm
"Yellow light is used in a single slit diffraction experiment with a slit of width 0.6 nm .If yellow light is replaced by X-rays , the observed pattern will reveal that",no diffraction pattern observed,central maxima is narrower,more no of fringes,less no of fringes
A young's double slit experiment having fringe width of 4mm is immersed inside the water having µ=4/3 .The fringe width becomes,0.3mm,0.4mm,0.33mm,0.43mm
Sound quality of a portable radio is improved by adjusting the orientation of the aerial .Which statement is a correct explanation of this improvement?,The radio waves from the transmitter are polarized,The radio waves from the transmitter are unpolarized,The radio waves become polarized as a result of adjusting the aerial,The radio waves become unpolarized as a result of adjusting the aerial
Unusual coloration seen in oil drops is due to,interference,reflection,refraction,polarization
"Two coherent monochromatic light beams of intensities in the ratio 1:4 are superposed, the ratio of maximum to minimum possible intensities in the resulting beam is:",9:1,5:1,5:3,9:3
