question,answer,wrong1,wrong2,wrong3
When chloroform is boiled with aqueous KOH followed by acidification it gives,Methanoic acid,Methoxy methane,Methanol,Ethanal
An alkyl halide can be converted into alcohol by,Substitution,Addition,Elimination,Dehydrogenation
Chlorine reacts with Benzaldehyde to give,Benzoyl chloride,Benzal chloride,Chlorobenzene,Benzyl chloride
Tear gas is,Chloropicrin,Chloretone,Ethyl carbonate,Methylene chloride
Chloral is,\(Cl_{3}C.CHO\),\(Cl_{3}CH\),\(CCl_{3}COCH_{3}\),\(Cl_{3}C.COOH\)
The reaction between benzene diazonium chloride and CuCl₂/HCI is,Sandmeyer reaction,Gattermann reaction,Both (a) and (b),Acylation reaction
The reaction between aniline and chloroform in presence of NaOH is called,Carbylamine reaction,Cannizaro reaction,Hoffman reaction,Riemer Tiemann reaction
The purpose of using anhydrous \(AlCl_{3}\) as a catalyst in Friedal craft reaction is to,Provide necessary electrophile,Initiate the reaction,Increase the activation energy,Provide the necessary nucleophile
A sample of chloroform is tested by which of the following before being used as anaesthetic ?,\(AgNO_{3}\) + KOH,\(AgNO_{3}\) solution,Fehling's solution,Ammonical cuprous chloride
Anaesthetic chloroform is always stored in yellow bottles filled up to stopper because.,It produces phosgene in air and sunlight,It is explosive in air and direct sun light,It produces carbon tetrachloride in air and sun light,It produces ethyl alcohol in air and sunlight
The compound which gives negative iodoform test is,\(C_{6}H_{5}CH_{2}CH_{2}OH\),\(CH_{3}CHO\),\(CH_{3}CH_{2}OH\),\(C_{6}H_{5}COCH_{3}\)
Chloroform is used for the test of....... amines.,Primary,Secondary,Tertiary,All
Chloretone is obtained by chemical reaction of,Chloroform and acetone,Chlorine and acetone,Chlorine and ethanol,Chloroform and conc. nitric acid
Chloroform reacts with nitric acid to form an insecticide called chloropicrin it's formula is,\(CCl_{3}NO_{2}\),\(CCl_{2}NO_{2}\),\(CHCl_{3}NO_{2}\),\(CCl_{3}CHNO\)
Dehydro-halogenation of alkyl halide give,Alkene,Alkane,Alkyne,Ether
,Carbylamine reaction,Sandmayer reaction,Coupling reaction,Wurtz reaction
