question,answer,wrong1,wrong2,wrong3
". Given below are two statements :

Statement I : Aspirin and Paracetamol belong to the class of narcotic analgesics.

Statement II : Morphine and Heroin are non-narcotic analgesics. In the light of the above statements,

choose the correct answer from the options given below",Both Statement I and Statement II are false,Both Statement I and Statement II are true,Statement I is correct but Statement II is false,Statement I is incorrect but Statement II is true.
Noble gases are named because of their inertness towards reactivity. Identify an incorrect statement about them.,Noble gases have very high melting and boiling points,Noble gases are sparingly soluble in wa,Noble gases have weak dispersion forces,Noble gases have large positive values of electron gain enthalpy
"The molar conductance of NaCl, HCl and CH3COONa at infinite dilution are 126.45, 426.16 and 91.0 S cm2 mol–1 respectively. The molar conductance of CH3COOH at infinite dilution is. Choose the right option for your answer.",390.71 S cm2 mol–1,201.28 S cm2 mol^-1,698.28 S cm mol,None
"The right option for the statement ""Tyndall effect is exhibited by"", is",Starch solution,NaCl solution,Glucose solution,Urea solution
The RBC deficiency is deficiency disease of,Vitamin B12,Vitamin B6,Vitamin B1,Vitamin B2
Dihedral angle of least stable conformer of ethane is :,0°,120°,180°,60°
The major product formed in dehydrohalogenation reaction of 2-Bromo pentane is Pent-2-ene. This product formation is based on?,Saytzeff's Rule,Hund's Rule,Hofmann Rule,Huckel's Rule
Which one among the following is the correct option for right relationship between Cp and Cv for one mole of ideal gas?,Cp-Cv = R,Cp+Cv = R,Cp=RCv,Cv=RCp
The incorrect statement among the following is:,Most of the trivalent Lanthanoid ions are colorless in the solid state,Actinoid contraction is greater for element to element than lanthanoid contraction,Lanthanoids are good conductors of heat and electricity,"Actinoids are highly reactive metals, especially when finely divided"
Which one of the following polymers is prepared by addition polymerisation?,Teflon,Nylon-66,Novolac,Dacron
Which one of the following methods can be used to obtain highly pure metal which is liquid at room temperature?,Distillation,Electrolysis,Chromatography,Zone refining
Right option for the number of tetrahedral and octahedral voids in hexagonal primitive unit cell are :,"12,6","8,4","6,12","2,1"
"Tritium, a radioactive isotope of hydrogen, emits which of the following particles?",Beta (β–),Alpha (α),Gamma (γ),Neutron (n)
The maximum temperature that can be achieved in blast furnace is :,Upto 2200K,Upto 1200K,Upto 1900K,Upto 5000K
"Among the following alkaline earth metal halides, one which is covalent and soluble in organic solvents is :",Beryllium chloride,Calcium chloride,Strontium chloride,Magnesium chloride
"The structures of beryllium chloride in solid state and vapour phase, are :",Chain and dimer respectively,Linear in both,"Dimer and Linear, respectively",Chain in both
"A particular station of All India Radio, New Delhi broadcasts on a frequency of 1,368 kHz (kilohertz). The wavelength of the electromagnetic radiation emitted by the transmitter is : [speed of light c = 3.0 × 108 ms–1)",219.3m,219.2m,2192m,21.92cm
"An organic compound contains 78% (by wt.) carbon and remaining percentage of hydrogen. The right option for the empirical formula of this compound is : [Atomic wt. of C is 12, H is 1]",CH3,CH,CH2,CH4
The compound which shows metamerism is,C4H10O,C5H12,C3H80,C3H6O
