question,answer,wrong1,wrong2,wrong3
An isomer of ethanol is,Dimethyl ether,Methanol,Diethyl ether,Ethylene glycol
Which of the following will show metamerism?,CH3COC3H2,CH3 - S - C2H5,CH3OCH3,CH3OC2H5
The compound which shows metamerism is,C4H10O,C5H12,C3H8O,C3H6O
Which of the following compound will show tautomerism,RCH2CHO,R3CNO2,(CH3)3CNO,(CH3)2NH
1-Bromobutane and 2-Bromobutane are,Positional,Functional,Chain,Optical
The compound n-butyl alcohol and isobutylene alcohol are,Chain isomers,Position isomers,Metamers,Tautomers
n-Propyl alcohol ans isopropyl alcohol are,Position,Metamers,Both,None
HCN and HNC are,Tautomers,Positional isomers,Metamers,Chain isomers
R-CN and R-NC are,Functional,Tautomers,Both,None
R-CN shows,Both,Functional,Tautomers,None
Which of the following is not an isomer of butanal?,2-Butanol,2-Butanone,2-Methylpropanal,But-2-en-1-ol
How many isomers of C5H11OH will be primary alcohols?,4,2,3,5
The number of ether Metamers represented by the formula C4H10O is,3,4,2,1
The number of possible alcoholic isomers for C4H10O,4,2,3,5
The total number of structural isomers for the compounds of the formula C4H10O are,7,6,3,4
How many structural formula are possible for C5H11CL?,8,6,10,12
Number of isomeric primary amines of molecular formula C4H11N is,4,1,2,3
How many geminal dihalides with different formula are possible for C3H6CL2?,Two,Only one,Three,Four
The number of isomeric aldehydes and ketones with formula C5H10O are,7,6,5,8
Glucose and fructose are,Functional isomers,Chain isomers,Position isomers,Optical isomers
The type of isomerism observed in urea molecule is,Tautomerism,Chain,Both,None
Which of the following isomerism is shown by ethyl acetoacetate,Tautomerism,Chain,Both,None
Number of isomeric forms of C7H9N having benzene ring will be,5,7,6,4
the number of isomers for the aromatic compounds of the frmula C7H8O is,5,4,3,2
The type of isomerism shown by nitromethane is,Tautomerism,Metamerism,Optical isomerism,Position isomerism
The no. of dichlorinated isomers that can be formed by halogenations of CH3CH2CH3 is,4,2,3,5
"Of the five isomeric hexanes, the isomer which can give two monochlorinated compounds is","2,3-Dimethylbutane",n-Hexane,"2,2-Dimethylbutane",2-Methylpentane
The lowest alkene which can exhibit geometrical isomerism is,2-Butene,Ethene,Propene,1-Butene
cis and trans 2-Butene are,Geometrical isomers,Conformational isomers,Optical isomers,Position isomers
Geometrical isomers differ in,Spatial arrangements of atoms,Position of functional group,Postion of atoms,Length of carbon atom chain
Geometrical isomerism is possible in,Acetophenone-oxime,Acetone-oxime,Isobutene,Benzophenone-oxime
An organic compound will show optical isomerism if,Four groups attached to C atom are different,Three groups attached to C atom are different,Two groups attached to C atom are different,All the groups attached to C atom are same
Which is the chiral molecule?,CHBRCL,CH3CL,CH2CL2,CHBr3
Which shows chirality?,3-methylhexane,2-Methylhexane,n-Hexane,None of these
The property by virtue of which a compund can turn the plane polarised light isknown as,Optical activity,Photolysis,Phosphorescence,Polarization
Rotation of plane polarised light can be measured by,Polarimeter,Diastereomers,Mesomers,None
Optically active isomers but not mirror images are called,Diastereomers,Polarimeter,Both,None
"The instrument which can be used to measure optical activity i.e., specific rotation is",Polarimeter,Diastereomers,Mesomers,none
A compound whose molecule is super-imposable on its mirror image inspite of containing chiral carbon atoms is called,Mesomers,Polarimeter,Diastereomers,None
The optical inactivity of meso-tartaric acid is because of,Internal compensation,Absence of chirality,External compensation,Presence of asymmetrical carbon atoms
Racemic mixture is optically inactive due to,External compensation,Presence of plane of symmetry,Internal compensation,None of these
"If a compound has n asymmetric carbn atoms, then maximum number of optical isomers are given by the formula",2^n,(1/2)^n,2√ n,√ 2n
A similarity between optical and geometrical isomerism is that,Both are included in stereoisomerism,Each forms equal number of isomers fo a given compoumd,"If in a compound, one ispresent then so is the other",They have ni similarity
Resonance (mesomeric effect) occurs due to,Delocalization of σ electron,Delocalization of π electron,Migration of H-atoms,Migration of Protons
