question,answer,wrong1,wrong2,wrong3
When the level of albumin in blood is low then which of the following condition will arise ?,Edema,Hypertension,Hypotension,Grave's diseases
"In ECG, P-R interval represent",P wave & PR segment,P wave and R segment,S wave ^ R segment,PR-wave & PR segment
Atrial systole takes,0.1 seec,0.5 sec,0.7 sec,0.8 sec
Heart beat begins with depolarization of,Arterioventicular node,Just after systole,During systole,Bundle of HIS
Rabbit differs from frog in absence of,Renal portal system,Hepatic portal system,Systematic circulation,None
The total duration of cardiac cycle is,0.8 sec,0.1 sec,0.4 sec,0.3 sec
Ligamentum arteriosum connects,Pulmonary trunk and aorta,Left centricle and right ventricle,SA node and AV node,Coronary sinus and aorta
The right auricular ventricular aperture in rabbit is guarded by,Tricuspid valve,Trcuspid valve,Spiral valve,Bicuspid valve
Which artery supply blood to head ?,Cartoid,Coronary,Subcalvin,Phrenic artery
Find the correct match among the following pairs of words:,Pacemaker and heart beating,Amylase and protein,Cerebrum and body orientation,Seminiferous and urinferous tubules
Spleen in the vertebrates is related to,Storage of RBC,Production of tropsin,Production of bile,Storage of fat
The pacemaker is located at the,Right atrium,Left artrium,Left ventricle,Right ventricle
The pacemaker is located at the,Right atrium,Left artrium,Left ventricle,Right ventricle
Brachial arteries supply the blood to the,Arms,Heart,Liver,Legs
Brachial arteries supply the blood to the,Arms,Heart,Liver,Legs
Chordae tendiae is found in,Ventricles of heart,Auricles of heart,Ventricles of brain,Sinus venosus
Bicuspid valve in mammalian heart in located at the opening of,Rt auriculo-ventricular,Lt auriculo-ventricular,Lt-ventriculo-auricular,Rt  ventriculo-auricular
Heart beat in mammals starts at,sino-atrial node,Sino-atrioventicular bundle,sino-atrrioventicular node,Bindle of HIS
The mitral valve is found in between,left auricle and left ventricle,right auricle and right ventricle,left auricle and left aorta,pulmonary artery and right ventricle
Portal system carries,from capillaries to capillaries,to capillaries,from capillaries,from liver to intestine
Cardiac muscle are found in,heart of mammal,kidney of frog,liver of frog,stomach of rabbit
The pacemakers of the heart of rabbit are made up of,nerve cells,muscle cells,receptor cells,neuromuscular cells
Blood bank is,Spleen,Liver,Adrenal cortex,Pituitary
Water is essential for body because,it is universal solvent,it creates cooling effect,body uses oxygen of water for metabolismq,it enhances the circulation of blood
Heart is supplied by,Vagus nerve,Glossopharyngeal nerve,Facial nerve,Trigeminal nerve
Heart is supplied by,Vagus nerve,Glossopharyngeal nerve,Facial nerve,Trigeminal nerve
A person's measures blood pressure and writes is 120/80.Here 80 signifies,Diastolic BP,Systolic BP,Normal BP,None
Pace setter in the heart is called,atrio-ventricular node,Sino-atrial node,purkinje fibre,papillary muscles
Ductus botteli in embryonic stage forms what in adult ?,Ligamentum arteriosum,Mediastinum,Lungs,Liver
Largest ymphatic organ of human body is,spleen,liver,pancreas,thymus
Ameloblast is related with,Tooth,Skin,Kidney,Lungs
Which enzyme is responsible for curdling of milk ?,Trypsin,Renin,Pepsin,Lipase
Which of the following part if stomach is absent in camel ?,Omassum,Reticulum,Albomassum,Rumen
Zymogen cell produces,Pepsinogen,HCL,pepsin,Amylase
In liver which cell is found,Kuffer's cell,Hepatocytes,Hassal's corpuscles,Glial cells
RBCs are phagocytized by the kuffer's cells to produce pigement,Bilirubin,Urochrome,Fibrin,Stercobilin
Animal which eat their own faeces are,Coprophagus,Coprolite,Crepuscular,Gregarious
Vitamin A synthesized in body organ,Pancreas,Blood,Spleen,Liver
Payer's patches secretes,RBC,Enterokinase,Secretin,Lymphocytes
Which of the following salivary gland is absent in human beings ?,infraorbital,Sublingual,submandibular,Parotid
Semi digested food entering into the duodenum is called,Chyme,Chyle,Bolus,Bile
Inflammation of gall bladder,Cystitis,Stomatitis,Cholecystitis,Salpingitis
Pancreatic juice contains,"Trypsin,lipase,amylase","Pepsin,lipase,amylase","Trypsin,lipase,maltase","Pepsin,trypsin,steapsin"
Taste buds for biter taste are found on our tongue at,Lateral border,Tip,Posterior part,Ventral surface
Succus entericus is secreted by,Stomach,Bartholin gland,Crypts of liberkuhn,Pancreas
"In man ,nodules of lymphoid tissue(Payer's Patches)are found in",Illeum,Oesophagus,Rectum,Colon
Payer's Patches found in small intestine are,Lymphatic tissues,Glandular tissues,Nervous tissues,Epithelial tissues
Maximum absorption of nutrients takes place in,Stomach,Illeum,Colon,Rectum
Zymogen cells of gastic glands secrete,Pepsinogen,Chymotrypsin,Pepsin,Trypsin
The hardest substance in human body is,enamel,Keratin,dentine,Chondrin
Glisson's capsule are found in,Liver of animal,Liver of frog,Kidney of frog,Kidney of mammal
Glisson's capsule are found in,Liver of animal,Liver of frog,Kidney of frog,Kidney of mammal
Glisson's capsule are found in,Liver of animal,Liver of frog,Kidney of frog,Kidney of mammal
Emulsification of fat is done by,bile salt,bile pigment,hepatic enzymes,HCl
No of lobe presents in the liver of rabbit is,5,4,6,7
The liver of rabbit has.............lobes.,5,3,6,2
In herbivores cellulose is digested in,Caecum,Stomach,Small intestine,Appendix
Salivary juice is,slightly acidic,slightly alkaline,more acidic,more alkaline
Kufer's cell are present in,Liver,Kidney,Brain,Stomach
The hardest tissue of the body is,Enmel,Bone,Nail,Cartilage
The secretion of islets of langerhans is,insulin,thyroxin,adrenaline,trypsin
Which chamber of the heart has the thickest walls?,Left ventrical,Left atrium,Right atrium,Right ventricle
Which of the following help in blood clotting ?,Vit.K,Vit.E,Vit.B,Vit.C
What does pulse measures ?,Rythm of heart beat,Magnitude of heart beat,Force of heart beat,Number of heart beat
"The heart sound "" dup"" produced when",Semilunar valve close,Tricuspid valve opens,Mitral valve close,Mitral valve opens
Which possess automatically ?,Cardiac muscle,Smooth muscle,Skeletal muscle,Neuron
Which of the following is the correct pathway for propagation  of cardiac impulse,SA node-AV node-Bundle of HIS -Purkinje fibre,AV Node-Bundle of HIS -SA Node -Purkinje fibre,SA Node -Purkinje fibre -AV node -Bundle of HIS,Purkinje fibre-AV node-SA node-Bundle of HIS
Heart beat is controlled by which cranial nerve ?,X,IX,III,V
What dose pulse measures ?,Rythm of heart beat,Magntiude of heart beat,Force of heart beat,Number of heart beat
Canine teeth in man is,Vestigial Organ,homologous organ,Atavism,Analagous organ
Brunner's Glands are related to,Digestive system,Sweating system,Male reproductive system,Female reproductive system
Brunner's gland in the mammalian gut are present in the submucosa of,Duodenal wall,Stomach wall,Illeum,Oesophagus wall
The number of salivary glands in rabbit is,4 pairs,3 pairs,5 pairs,6 pairs
Movement of food in the intestine is by,Peristalsis,Flowing,Osmosis,Active motion
We eat butter.The end product of butter to be absorped by the body is,Glycerol and fatty acids,Glycogen,Fat,Glucose
Islets of Langerhans are found in,Pancreas,Kidney,Liver,Stomach
Ptylin is the secretion of,salivary glands,liver,gastric glands,pancreas
Ptylin is the secretion of,salivary glands,liver,gastric glands,pancreas
The end product of fat digestion is,glycerol,glycogen,glucose,galactose
The end product of fat digestion is,glycerol,glycogen,glucose,galactose
Bile is secretd by,Liver,Pancreas,Kidneys,Small intestine
Which of the following is not a function of liver ?,Digestion by emulsification of fat,deamination of proteins,detoxification of drugs,production of RBCs in embryonic conndition
Sphincter is not present between,mouth and oesophagus,oesophagus and stomach,Illeum and caecum,rectum and internal O.S
Glucose is stroed in the form of glycogen in,Liver,Kidney,Pancreas,Spleen
The secretion of which of the following causes contraction of gall bladder ?,Cholecystokinin,Enterokinase,Secretin,Gastrin
Which of the enzyme helps in protein digestion ?,Erepsin,Amylase,Carbonic anhydrase,Lipase
The highest value of pH is in,Pancreatic juice,Gastirc juice,Bile juice,Secretion of pituitary gland
Which of the following is not present in the juice secretd by pancreas of human ?,Pepsin,Lipase,Amylase,Trypsin
The human vermiform apendix is an extension of,Caecum,Jejenum,Rectum,Duodenum
Small peptides are absorbed and digested to free amino acids in,Intestines,Kidney,Stomach,Pancreas
Dental formula of 13 years youth is ( Revise all dental formula too),2122,2023,2123,1223
The thermoregulatory centre of brain is,Hypothalamus,Cerebrum,Cerebellum,Pons varolli
Local anaestesia prevent the pain by closing,Voltage gated Na+ channel,voltage gated K+ channel,Ligand gated Ca ++ channel,Mechanciallt gated Mg+++ channel
When there is net flux of positive ions there occurs,Depolarization,Hyperpolarization,Repolarization,Action potential
In nerve impulse conduction pumping of Na+ and K+ involves,Active transport,Passive transport,Osmosis,Endosmosis
Which cell secrete CSF and limes the ventricles of brain and spinal cord ?,Ependymal cell,Astrocyte cell,Satellite cell,Duramater
Which cell secrete CSF and limes the ventricles of brain and spinal cord ?,Ependymal cell,Astrocyte cell,Satellite cell,Duramater
Which cell secrete CSF and limes the ventricles of brain and spinal cord ?,Ependymal cell,Astrocyte cell,Satellite cell,Duramater
pneumotactic centre is present in,Pons varolli,Medulla oblangata,Cerebrum,Cerebellum
Post gangelelonic neurotransmitter nerve of sympathetic nerve is,Acetylcholine,Epinephrine,Nor-epinephrine,Dopamine
"In raabit,eye movement is controlled by",cerebrum,Corpora quadragemina,crura cerebri,Medulla oblangata
The centre for the regulation of body temperature and urge of eating?,Hypothalamus,Medulla oblangata,Cerebellum,Cerebrum
Injury in occipital lobe causes loss of,Vision,Speech,Memory,Hearing
Neurotransmitter released from postganglonic sympathetic inneravated sweat gland is,Acetylcholine,Norepinephrine,Epinephrine,Dopamine
Hamburger phenomenon is essential for transport of,CO2,O2,Both,None
Maximum transport of CO2 in blood occurs through,Bicarbonate ion,Dissolved in plasma,Carboamino Hb,Carbonate ion
What happens to breathing rate when Co 2 concentration in blood increases ?,Deeper and higher,Lower and higher,Lower and lower,All
Maximum CO 2 transport is in form of,Bicarbonate,Plasma,Carboaminoheamoglobin,Buffer
CO is poisonous to human due to,Higher affinity to Hb,Carcinogen,Lower affinity to Hb,due to acidic nature
Enzyme carbonic anhydrase is found in,RBC,WBC,Plasma,Lungs
Schneidirian membrane is found in,Nasal passage,Trachea,Loop of henle,Eustachian tube
Cartilage of santorini is found in,larynx of rabbit,cranium of frog,pharynx of frog,skull of rabbit
The enzyme carbonic anhydrase is present in,RBC,Blood plasma,Saliva,Tears
The amounbt of air that passes into and out of the lungs during each cycle of quiet breathing is called,Tidal volume,Vital capacity,Total respiratory  volume,None
Bohr's effect is the,Dissociation of oxy-haemoglobin in the blood capillaries due to the effect of Co2 concentration in the body vells,Mass movement of Na + ions from the axoplasm tot he surrounding interstitial fluid,Exchanging between HCO3 of the RBC and cl- of the blood plasma,Effect of Neurohormones on pace maker for heart beating
Bohr's effect is the,Effect of higher level of CO2 in cells to dissociate oxyhaemoglobin in RBC,Effect of nreurohormone on heart wall for beating,Exchange of HCO3- &n CL- between the RBC and plasma,Mass movement of Na+ through neuron cell membrane
Turbinates are the bones of,Nasal passage,Optic capsule,Cranium,Sternum
Pulmonary respiration means respiration by,lung,skin,pharynx,buccula cavity
A person inhabiting in the environment of high atm pressure develops which respiratory disorder,Thromoembolism,Pulmonary oedema,Emphysema,Bronchitis
What haapens when a person moves from terai to himalayan region ?,both respiratory and heart beat increases,respiratory rate increases,heart beat increases,both respiratory and heart beat decreases
Carbonic anhydrase is active in,RBC,WBC,Blod plasma,Blood plateletes
The normal volume of air that is expelled or inhaled during normal breathing is,Tidal volume,Vital capacity,Dead air space,ERV
Vital capacity of lung is about,4600 ml,2600 ml,3600 ml,5600 ml
Vital capacity of lung is about,4600 ml,2600 ml,3600 ml,5600 ml
R.Q=1 if respiratory substance is,Carbohydrate,Protein,fat,organic acid
Vocal cords are found in,Larynx,Pharynx,Brachial tube,Glottis
True about pigment containg Fe+++ and concerned with respiratory system,Red coloured found in muscles,Blue coloured known as haemocyanin,Green coloured known as chlorocruonin,Yellow cloured found in bile
Defination of Tidal volume and its valve,Amount of air always present in lungs and respiratory tract-500 ml,Amount of air in lungs following deep insipration -1500 ml,`Amount of air in lungs following deep expiration -200 ml,Amount of air present in lungs at rest -300 ml
Carbon-di-oxide enters red blood cells to form carbonic acid which subsequently dissociated to form,H- AND HCO3-,H- AND (HCO3)power -2,H- and HCO2-,All of the above
Of which systems are alevoli part,Respiratory,Cardiovascular,Nervous,Digestive
Asthma is,irregular spasm in brochi,inabilty of lungs to inspire,failure of heart to pump blood,colapse of trachea
Cilia is present in,Bronchus,Alveolus,Oesophagus,Small intestine
In RBC carbonic anhydrase the following,CO2 and H2o associates into H2CO3,H2CO3 is decopmosed into Co2 and H2O,Oxyhaemoglobin dissociates,None
Hamburger Phenomenon  is related with,Chloride shift,O2 dissociation,Bicarbonate shift,CO2 dissociation
Total number of oxygen molecules that can bind to a single haemoglobin molecule under normal partial pressure are :,4,8,6,2
The diseases in which water amount is high but glucose is not found in urine is,Diabetes isnipidus,Diabetes melitus,Addision's diseases,Graves disease
pH of the human urine is,7.4,9.8,1.2,3.3
In every minute how much amount of blood is filtered by kidney ?,0.12 lit,5 lit,0.8 lit,8 lit
Which of the following is the measure of GFR?,Inulin,Insulin,Fats,Protein
Condition in which blood present in urine is,Heamturia,Alkaptonuria,Anuria,Ketonuria
Podocytes cells are found in,Glomerulous of Kidney,Waall of capillaries,Arterioles,Hypothalamus of brain
Which of these help in concentration of urine?,Vasopressin,ACTH,Pitocin,Parathormone
The process in which Nh3 is converted to urea in liver by combining with CO2 is called,Deamination,Desalination,Osmoregulation,Pollination
Malphigian body is located in,renal cortex,renal pelvis,renal pyramid,renal medulla
What is common in earthworm and man ?,Ureotelic,Ammonotelic,Uricotelic,Nephrotelic
"In kidney of mammals,mapligian capsule is situated in",cortex,Pyramid,Pelvis,medulla
On prolonged fasting which is released from one's urine?,Ketone,Fat,Amino acid,Aldehyde
In raabit,right kidney lies above the left kidney,left kidney lies above right kidney,both lie at the same level,both lie on the left side
Kidney of adult rabbit is,metanephrous,opisthonephrous,mesonephrous,pronephrous
The renal tubules collect to form,Ureter,Urthera,Urinary bladdr,None
"Among excretory material,least toxic is",Uric acid,Urea,Ammonia,Guanine
Urea is transported by,Plasma,Blood,RBC,WBC
Sweat gland in mammal are primarily concerned with,Regulation of body heart,Regulation of water content,Removal of excess of salt,Killing of skin bacteria
Chemical responsible for increase in blood pressure due to renin action is,Angiotensin I,Aldosterone,Angiotensinogen,Angiotensin II
Ascending limb of loop of henle is permeable to,Na,Glucose,Ammonia,H2O
Histological structure of mammalian and amphibian kidneys differ in the,Distribution of Maphigian Body (MB)`,Distribution of blood vessels,Structure of MB,Structure of the potential cover
The main function of sweat gland in mammals is,Regulation of body temperature,Excretion of salt,Excretion of nitrogenous substances,Water regulation
Malphigian body is present in,Renal cortex,Renal medulla,Adrenal cortex,Adrenal medulla
Which is found in kidney ?,Duct of bertiini,Duct of rivinus,Duct of wirsung,Eustchain tube
Urea is mainly excreted by,kidney,Liver,skin,lungs
Maphigian body comprises of,Glomerulus and Bowman's capsule,Glomerulus,Bowman's capsule,Glomerulus and Nephron
The ability of organism to maintain constant internal environment despite the external changes is called,homeostasis,hemostasis,hemopoiesis,Adaptaion
The maximum reabsorption of water takes place in,Proximal convoluted tubule,Bowman's capsule,Henle's loop,Distal convoluted tubule
The mammalian urine is,hypertonic,hypotonic,isotonic,dilute
Which of these help in concentration of urine ?,Vasopressin,ACTH,Pitocin,Parathrombone
