question,answer,wrong1,wrong2,wrong3
Which of the following reagent is used as purgative?,\(MgSO_4\),\(CaSO_4\),\((NH_{4}) _2 SO _4\),\(FeSO_4\)
Anhydrous calcium chloride can be used as,Dehydrating agent,Oxidizing agent,Reducing agent,Bleaching agent
Dead burnt plaster is,\(CaSO_4\),\(CaSO_4 .2H_2O\),\(MgSO_4.7H_2O\),\(CaSO_4.1/2 H_{2}O\)
Atomic number of calcium is,20,11,40,19
Slaked lime is,\(Ca (OH) _2\),Ca,\(CaCO_3\),None
Dolomite is the......... form of magnesium.,Carbonate,Sulphate,Oxide,Chloride
The setting of plaster of paris is accompanied with,Hydration,Hydrolysis,Dehydration,Efflorescence
Calcium carbonate on heating in a kiln gives,Quick lime,Clinker,Lime motar,Slumy
Portland cement doesnot contain,Cadmium,Silica,CaO,Alumina\((Al_2O_3)\)
What is the product when:\(CaSO_4.2H_2O\) is heated at 200 °C,\(CaSO_4\),\(CaSO_4.1/2H_2O\),\(SO_{3}\),CaO
Plaster of Paris is,\(2CaSO_{4} .H_ 2 O\),\(CaSO_4\),\(CaSO_4.H_²O\),\(2CaSO_{4} .1 / 2 H_{2}O\)
Calcium is extracted by the electrolysis of,Fused \(CaCl_2\) solution,\(CaCl_2\) solution,\(CaSO_4\) solution,Fused \(Ca _3 (PO_{4})_ 2\)
Magnesium burns in air to give,MgO and \(Mg_{3}N_{2}\),MgO,\(Mg_{3}N_{2}\),\(MgCO_3\)
Strongest reducing agents among the following is,Ba,Be,Ca,Mg
Which of the following ion is likely to have largest hydration energy?,\(Mg^{2+}\),\(Na^+\),\(K^+\),\(Ca^{2+}\)
All of the following components react with water. The pair that yield the same gaseous product is,Ca and \(CaH_2\),K and \(KO_2\),Na and \(Na_2O_2\),Ba and \(BaO_2\)
Chemical name for hydrolith is,Calcium hydride,Sodium hydride,Potassium hydride,Magnesium hydride
Magnalium is the alloy (mixture) of,Mg + Al,Mg + Al + Cu,Mg + Al + Ca,Mg + Cu + Ni
A colourless salt gives brick red colour in Bunsen flame it may be,\(CaCO_3\),\(Na_{2}CO_{3}\),\(K_{2}CO_{3}\),\(BaCO_3\)
Dolomite is,\(MgCO_3.CaCO_3\),\(MgSO_4.7H_2O\),\(MgCO_3\),\(CaCO_3\)
Alkaline earth metals are,Mg and Ca,Na and K,Cu and Ag,Al and Fe
Which compound is obtained by passing \(CO_2\) gas into the limewater for a long time?,\(Ca (HCO_{3})_ 2\),\(CaCO_3\),\(Ca (OH)_ 2\),CaO
\(CaSO_4.2H_2O\) is,Gypsum salt,Epsum salt,Anhydrite,Plaster of paris
What is the % of Ca in \(CaCO_3\) ?,40,60,100,20
Thermally most stable alkaline earth metal carbonate is,\(BaCO_3\),\(MgCO_3\),\(CaCO_3\),\(SrCO_3\)
Which is the chemical form of Epsom salt?,\(MgSO_4.7H_2O\),\(CuSO_4.5H_2O\),\((NH_{4}) _2 SO _4 .Al _2 (SO_ 4 ) _3 .6H _2 O\),\(FeSO_4.7H_2O\)
The alkaline earth metal that exhibits apple green colour to the Bunsen flame when introduced in the form of chloride is,Ba,Sr,Mg,Ca
Which of the following is the weakest base?,\(Mg (OH) _2\),\(Ca (OH) _2\),NaOH,KOH
Which of the following is strongest base,\(Ba (OH)_ 2\),\(Al (OH) _2\),\(Ca (OH) _2\),\(Sr (OH) _2\)
Principle components of limestone is,\(CaCO_3\),CaO,\(Na_{2}CO_{3}\),\(Ca (OH)_ 2\)
"As the alkaline earth metals (except Be) tend to lose their valence electrons readily, they act as",strong oxidising agents,weak oxidising agents,weak reducing agents,strong reducing agents
The least abundant alkaline earth metal is,Radium,Barium,Strontium,Beryllium
Which of the following represents electronic configuration of an alkaline earth metal?,[Ne] 3s²,\([Ar] 3d ^ {10 }4s ^ 1\),\([Kr] 4d ^ {10 }5s ^ 2\),None of these
Which of the following is used as a scavanger in metallurgy?,Ca,Be,Mg,Sr
Which of the following has lowest oxidation potential?,Be,Mg,Ca,Ba
The most electropositive amongst the alkaline earth metals is,barium,beryllium,magnesium,calcium
The solubilities of carbonates decrease down the magnesium group due to decrease in,hydration energies of cations,lattice energies of solids,inter-ionic attraction,entropy of solution formation
The solubility in water of sulphates down the Be group is: Be > Mg >> Ca > Sr > Ba . This due to,high heat of solvation for smaller ions like \(Be^{2+}\),increase in melting points,decreasing lattice energy,increasing molecular weight
"The alkaline earth metals Ba, Sr, Ca and Mg may be arranged in the order of the decreasing first ionisation potential as","Mg, Ca, Sr, Ba","Ca, Sr, Ba, Mg","Sr, Ba, Mg, Ca","Ba, Mg, Ca, Sr"
The set representing the correct order of first ionization potential is,Be > Mg > Ca,K > Na > Li,B > C > N,Ge > Si > C
The chemical composition of carnallite is,\(KCl.MgCl_2.6H₂O\),\(MgSO_4.7H₂O\),\(MgCO_3CaCO_3\),\(MgCO_3\)
Electrolysis of \(KCl.MgCl_2.6H_2O\) gives,magnesium and chlorine,potassium only,magnesium only,potassium and magnesium
The correct order of increasing ionic character is,\(BeCl_2 < MgCl_2 < CaCl_2 < BaCl_2\),\(BeCl_2<MgCl_2 < BaCl_2 <CaCl_2\),\(BeCl_2<BaCl_2 < MgCl_2 < CaCl_2\),\(BaCl_2<CaCl_2 < MgCl_2 < BeCl_2\)
Magnesium is present in,Chlorophyll,Ascorbic acid (vitamin C),Haemoglobin,Vitamin \(B_{12}\)
Which of the following is used as an antacid?,\(Mg (OH)_ 2\),MgO,\(MgSO_4\),\(MgCO_3\)
Which of the following sulphates has highest solubility in water?,\(BeSO_4\),\(BaSO_4\),\(CaSO_4\),\(MgSO_4\)
Blanc fire used in paints is,finely divided \(BaSO_4\),paste of \(Mg (OH) _2\),suspension of slaked lime,\(MgCl_2-5MgO-5H₂O\)
Which of the alkaline earth metal hydroxides is the least soluble?,\(Be (OH)_ 2\),\(Mg (OH) _2\),\(Sr (OH)_ 2\),\(Ba (OH)_ 2\)
"Among the following \(NaOH, Ca (OH) _2 , KOH\) and \(Zn(OH)_2,\) the strongest base is",KOH,NaOH,\(Ca (OH)_ 2\),\(Zn (OH) _2\)
Which of the following metal carbonates is decomposed on heating?,\(MgCO_3\),\(Na_{2}CO_{3}\),\(K_{2}CO_{3}\),\(Pb_{2}CO_{3}\)
"Amongst LiCl, RbCl,\(BeCl_2\) and \(MgCl_2,\) the compounds with the greatest and least ionic character, respectively, are","\(RbCl, BeCl_2\)","LiCl, RbCI","\(RbCl, MgCl_2\)","\(MgCl_2, BeCl_2\)"
Epsom salt is,\(MgSO_4.7H₂O\),\(MgSO_4.2H₂O\),\(2CaSO_4.H₂O\),\(BaSO_4.2H_2O\)
Magnesium burns in air to give,MgO and \(Mg_3N_2\) both,MgO,\(Mg_3N_2\),\(MgCO_3\)
Dolomite is,\(MgCO_3CaCO_3\),\(MgSO_4.5H_2O\),\(MgCO_3\),None of these
Mixture of \(MgCl_2\) and MgO is called,Sorrel's cement,Portland cement,Double salt,None of these
A fire work gives out crimson coloured light. It contains a salt of,Sr,Ca,Na,Ba
Which of the following imparts brick red colour to the flame?,Ca,Ba,Sr,None of these
The wire of flash bulb is made of,Mg,Cu,Ba,Ag
Bone ash contains,\(Ca_3(PO_4)_2\),CaO,\(CaSO_4\),\(Ca(H₂PO_4)_2\)
Lithopone is a combination of ZnS and,\(BaSO_4\),\(PbSO_4\),\(CaSO_4\),\(SrSO_4\)
Gypsum \(CaSO_4.2H_20\) on heating to about 120°C forms plaster of Paris which has chemical composition represented by,\(2CaSO_4.H_2O\),\(2CaSO_4.3H_20\),\(CaSO_4.H₂O\),\(CaSO_4\)
Plaster of Paris is,\(CaSO_4.1/2 H₂O\),\(CaSO_4.H₂O\),\(CaSO_4.2H₂O\),\(CaSO_41(1/2)H₂O\)
"In curing cement plasters, water is sprinkled from time to time. This helps in",developing interlocking needle-like crystals of hydrated silicates,keeping it cool,hydrating sand and gravel mixed with cement,converting sand into silicates
Setting of cement is an,Exothermic reaction,Endothermic reaction,Neither exothermic nor endothermic,None of the above
"On heating quick lime with coke in an electric furnace, we get",\(CaC_2\),Ca and \(CO_2\),\(CaCO_3\),CaO
Which is quick lime?,CaO,\(Ca(OH)_2\),\(CaCO_3\),\(Ca(OH)_2+H₂O\)
The substance not likely to contain \(CaCO_3\) is,calcined gypsum,a marble statue,sea shells,dolomite
Which of the following substances can be used for drying gases?,calcium oxide,calcium carbonate,sodium carbonate,sodium bicarbonate
Which one of the following substances is used in the laboratory for fast drying of neutral gases?,Anhydrous \(CaCl_2\),\(P_2O_5\),Activated charcoal,\(Na_3 PO_4\)
The formula for calcium chlorite is,\(Ca(ClO_2)_2\),\(Ca(ClO_4)_2\),\(Ca(ClO_3)_2\),\(CaClO_2\)
All the following substances react with water. The pair that yields the same gaseous products is,Ca and \(CaH_2\),K and \(KO_2\),Na and \(Na_2O_2\),Ba and \(BaO_2\)
Which one of the following components of cement sets at the slowest rate?,Dicalcium silicate,Tricalcium silicate,Tricalcium aluminate,Tetracalcium aluminoferrite
Mortar is a mixture of,"Slaked lime, sand and water","Slaked lime, Plaster of Paris and water","Magnesium chloride, tar and lime","Lime, Portland cement and water"
Mortar is a mixture of slaked lime and sand in the ratio of,1:3,3:1,2:3,1:4
"Element with electronic configuration \(1s ^ 2, 2s ^ 2, 2p ^ 6, 3s ^ 2\) belongs to which of the following?",Metals,Non-metals,Metalloids,Inert gases
Several blocks of magnesium are fixed to the bottom of a ship to,prevent action of water and salt,keep away the sharks,make the ship lighter,prevent puncturing by under-sea rocks
Which one of the following metal ions plays an important role in muscle contraction?,\(Ca^{2+}\),\(K^+\),\(Na^+\),\(Mg^{2+}\)
The difference of water molecules in gypsum and Plaster of Paris is,1(1/2),\(2 (1/2)\),2,1/2
Which of the following salts does not impart colour to the flame?,\(MgCl_2\),LiCl,KI,\(CaCl_2\)
A metal X on heating in nitrogen gas gives Y. Y on treatment with water gives a colourless gas which when passed through \(CuSO_4\) solution gives a blue colour Y is,\(Mg_{3}N_{2}\),\(Mg (NO_{3}) _2\),\(NH_{3}\),MgO
"Chemical A is used for water softening to remove temporary hardness. A reacts with \(Na_2CO_3\) to generate caustic soda. When \(CO_2\) is bubbled through A, it turns cloudy. What is the chemical formula of A?",\(Ca (OH) _2\),\(CaCO_3\),CaO,\(Ca (HCO_{3}) _2\)
