question,answer,wrong1,wrong2,wrong3
The common Indian earthworms are,both a and b,Pheretima,Lumbricus,chordata
"In mature Earth worm , segments ………are covered by a prominent dark band of glandular tissue called clitellum.",14-16,12-13,15-17,16-18
.Four pairs of spermathecal apertures are situated on the ventro-lateral sides of intersegmental grooves,5th – 9th segments,5th – 8th segments,6th – 10 th segments,all the above
The main principal role of setae in Earth worm is,locomotio,respiration,digestion,excretion
The stomach in earthworm extends from segments,9th – 14th,4th – 6th,6th – 7th,5th – 8th
The characteristics features of the intestine between 26-35 segments is the presence of the internal fold of dorsal wall called,typhlosole,nephridium,Pheretima,clitellum
Function of typhlosole is in earthworm is,increase the effective area of absorption in the intestine.,decrease the effective area of absorption in the intestine.,both a and b,assimilation
"Pheretima exhibits a closed type of blood vascular system , consisting of",all the above,blood vessels,capillaries,heart
Blood glands of earthworm are present on the segments,"4th , 5th and 6th segments","4th, 6th and 7th segments","3th ,4th and 5th segments","2th, 3rd and 4th segments"
The excretory organs occur as segmentally arranged coiled tubules in earthworm called,nephridia,green glands,malpighian tubules,skin
The earthworm is placed under the group,Oligochaeta,Polychaeta,Hirudinea,Crustacea
The parasite found in the seminal vesicle of earthworms are,Monocystis,Nosema,Sarcocystis,Nyctotherus
The typhlosole in earthworm is related to,absorption,respiration,excretion,reproduction
Region of earthworm that is a forest of nephridia is,Clitellar region,Pharyngeal region,Typhlosolar region,Intestinal region
Chloragogen cells are found in,The coelomic fluid of the earthworm,Blood of earthworm,Blood of cockroach,The body wall of leucosolenia
This animal does not show any metamorphosis of larval stage,Pheretima Posthuma,Asteria,Musca domestica,Butterfly
The most effective organ for food digestion in earthworm is,Pharynx,Mouth,Buccal cavity,Stomach
The typhlosole found in Pheretima occurs in,Intestine,Stomach,Oesophagus,Gizzard
"In earthworm, the mouth is located on",Peristomium,Stomium,Prostomium,Protostomium
Metamerically segmented body is present in,All of the above,Earthworm,Leech,Nereis
The parasite found in the seminal vesicle of earthworm,Monocystis,Nosema,Sarcocystis,Nyctotherus
Earthworm is a(n) ______,terrestrial invertebrate,terrestrial vertebrate,aquatic vertebrate,aquatic invertebrate
Earthworm is placed in the group,Oligochaeta,Polychaeta,Hirudinea,Crustacea
Male genital aperture of earthworms is located in the segment,18,13,25,19
Annelids are,Triploblastic,Radially symmetrical,Externally segmented,Pseudocoelomate
Body is segmented in,Annelida,Coelenterate,Porifera,Mollusca
Which one of the following is not hermaphrodite animal,Polychaetes,Leeches,Flatworms,Earthworm
Pheritima posthuma and Periplanata are similar in which aspect,Both have ventral nerve cord,Both have nephredia as excretory organs,Both belong to same taxonomical group,All the above
Which of the following belongs to the phylum annelida,Nereis,Octopus,Ant,Crab
A definite number of body segments is found in,Leech,Earthworm,Tapeworm,Slug
"Closed blood vascular system, liver cells in the blood and chitinous setae or parapodia are the characteristics of",Annelida,Arthropoda,Nematoda,None of these
Metamerism or metameric segmentation is characteristic feature of,Annelida,Porifera,Mollusca,Platyhelminthes
"In which of the following, clitellum is absent",Polychaeta,Oligochaeta,Hirudinea,All the above
The typhlosole in earthworm is related with,Absorption,Excretion,Respiration,Reproduction
Botryoidal tissue is found in,Hirudinaria,Rabbit,Ascaris,Earthworm
Which is not a feature of Annelid,Pseudocoelom,Metameric segmentation,Nephridia,Clitellum
"In Pheretima, there are red coloured round bodies in 4th, 5th and 6th segments above the alimentary canal. They are believed to be involved in",Leucocyte production,Excretion,Digestion,Reproduction
"Which one of the following exhibits concentric ""tube within tube"" plan",Oligochaeta,Arthropoda,Mollusca,Echinodermata
The colour of the body in earthworm is brown due to the presence of,Porphyrin,Haemoglobin,Blood,Haemocyanin
The famous Indian Zoologist who wrote a memoir upon Pheretima posthuma is,K.N.Bahl,J.C. Bose,M.L.Bhatia,Beni Prasad
Most important use of Pheretima posthuma is,To make soil porous and fertile,To catch fish,To make dish,To make soil saline
"In which of the following class of Annelida, one pair ovaries and several pair testes are found",Hirudinea,Archiannelida,Oligochaeta,Polychaeta
Of which the body is made up of 33 somites,Leech,Earthworm,Tapeworm,Slug
"Which one of the following exhibits concentric ""tube within tube"" plan",Oligochaeta,Arthropoda,Mollusca,Echinodermata
Most important use of Pheretima posthuma is,To make soil porous and fertile,To catch fish,To make dish,To make soil saline
Region of Earthworm which is forest of nepphridia is,Clitellar region,Pharyngeal region,Typhlosolar region,Intestinal region
Chloragogen cells are present in,Coelomic fluid of Earthworm,Body wall of Leucosolenia,Blood of Earthworm,Blood of Cockroach.
"In Earthworm, genital papillae occur in segments",17 and 19,16 and 17,16 and 18,17 and 18
