question,answer,wrong1,wrong2,wrong3
"Two identical balls A and B are moving. A bullet of mass 'm' moving with towards each other with velocity + 5 m/s and - 3 m/s, undergoes head on collision. There velocities after collision will be",-3 and +5,+5 and -3,+ 3 and -5,- 5 and+3
A train is moving with velocity V1 and another train is moving with velocity V2 in the same direction in the same track. If the distance between the two trains is 'a' then minimum retardation of train so as to avoid collision.,\(r>\frac{(V1-V2)^2}{2a}\),\(r<\frac{(V1-V2)^2}{√2a}\),\(r<\frac{(V1-V2)^2}{a}\),\(r<\frac{(V1-V2)^2}{√2}\)
A body of mass 'm' moving with velocity V splits in two parts such that m/4  comes to rest instantly. What is the K.E. of other mass,\(2/3mv^2\),\(1/2mv^2\),\(4/3mv^2\),\(mv^2\)
"If 2 bodies A and B, being A lighter, having same linear momentum moving, then the K.E of A is",More than B,Less than B,Same as B,None.
If K.E. of a body is increased by 2 times then it's momentum increases by:.,√2 times.,2 times,1/2 times,2√2 times.
A bullet of mass 'm' moving with  velocity 'u' passes through a wooden block of mass M = nm. The block is resting on smooth horizontal floor. After passing through the block the velocity of bullet is 'v'. It's velocity relative to block is:,\(\frac{(l+n)v-u }{n  }\),\(\frac{nv-u}{ n+1 }\),\(\frac{nu-v}{n+1  }\),\(\frac{(l+n)v+u }{2n+1  }\)
A person being a mass of 2.kg from A to B. The increase in kinetic energy of the mass is J and the work done by the person on the mass is -10 J. The potential difference between B and A is,--7J/Kg,4J/Kg,7J/Kg,-3J/Kg
A force F = (10+ 0.5x) acts on a particle direction where F is in Newton and x is in meter. How much work is done by the force for a displacement from x = 0 to x = 2m?,21 Joule,4 Joule,8Joule,34 Joule
A bullet of 0.01 kg is fired from a rifle of mass 20 kg with a speed of 100 m/s. The recoil velocity of the rifle must be,0.05 m/s,0.01 m/s,1 m/s,20 m/s
"If an automobile moves with constant power P, relation between velocity and time will be",\(V ∝ t ^{  1/2}\),\(V ∝ t ^{  3/2}\),\(V ∝ t^2\),\(V ∝ t\)
"A body of mass 10 kg at a height of 500  m from the earth has energy of 850 KL. It is moving with the velocity nearly
equal to",400 m/s,200 m/s,300 m/s,500 m/s
Kinetic energy of a body of mass m is E. Its linear moment will be equal to:,\( (2mE)^{1/2}\),2 mE,\((mE/2)^{1/2}\),2E/m
A bullet of mass 10 gm is fired with velocity 63 ms-1 on a block and wood of mass 200 gm at rest and the bullet sticks inside the wood. The common velocity of bullet and wood is,3 m/s,6 m/s,9 m/s,1 m/s
Two bodies having different mass have same momentum. Which of them has greater kinetic energy?,Lighter one,Heavier one,Both same,Description in complete
A body of mass 'm' strikes a vertical wall with velocity 'v' horizontally and rebounds with same velocity. The total change in momentum of the body is:,2 mv,mv,0 mv,Zero
A substance is moved by a distance S using force F. The work done is,FS cosθ,FS sinθ,FS tan θ,FS secθ
"A boy gains 5000 calorie by eating bread If the efficiency of boys is 28%, the heigh climbed by a boy (mass = 60 kg)",10m,6m,5m,8m
Which of the following is always conserved in collision?,Linear momentum.,Kinetic energy.,Angular momentum.,Torque.
"Two masses 'm' and '4m' are moving with equal kinetic energies, the ratio magnitudes of their momentum is:",1:2,4:1,√2:1,√6:1
"In collision,",Momentum is always conserved.,Only K.E is conserved.,Both momentum and K.E is  conserved,K.E is always conserved.
In an inelastic collision,The final kinetic energy is less the the initial kinetic energy.,The initial kinetic energy is equal to the final kinetic energy.,The kinetic energy remains constant,The kinetic energy first increases an then decreases
The work done by the external force  on a system equals the change,Kinetic energy.,Total energy.,Potential energy,None of these.
"A body, initially at rest explodes into two mass M1 and M2 the moves apart with speed V1 and V2 respectively. What is the ratio of V1/V2",M2/M1,M1/M2,\( M^21/M^22\),\(M^22/M^21\)
"In perfectly elastic collision, K.E after collision",is same as that of initial.,greater than that of initial,smaller than that of initial.,is zero
Two bodies of masses m and 4m are moving at equal momenta. Then ratio of their kinetic energies will be,4:1,2:1,1:2,1:4
A body is moved through certain distance from rest under constant force. Then K.E gained by the body is,independent of its mass,directly proportional to its mass,inversely proportional to its mass,directly proportional to square root of mass
"A body of mass m is raised through a height R/n  from earth surface. If g is acceleration due to gravity on earth surface and R is the radius of earth, then increase in potential energy of the body is",\(\frac {mgR}{n+1}\),\(\frac {mgR}{n}\),\(\frac {mgR}{n-1}\),\(\frac {nmgR}{n+1}\)
A trolley of 40kg is moving on smooth horizontal rail with K.E of 1200 J. A load of 40kg is lowered gently on its roof. Then new K.E of the system will be,600J,120J,180J,240J
Human heart pumps 5 litre of blood per minute at pressure of 120 mm Hg. What is the power of the heart?,1.36 W,1.20 W,1.48 W,12.16 W
A water pump lifts 0.5 \(m^3 \) water per minute from a well at depth 30 m. If the efficiency of the pump is 50% then power of pump will be,5000 W,2000 W,1000 W,3000 W
A person of 60kg carrying load of 40kg person climbs through a vertical height of 5m. Then work done on the load is,\(2×10^3J\),\(4×10^3J\),\(6×10^3J\),\(10×10^3J\)
The kinetic energy of a body is decreased by 36%. . Then linear momentum decreases by,20%,18%,36%,40%
If the momentum of a body is increased by 100% then the percentage increase in kinetic energy is,300%,150%,200%,225%
A body 2 kg is accelerated from rest to 72 km/hr. Then work done on the body is,400J,200 J,250J,100J
A metre sticks of mass 800 g is pivoted at one end and displaced through an angle of 60°. The increase in P.E is,2J,4J,20J,0.2J
A bullet fired into a target loses half of its velocity after penetrating 30cm. How much further will it penetrate before coming to rest?,10cm,40cm,60cm,80cm
A bullet fired normally on immovable wooden plank loses 25% of in penetrating  a thickness of 3.5 cm The total thickness penetrated by the bullet is,8cm,10 cm,12cm,14 cm
A rifle bullet loses 1/20 of its velocity in passing through a plank. The least number of such planks required just to stop the bullet is,11,5,10,20
"A body of mass m moving with velocity v gets head on collision with another stationary body of equal mass and these bodies move in same line after collision. If coefficient of restitution is 1/2, then velocity of first body after collision will",v/4,v/2,3v/4,zero
If we throw a body upwards with velocity of 4 m/s At what height its kinetic energy reduces to half of the initial value? (g = 10 m/s2),0.4 m,4m,2m,1m
A nucleus ruptures into two nuclear parts which have their velocity ratio equal to 2:1. What will be the ratio of their nuclear size (nuclear radius)?,\(1:2^{1/3}\),\(2^{1/3}:1\),\(3^{1/2}:1\),\(1:3^{1/2}\)
"A moving mass of 8 kg collide elastically with a stationary mass of 2KG  If E be the initial kinetic energy of the moving mass, the kinetic energy left with it after collision will be",0.36E,0.80E,0.64E,0.08E
A neutron travelling with a velocity u and K.E. E collides perfectly elastically head-on with the nucleus of an atom of mass number A at rest. The fraction of total energy retained by neutron is,\((\frac{1-A}{A+1})^2\),\((\frac{1+A}{A-1})^2\),\((\frac{A-1}{A})^2\),\((\frac{A+1}{A})^2\)
"A ball is dropped from a height of 1m If coefficient of restitution between the surface and the ball is 0.6, the ball, rebounds to a height of",0.36m,0.6 m,0.4 m,1m
"A rubber ball is dropped from a height of 5 m on a planet, where acceleration due to gravity is not known. On bouncing it rises to 1.8 m. The ball loses its velocity on bouncing by a factor of",2/5,3/5,9/5,16/25
