question,answer,wrong1,wrong2,wrong3
Benzene is treated with conc. HNO3 and conc. H2SO4 to produce compound A. The compound A is then reduced by Fe/HCl to form compound B. B is now reacted with NaNO2/ HCI in cold condition which forms compound C. C is now heated with Zn dust to form compound D. The compound D is,Aniline,Benzene diazonium chloride,Toluene,Nitrobenzene
"When reduced in alkaline medium in presence of sodium arsenite, nitrobenzene is reduced to",Azoxybenzene,Azobenzene,Aniline,Hydroazobenzene
What is formed when nitrobenzene is reduced in strongly acidic medium?,P-amino phenol,Aniline,Azobenzene,Azoxybenzene
Gabriel pthalimide reaction gives:,Primary aliphatic amine,Primary aromatic amine,Aromatic amine,Secondary amine
Most basis among these:,Benzyl Amine,Acetanilide,Aniline,P-nitroaniline
Aliphatic amine and aromatic amine is distinguished by,Benzene diazonium chloride,Benzene disulphuryl chloride,CHCl3/KOH,CCl4
Nitration in benzene is a.,Electrophilic substitution,Electrophilic addition,Nucleophilic addition,Nucleophilic substitution
Which of the following is the most basic compound,Benzylamine,Acetanilide,P-nitroaniline,Aniline
When phenol is reacted with PCIs the products obtained is/are,Mixture of chlorobenzene and triphenyl phosphate,Mixture of chlorobenzene and benzoyl chloride,Benzyl chloride,Chlorobenzene
"When nitrobenzene is treated with Zn dust and aq. NH4Cl, it gives",Phenyl hydroxylamines,Hydroxylamines,Azoxybenzene,Aniline
Which of the compounds is most reactive towards aromatic nitration?,Toluene,Nitrobenzene,Benzene,Benzoic acid
Which of the compounds is most reactive towards aromatic nitration?,Toluene,Nitrobenzene,Benzene,Benzoic acid
"When nitrobenzene is treated with zinc ammonium chloride, ........... is formed.",phenyl hydroxylamine,hydrazone,aniline,hydrazobenzene
"Which of the following is a major component
dynamite?",nitroglycerine,TNT,nitrobenzene,ammonium chloride
Which of the following undergoes nitration easily?,toluene,benzene,carboxylic acid,nitrobenzene
The reaction between phenol and CO2 is called:,Kolbe's synthesis,Gattermann's reaction,Riemer Tiemann reaction,Schotten Baumann reaction
C6H6+ CH3Cl----anhydrous AlCl3-->C6H5CH3+ HCl.,Friedel Craft's reaction,Fittig reaction,Coupling reaction,Diazotization reaction
"Aromatic acidic hydrocarbon among the following
is",Phenol,Carboxylic acid,Methanol,Acetaldehyde
Which of the following when reacted with water produces phenol?,C6H5N = NCI,C6H5-Cl,C6HCH2-Cl,C6H5 - CHO
"The process in which amides are changed into
amines is called",Hoffmann's rxn,Williamson's synthesis,Wurtz rxn,Friedel Craft's
"Which of the following reacts with KCN to form
Benzoin?",C6H5CHO,C6H5COOH,C6H5Cl,C6H5OH
Chlorine reacts with Benzaldehyde to give,Benzoyl chloride,Benzal chloride,Chlorobenzene,Benzyl chloride
"Methyl Isocynate, which killed thousands of people in Bhopal is prepared by the reaction of:",(CH3)2NH + COCl2,C2H5OH+COCI2,CH3NH2+CHCl3,CHCl3+(0)
Aniline converts to benzanilide by reacting with,benzoylchloride,chlorobenzene,benzylchloride,phenyl chloride
Nitrobenzene forms aniline by:,"reduction гx""","addition rx""","substitution rx""",all
"When -OH group is linked with benzene,
compound formed is:",Phenol,Benzaldehyde,Benzyl alcohol,Acetophenone
Nitration of Nitro benzene yields,"1,3 dinitro benzene",Picric acid,TNT,"1,4 dinitro benzene"
Carbylamine reaction is used to test:,primary amine,secondary amine,tertiary amine,all
Which among given is the strongest base?,Ethyl amine,Hydroxyl amine,Aniline,Methyl amine
Which of the following is known as artificial oil of bitter almonds ?,Nitrobenzene,Benzene,Aniline,Phenol
Oil of winter green is:,Methyl salicylate,Ethyl salicylate,Ethyl isocynate,Phenyl isocynate
".The three types of amines can be conveniently
separated by the application of:",Hoffmann's Method,Fehling's Test,Victor Meyer's method,Victor Meyer's method
"The compound that gives positive carbylamine
reaction is",CH3NH2,(CH3)2NH,(CH3)3N,(CH3)4N+
